# gdf_enumerate_anchor_top1: full Top-K per anchor (last size tier only)
[GDF] seeds: 三花
[GDF] size=10 top 20
  1. RR=279 anchor_m=7 Swiss=11 | 加速烙刀,绵鳚,篝火,打火机,大钢弩,三花,燃烧响炮
  15. RR=199 anchor_m=155 Swiss=10 | 燃烧响炮,打火机,燃烧子弹,潜水配重,绵鳚,加速烙刀,珊瑚,火炮
  16. RR=185 anchor_m=180 Swiss=10 | 燃烧响炮,淬锋钢,打火机,绵鳚,加速烙刀,珊瑚,火炮,枪套
  17. RR=191 anchor_m=159 Swiss=10 | 燃烧响炮,打火机,水母,潜水配重,绵鳚,加速烙刀,珊瑚,火炮
  18. RR=178 anchor_m=175 Swiss=10 | 燃烧响炮,打火机,绵鳚,加速烙刀,珊瑚,火炮,枪套,鹦鹉皮特
  19. RR=175 anchor_m=173 Swiss=10 | 燃烧响炮,打火机,绵鳚,加速烙刀,珊瑚,火炮,海螺壳,枪套
  20. RR=174 anchor_m=171 Swiss=10 | 水草,燃烧响炮,打火机,绵鳚,加速烙刀,珊瑚,火炮,枪套

[GDF] seeds: 火药角
[GDF] size=10 top 20
  1. RR=268 anchor_m=268 Swiss=11 | 火药角,烈酒杯,毒须鲶,枪套,加速烙刀,绵鳚,皮皮虾,大钢弩
  2. RR=268 anchor_m=61 Swiss=11 | 火药角,燃烧子弹,燃烧响炮,篝火,理查森先生,加速烙刀,绵鳚,打火机
  3. RR=267 anchor_m=264 Swiss=11 | 火药角,烈酒杯,枪套,加速烙刀,毒须鲶,潜水配重,皮皮虾,大钢弩
  4. RR=249 anchor_m=248 Swiss=11 | 十手,枪套,火药角,烈酒杯,大钢弩,毒须鲶,迷幻蝠鲼,绵鳚,皮皮虾
  5. RR=216 anchor_m=155 Swiss=10 | 火药角,燃烧响炮,篝火,枪套,套娃,加速烙刀,绵鳚,打火机
  6. RR=228 anchor_m=122 Swiss=11 | 火药角,烈酒杯,燃烧响炮,篝火,加速烙刀,理查森先生,绵鳚,打火机
  7. RR=258 anchor_m=36 Swiss=10 | 火药角,燃烧响炮,篝火,珊瑚,枪套,加速烙刀,绵鳚,打火机
  8. RR=243 anchor_m=56 Swiss=10 | 火药角,燃烧子弹,燃烧响炮,篝火,小冰镐,加速烙刀,绵鳚,打火机
  9. RR=266 anchor_m=-6 Swiss=11 | 大钢弩,火药角,燃烧响炮,篝火,加速烙刀,绵鳚,打火机
  10. RR=230 anchor_m=55 Swiss=10 | 火药角,燃烧子弹,燃烧响炮,篝火,加速烙刀,绵鳚,打火机,珊瑚
  11. RR=226 anchor_m=61 Swiss=10 | 火药角,燃烧响炮,篝火,加速烙刀,枪套,理查森先生,绵鳚,打火机
  12. RR=194 anchor_m=105 Swiss=9 | 火药角,燃烧子弹,燃烧响炮,篝火,葡萄弹,加速烙刀,绵鳚,打火机
  13. RR=222 anchor_m=43 Swiss=10 | 火药角,燃烧响炮,篝火,加速烙刀,枪套,小冰镐,绵鳚,打火机
  14. RR=167 anchor_m=140 Swiss=10 | 皮皮虾,火药角,烈酒杯,燃烧响炮,篝火,加速烙刀,绵鳚,打火机
  15. RR=227 anchor_m=16 Swiss=10 | 火药角,燃烧响炮,篝火,加速烙刀,燃烧子弹,打火机,大钢弩
  16. RR=171 anchor_m=122 Swiss=10 | 火药角,手雷,燃烧响炮,篝火,枪套,加速烙刀,绵鳚,打火机
  17. RR=178 anchor_m=107 Swiss=10 | 火药角,燃烧子弹,燃烧响炮,篝火,龙涎香,加速烙刀,绵鳚,打火机
  18. RR=183 anchor_m=89 Swiss=10 | 火药角,燃烧响炮,篝火,加速烙刀,套娃,燃烧子弹,打火机,枪套
  19. RR=178 anchor_m=99 Swiss=9 | 火药角,燃烧子弹,燃烧响炮,篝火,毒须鲶,加速烙刀,绵鳚,打火机
  20. RR=189 anchor_m=70 Swiss=10 | 火药角,燃烧响炮,篝火,盐钳海盗,枪套,加速烙刀,绵鳚,打火机

[GDF] seeds: 炮弹
[GDF] size=10 top 20
  1. RR=269 anchor_m=256 Swiss=11 | 加速烙刀,小冰镐,烈酒杯,炮弹,潜水配重,皮皮虾,大钢弩,枪套
  2. RR=257 anchor_m=257 Swiss=11 | 套娃,水车,拍立蚌,毒须鲶,潜水配重,炮弹,鱼雷
  3. RR=230 anchor_m=230 Swiss=10 | 套娃,水车,毒须鲶,潜水配重,流星索,炮弹,鱼雷
  4. RR=223 anchor_m=223 Swiss=11 | 套娃,水车,迷幻蝠鲼,毒须鲶,潜水配重,炮弹,鱼雷
  5. RR=217 anchor_m=217 Swiss=10 | 套娃,水车,燃烧响炮,毒须鲶,潜水配重,炮弹,鱼雷
  6. RR=215 anchor_m=215 Swiss=11 | 套娃,水车,珍珠,毒须鲶,潜水配重,炮弹,鱼雷
  7. RR=212 anchor_m=212 Swiss=10 | 套娃,水车,左轮手枪,毒须鲶,潜水配重,炮弹,鱼雷
  8. RR=205 anchor_m=205 Swiss=11 | 小冰镐,大钢弩,炮弹,潜水配重,水车,拍立蚌,藏刃匕首
  9. RR=200 anchor_m=200 Swiss=10 | 小冰镐,大钢弩,炮弹,潜水配重,珊瑚,水车,藏刃匕首
  10. RR=207 anchor_m=184 Swiss=11 | 加速烙刀,绵鳚,理查森先生,小冰镐,枪套,烈酒杯,炮弹,潜水配重,皮皮虾
  11. RR=198 anchor_m=156 Swiss=10 | 加速烙刀,绵鳚,小冰镐,拍立蚌,枪套,烈酒杯,炮弹,潜水配重,皮皮虾
  12. RR=192 anchor_m=148 Swiss=10 | 加速烙刀,绵鳚,小冰镐,枪套,流星索,烈酒杯,炮弹,潜水配重,皮皮虾
  13. RR=172 anchor_m=172 Swiss=11 | 加速烙刀,小冰镐,烈酒杯,炮弹,潜水配重,皮皮虾,十手,大钢弩
  14. RR=170 anchor_m=170 Swiss=10 | 套娃,水车,淬锋钢,毒须鲶,潜水配重,炮弹,鱼雷
  15. RR=167 anchor_m=167 Swiss=10 | 小冰镐,大钢弩,炮弹,潜水配重,水车,套娃,藏刃匕首
  16. RR=175 anchor_m=150 Swiss=9 | 加速烙刀,绵鳚,十手,小冰镐,枪套,烈酒杯,炮弹,潜水配重,皮皮虾
  17. RR=171 anchor_m=145 Swiss=10 | 加速烙刀,小冰镐,烈酒杯,炮弹,潜水配重,六分仪,枪套,理查森先生
  18. RR=161 anchor_m=161 Swiss=9 | 套娃,水车,理查森先生,毒须鲶,潜水配重,炮弹,鱼雷
  19. RR=159 anchor_m=157 Swiss=9 | 藏刃匕首,加速烙刀,大钢弩,小冰镐,烈酒杯,炮弹,潜水配重,皮皮虾
  20. RR=158 anchor_m=158 Swiss=10 | 套娃,水车,毒须鲶,潜水配重,炮弹,鱼雷,枪套

[GDF] seeds: 烈酒杯
[GDF] size=10 top 20
  1. RR=253 anchor_m=253 Swiss=11 | 皮皮虾,火药角,烈酒杯,绵鳚,加速烙刀,大钢弩,拍立蚌,枪套
  2. RR=250 anchor_m=250 Swiss=11 | 皮皮虾,火药角,烈酒杯,绵鳚,加速烙刀,大钢弩,流星索,枪套
  3. RR=227 anchor_m=227 Swiss=10 | 十手,皮皮虾,火药角,烈酒杯,绵鳚,加速烙刀,大钢弩,枪套
  4. RR=224 anchor_m=224 Swiss=11 | 迷幻蝠鲼,皮皮虾,火药角,烈酒杯,绵鳚,加速烙刀,大钢弩,枪套
  5. RR=220 anchor_m=220 Swiss=11 | 大钢弩,皮皮虾,潜水配重,火药角,烈酒杯,绵鳚,加速烙刀,枪套
  6. RR=217 anchor_m=217 Swiss=10 | 皮皮虾,火药角,烈酒杯,绵鳚,加速烙刀,小冰镐,大钢弩,枪套
  7. RR=211 anchor_m=211 Swiss=10 | 皮皮虾,燃烧响炮,火药角,烈酒杯,绵鳚,加速烙刀,大钢弩,枪套
  8. RR=208 anchor_m=208 Swiss=10 | 皮皮虾,火药角,烈酒杯,绵鳚,加速烙刀,大钢弩,葡萄弹,枪套
  9. RR=205 anchor_m=205 Swiss=10 | 皮皮虾,藏刃匕首,火药角,烈酒杯,绵鳚,加速烙刀,大钢弩,枪套
  10. RR=199 anchor_m=199 Swiss=10 | 抓钩,皮皮虾,火药角,烈酒杯,绵鳚,加速烙刀,大钢弩,枪套
  11. RR=196 anchor_m=196 Swiss=10 | 靴里剑,皮皮虾,火药角,烈酒杯,绵鳚,加速烙刀,大钢弩,枪套
  12. RR=195 anchor_m=195 Swiss=10 | 皮皮虾,火药角,烈酒杯,理查森先生,绵鳚,加速烙刀,大钢弩,枪套
  13. RR=194 anchor_m=194 Swiss=10 | 皮皮虾,火药角,烈酒杯,绵鳚,加速烙刀,大钢弩,手雷,枪套
  14. RR=192 anchor_m=192 Swiss=11 | 皮皮虾,火药角,烈酒杯,绵鳚,加速烙刀,枪套,大钢弩,盐钳海盗
  15. RR=191 anchor_m=191 Swiss=11 | 皮皮虾,火药角,烈酒杯,绵鳚,加速烙刀,大钢弩,枪套,套娃
  16. RR=191 anchor_m=191 Swiss=10 | 飞鱼,皮皮虾,火药角,烈酒杯,绵鳚,加速烙刀,大钢弩,枪套
  17. RR=191 anchor_m=191 Swiss=10 | 皮皮虾,火药角,烈酒杯,绵鳚,加速烙刀,大钢弩,珊瑚,枪套
  18. RR=181 anchor_m=181 Swiss=9 | 皮皮虾,龙涎香,火药角,烈酒杯,绵鳚,加速烙刀,大钢弩,枪套
  19. RR=178 anchor_m=178 Swiss=10 | 皮皮虾,火药角,烈酒杯,绵鳚,加速烙刀,大钢弩,枪套,珍珠
  20. RR=176 anchor_m=176 Swiss=9 | 理查森先生,迷幻蝠鲼,皮皮虾,十手,火药角,烈酒杯,水车,珊瑚

[GDF] seeds: 烙刀
[GDF] size=10 top 20
  1. RR=293 anchor_m=9 Swiss=11 | 烙刀,加速烙刀,绵鳚,打火机,燃烧子弹,燃烧响炮,篝火
  2. RR=251 anchor_m=172 Swiss=10 | 烙刀,篝火,燃烧响炮,加速烙刀,绵鳚,打火机,烈酒杯
  3. RR=261 anchor_m=138 Swiss=10 | 燃烧响炮,绵鳚,烙刀,打火机,篝火,加速烙刀,枪套
  4. RR=241 anchor_m=143 Swiss=10 | 烙刀,绵鳚,小冰镐,燃烧子弹,打火机,篝火,加速烙刀
  5. RR=240 anchor_m=141 Swiss=11 | 烙刀,绵鳚,珊瑚,燃烧子弹,打火机,篝火,加速烙刀
  6. RR=227 anchor_m=145 Swiss=11 | 理查森先生,绵鳚,烙刀,燃烧子弹,打火机,篝火,加速烙刀
  7. RR=265 anchor_m=63 Swiss=11 | 烙刀,拍立蚌,燃烧子弹,打火机,篝火,绵鳚,加速烙刀
  8. RR=195 anchor_m=189 Swiss=10 | 烙刀,燃烧子弹,打火机,篝火,加速烙刀,大钢弩
  9. RR=236 anchor_m=63 Swiss=10 | 烙刀,套娃,燃烧子弹,打火机,绵鳚,篝火,加速烙刀
  10. RR=221 anchor_m=66 Swiss=11 | 烙刀,淬锋钢,燃烧子弹,打火机,篝火,绵鳚,加速烙刀
  11. RR=227 anchor_m=51 Swiss=10 | 枪套,烙刀,加速烙刀,绵鳚,潜水配重,水母,燃烧响炮,打火机
  12. RR=180 anchor_m=142 Swiss=10 | 燃烧响炮,绵鳚,烙刀,打火机,篝火,加速烙刀,小冰镐
  13. RR=171 anchor_m=154 Swiss=10 | 盐钳海盗,绵鳚,烙刀,燃烧子弹,打火机,篝火,加速烙刀
  14. RR=184 anchor_m=126 Swiss=10 | 燃烧响炮,绵鳚,烙刀,藏刃匕首,打火机,篝火,加速烙刀
  15. RR=179 anchor_m=120 Swiss=11 | 蔻森娜纹章,燃烧响炮,绵鳚,烙刀,打火机,篝火,加速烙刀
  16. RR=215 anchor_m=42 Swiss=10 | 珊瑚,烙刀,燃烧响炮,燃烧子弹,打火机,篝火,加速烙刀
  17. RR=187 anchor_m=97 Swiss=10 | 烙刀,烈酒杯,燃烧响炮,燃烧子弹,打火机,篝火,加速烙刀
  18. RR=196 anchor_m=68 Swiss=10 | 烙刀,枪套,燃烧响炮,燃烧子弹,打火机,篝火,加速烙刀
  19. RR=193 anchor_m=73 Swiss=10 | 烙刀,燃烧响炮,套娃,燃烧子弹,打火机,篝火,加速烙刀
  20. RR=157 anchor_m=143 Swiss=10 | 飞鱼,燃烧响炮,绵鳚,烙刀,打火机,篝火,加速烙刀

[GDF] seeds: 燃烧响炮
[GDF] size=10 top 20
  1. RR=260 anchor_m=241 Swiss=11 | 打火机,水母,潜水配重,绵鳚,加速烙刀,燃烧响炮,枪套,大钢弩
  2. RR=256 anchor_m=256 Swiss=10 | 大钢弩,打火机,绵鳚,加速烙刀,燃烧子弹,燃烧响炮,篝火
  3. RR=250 anchor_m=250 Swiss=10 | 篝火,毒须鲶,燃烧子弹,打火机,绵鳚,燃烧响炮,大钢弩,枪套
  4. RR=242 anchor_m=218 Swiss=10 | 大钢弩,枪套,打火机,飞鱼,潜水配重,绵鳚,加速烙刀,燃烧响炮
  5. RR=226 anchor_m=226 Swiss=10 | 打火机,绵鳚,加速烙刀,大钢弩,枪套,篝火,燃烧响炮
  6. RR=219 anchor_m=219 Swiss=10 | 篝火,毒须鲶,套娃,燃烧子弹,打火机,绵鳚,燃烧响炮,大钢弩
  7. RR=220 anchor_m=195 Swiss=11 | 枪套,打火机,潜水配重,绵鳚,加速烙刀,大钢弩,烈酒杯,燃烧响炮
  8. RR=211 anchor_m=210 Swiss=11 | 打火机,大钢弩,珊瑚,潜水配重,绵鳚,加速烙刀,燃烧响炮,枪套
  9. RR=194 anchor_m=194 Swiss=9 | 篝火,毒须鲶,燃烧子弹,燃烧响炮,绵鳚,加速烙刀,大钢弩
  10. RR=195 anchor_m=188 Swiss=10 | 烈酒杯,大钢弩,打火机,绵鳚,篝火,加速烙刀,燃烧响炮
  11. RR=193 anchor_m=191 Swiss=10 | 枪套,打火机,藏刃匕首,潜水配重,绵鳚,加速烙刀,燃烧响炮,大钢弩
  12. RR=190 anchor_m=190 Swiss=10 | 打火机,绵鳚,加速烙刀,拍立蚌,燃烧子弹,燃烧响炮,篝火,小冰镐
  13. RR=190 anchor_m=180 Swiss=10 | 加速烙刀,篝火,打火机,燃烧子弹,珊瑚,绵鳚,燃烧响炮,蔻森娜纹章
  14. RR=186 anchor_m=184 Swiss=11 | 枪套,大钢弩,打火机,拍立蚌,潜水配重,绵鳚,加速烙刀,燃烧响炮
  15. RR=185 anchor_m=185 Swiss=10 | 小冰镐,篝火,毒须鲶,燃烧子弹,打火机,绵鳚,燃烧响炮,大钢弩
  16. RR=201 anchor_m=148 Swiss=11 | 加速烙刀,篝火,打火机,燃烧子弹,珊瑚,绵鳚,理查森先生,燃烧响炮
  17. RR=188 anchor_m=171 Swiss=11 | 加速烙刀,篝火,打火机,燃烧子弹,拍立蚌,珊瑚,绵鳚,燃烧响炮
  18. RR=181 anchor_m=178 Swiss=10 | 加速烙刀,篝火,打火机,燃烧子弹,套娃,珊瑚,绵鳚,燃烧响炮
  19. RR=178 anchor_m=177 Swiss=10 | 打火机,绵鳚,加速烙刀,拍立蚌,燃烧子弹,燃烧响炮,篝火,理查森先生
  20. RR=176 anchor_m=176 Swiss=10 | 枪套,打火机,珍珠,潜水配重,绵鳚,加速烙刀,大钢弩,燃烧响炮

[GDF] seeds: 燃烧子弹
[GDF] size=10 top 20
  1. RR=278 anchor_m=278 Swiss=11 | 加速烙刀,绵鳚,篝火,打火机,燃烧子弹,拍立蚌,大钢弩
  2. RR=257 anchor_m=257 Swiss=10 | 加速烙刀,绵鳚,篝火,打火机,燃烧子弹,套娃,大钢弩
  3. RR=234 anchor_m=234 Swiss=10 | 加速烙刀,绵鳚,篝火,打火机,燃烧子弹,流星索,大钢弩
  4. RR=234 anchor_m=233 Swiss=10 | 加速烙刀,篝火,打火机,燃烧子弹,燃烧响炮,绵鳚,大钢弩
  5. RR=233 anchor_m=233 Swiss=9 | 加速烙刀,绵鳚,打火机,燃烧子弹,燃烧响炮,篝火,珊瑚护甲
  6. RR=228 anchor_m=228 Swiss=10 | 加速烙刀,绵鳚,篝火,打火机,燃烧子弹,淬锋钢,大钢弩
  7. RR=223 anchor_m=223 Swiss=10 | 加速烙刀,篝火,绵鳚,打火机,燃烧子弹,小冰镐,大钢弩
  8. RR=217 anchor_m=217 Swiss=9 | 加速烙刀,绵鳚,篝火,打火机,燃烧子弹,独角鲸,大钢弩
  9. RR=213 anchor_m=213 Swiss=10 | 加速烙刀,绵鳚,篝火,打火机,燃烧子弹,左轮手枪,大钢弩
  10. RR=210 anchor_m=210 Swiss=9 | 加速烙刀,篝火,打火机,燃烧子弹,燃烧响炮,大钢弩,枪套
  11. RR=199 anchor_m=199 Swiss=10 | 加速烙刀,绵鳚,篝火,打火机,燃烧子弹,藏刃匕首,大钢弩
  12. RR=196 anchor_m=195 Swiss=10 | 珊瑚,加速烙刀,绵鳚,打火机,燃烧子弹,燃烧响炮,篝火,小冰镐
  13. RR=192 anchor_m=192 Swiss=9 | 加速烙刀,绵鳚,打火机,燃烧子弹,燃烧响炮,篝火,珊瑚,流星索
  14. RR=187 anchor_m=187 Swiss=9 | 大钢弩,加速烙刀,绵鳚,打火机,燃烧子弹,珊瑚,篝火
  15. RR=187 anchor_m=185 Swiss=9 | 加速烙刀,绵鳚,打火机,燃烧子弹,燃烧响炮,篝火,小冰镐,拍立蚌
  16. RR=186 anchor_m=186 Swiss=10 | 加速烙刀,绵鳚,篝火,打火机,燃烧子弹,龙涎香,大钢弩
  17. RR=180 anchor_m=180 Swiss=9 | 加速烙刀,绵鳚,打火机,燃烧子弹,燃烧响炮,篝火,理查森先生,珊瑚
  18. RR=180 anchor_m=176 Swiss=9 | 烈酒杯,加速烙刀,绵鳚,篝火,打火机,燃烧子弹,大钢弩
  19. RR=178 anchor_m=178 Swiss=9 | 加速烙刀,绵鳚,打火机,燃烧子弹,燃烧响炮,篝火,珊瑚,拍立蚌
  20. RR=167 anchor_m=167 Swiss=9 | 加速烙刀,绵鳚,打火机,燃烧子弹,燃烧响炮,篝火,小冰镐,手斧

[GDF] seeds: 牌桌
[GDF] size=10 top 20
  1. RR=279 anchor_m=265 Swiss=11 | 六分仪,淬锋钢,牌桌,吸血章鱼,水车,潜水配重
  2. RR=277 anchor_m=243 Swiss=11 | 淬锋钢,牌桌,枪套,沙滩充气球,潜水配重,吸血章鱼,六分仪
  3. RR=263 anchor_m=250 Swiss=11 | 淬锋钢,牌桌,沙滩充气球,集成式HUD,吸血章鱼,六分仪,潜水配重
  4. RR=256 anchor_m=239 Swiss=11 | 淬锋钢,牌桌,沙滩充气球,定制准镜,吸血章鱼,潜水配重,六分仪
  5. RR=247 anchor_m=230 Swiss=11 | 淬锋钢,牌桌,烈酒杯,沙滩充气球,吸血章鱼,六分仪,潜水配重
  6. RR=238 anchor_m=229 Swiss=10 | 淬锋钢,六分仪,潜水配重,沙滩充气球,牌桌,吸血章鱼,蔻森娜纹章
  7. RR=232 anchor_m=232 Swiss=10 | 六分仪,淬锋钢,牌桌,吸血章鱼,水车,套娃
  8. RR=229 anchor_m=229 Swiss=10 | 六分仪,淬锋钢,牌桌,吸血章鱼,水车,拍立蚌
  9. RR=230 anchor_m=226 Swiss=11 | 淬锋钢,牌桌,消音器,沙滩充气球,吸血章鱼,六分仪,潜水配重
  10. RR=235 anchor_m=213 Swiss=10 | 淬锋钢,牌桌,沙滩充气球,吸血章鱼,六分仪,码头缆索
  11. RR=226 anchor_m=212 Swiss=10 | 淬锋钢,六分仪,潜水配重,炮弹,牌桌,吸血章鱼,沙滩充气球
  12. RR=211 anchor_m=204 Swiss=10 | 淬锋钢,牌桌,沙滩充气球,吸血章鱼,六分仪,潜水配重,拍立蚌
  13. RR=194 anchor_m=187 Swiss=10 | 火药角,淬锋钢,牌桌,沙滩充气球,吸血章鱼,六分仪,潜水配重
  14. RR=183 anchor_m=183 Swiss=10 | 六分仪,淬锋钢,牌桌,吸血章鱼,水车,烈酒杯
  15. RR=178 anchor_m=175 Swiss=10 | 淬锋钢,六分仪,潜水配重,舱底蠕虫,牌桌,沙滩充气球,吸血章鱼
  16. RR=179 anchor_m=171 Swiss=10 | 淬锋钢,星盘,六分仪,潜水配重,枪套,牌桌,吸血章鱼
  17. RR=177 anchor_m=172 Swiss=10 | 淬锋钢,牌桌,沙滩充气球,吸血章鱼,六分仪,潜水配重,鱼饵
  18. RR=172 anchor_m=163 Swiss=10 | 淬锋钢,拍立蚌,星盘,六分仪,潜水配重,牌桌,吸血章鱼
  19. RR=167 anchor_m=167 Swiss=10 | 淬锋钢,水车,独角鲸,码头缆索,牌桌,拍立蚌
  20. RR=167 anchor_m=165 Swiss=9 | 淬锋钢,牌桌,沙滩充气球,吸血章鱼,刺刀,六分仪,潜水配重

[GDF] seeds: 独角鲸
[GDF] size=10 top 20
  1. RR=203 anchor_m=67 Swiss=10 | 小冰镐,绵鳚,元素深水炸弹,雪怪蟹,水母,迷幻蝠鲼,皮皮虾,拍立蚌,独角鲸
  2. RR=189 anchor_m=126 Swiss=10 | 小冰镐,绵鳚,元素深水炸弹,雪怪蟹,水母,珍珠,独角鲸,迷幻蝠鲼,皮皮虾
  3. RR=197 anchor_m=95 Swiss=10 | 小冰镐,绵鳚,元素深水炸弹,雪怪蟹,水母,独角鲸,迷幻蝠鲼,皮皮虾,珊瑚
  4. RR=183 anchor_m=109 Swiss=10 | 珊瑚,海螺壳,小冰镐,绵鳚,元素深水炸弹,雪怪蟹,水母,拍立蚌,独角鲸
  5. RR=188 anchor_m=92 Swiss=9 | 小冰镐,绵鳚,元素深水炸弹,雪怪蟹,水母,拍立蚌,独角鲸,潜水配重,水草
  6. RR=175 anchor_m=111 Swiss=11 | 小冰镐,绵鳚,元素深水炸弹,雪怪蟹,水母,潜水配重,独角鲸,海螺壳,水草
  7. RR=173 anchor_m=99 Swiss=10 | 小冰镐,绵鳚,元素深水炸弹,雪怪蟹,水母,珍珠,潜水配重,珊瑚,独角鲸
  8. RR=165 anchor_m=115 Swiss=11 | 小冰镐,鱼饵,水草,绵鳚,元素深水炸弹,雪怪蟹,水母,潜水配重,独角鲸
  9. RR=167 anchor_m=95 Swiss=10 | 拍立蚌,珍珠,小冰镐,绵鳚,元素深水炸弹,雪怪蟹,水母,独角鲸,水草
  10. RR=160 anchor_m=106 Swiss=10 | 飞鱼,小冰镐,绵鳚,元素深水炸弹,雪怪蟹,水母,独角鲸,水草,珊瑚
  11. RR=169 anchor_m=88 Swiss=11 | 珊瑚,小冰镐,绵鳚,元素深水炸弹,雪怪蟹,水母,珍珠,拍立蚌,独角鲸
  12. RR=152 anchor_m=121 Swiss=9 | 小冰镐,鱼饵,珍珠,水草,绵鳚,元素深水炸弹,雪怪蟹,水母,独角鲸
  13. RR=162 anchor_m=99 Swiss=10 | 小冰镐,绵鳚,元素深水炸弹,雪怪蟹,水母,珍珠,独角鲸,飞鱼,拍立蚌
  14. RR=170 anchor_m=77 Swiss=10 | 小冰镐,绵鳚,元素深水炸弹,雪怪蟹,水母,迷幻蝠鲼,拍立蚌,水草,独角鲸
  15. RR=170 anchor_m=75 Swiss=10 | 海螺壳,小冰镐,绵鳚,元素深水炸弹,雪怪蟹,水母,独角鲸,迷幻蝠鲼,皮皮虾
  16. RR=171 anchor_m=71 Swiss=10 | 海螺壳,小冰镐,绵鳚,元素深水炸弹,雪怪蟹,水母,潜水配重,拍立蚌,独角鲸
  17. RR=168 anchor_m=76 Swiss=10 | 水草,小冰镐,绵鳚,元素深水炸弹,雪怪蟹,水母,潜水配重,珊瑚,独角鲸
  18. RR=156 anchor_m=98 Swiss=10 | 珊瑚,海螺壳,小冰镐,绵鳚,元素深水炸弹,雪怪蟹,水母,珍珠,独角鲸
  19. RR=157 anchor_m=96 Swiss=9 | 小冰镐,绵鳚,元素深水炸弹,雪怪蟹,水母,独角鲸,理查森先生,潜水配重,水草
  20. RR=159 anchor_m=89 Swiss=10 | 小冰镐,绵鳚,元素深水炸弹,雪怪蟹,水母,独角鲸,海螺壳,鱼饵,水草

[GDF] seeds: 狼筅
[GDF] size=10 top 20
  1. RR=280 anchor_m=164 Swiss=11 | 打火机,绵鳚,狼筅,篝火,燃烧响炮,燃烧子弹,大钢弩
  2. RR=237 anchor_m=237 Swiss=10 | 打火机,绵鳚,狼筅,枪套,篝火,燃烧响炮,大钢弩
  3. RR=238 anchor_m=217 Swiss=10 | 飞鱼,打火机,绵鳚,狼筅,篝火,燃烧响炮,大钢弩
  4. RR=228 anchor_m=224 Swiss=10 | 打火机,绵鳚,鹦鹉皮特,狼筅,篝火,燃烧响炮,大钢弩
  5. RR=244 anchor_m=158 Swiss=11 | 海螺壳,狼筅,珊瑚,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐
  6. RR=222 anchor_m=189 Swiss=11 | 打火机,绵鳚,狼筅,篝火,燃烧响炮,烈酒杯,大钢弩
  7. RR=207 anchor_m=200 Swiss=9 | 打火机,绵鳚,狼筅,篝火,燃烧响炮,珊瑚,大钢弩
  8. RR=222 anchor_m=157 Swiss=10 | 狼筅,珊瑚,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,拍立蚌
  9. RR=225 anchor_m=148 Swiss=10 | 打火机,绵鳚,狼筅,加速烙刀,篝火,燃烧响炮,燃烧子弹
  10. RR=205 anchor_m=182 Swiss=10 | 打火机,绵鳚,狼筅,枪套,加速烙刀,篝火,燃烧响炮
  11. RR=221 anchor_m=145 Swiss=11 | 狼筅,珊瑚,珍珠,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐
  12. RR=184 anchor_m=179 Swiss=10 | 打火机,绵鳚,小冰镐,狼筅,篝火,燃烧响炮,大钢弩
  13. RR=193 anchor_m=155 Swiss=10 | 打火机,绵鳚,狼筅,蔻森娜纹章,篝火,燃烧响炮,大钢弩
  14. RR=182 anchor_m=172 Swiss=10 | 打火机,绵鳚,狼筅,篝火,燃烧响炮,手雷,大钢弩
  15. RR=196 anchor_m=123 Swiss=11 | 烈酒杯,打火机,绵鳚,狼筅,加速烙刀,篝火,燃烧响炮
  16. RR=184 anchor_m=146 Swiss=10 | 打火机,绵鳚,狼筅,篝火,加速烙刀,珊瑚,燃烧响炮
  17. RR=174 anchor_m=163 Swiss=11 | 珊瑚,篝火,小冰镐,燃烧子弹,打火机,绵鳚,狼筅,燃烧响炮
  18. RR=193 anchor_m=125 Swiss=10 | 狼筅,珊瑚,迷幻蝠鲼,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐
  19. RR=171 anchor_m=168 Swiss=10 | 拍立蚌,打火机,绵鳚,狼筅,篝火,燃烧响炮,大钢弩
  20. RR=188 anchor_m=124 Swiss=11 | 鱼饵,狼筅,珊瑚,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐

[GDF] seeds: 珊瑚
[GDF] size=10 top 20
  1. RR=211 anchor_m=113 Swiss=9 | 拍立蚌,绵鳚,元素深水炸弹,雪怪蟹,水母,迷幻蝠鲼,皮皮虾,珊瑚,小冰镐
  2. RR=192 anchor_m=150 Swiss=10 | 水草,拍立蚌,海螺壳,绵鳚,元素深水炸弹,雪怪蟹,水母,珊瑚,小冰镐
  3. RR=192 anchor_m=146 Swiss=10 | 拍立蚌,鱼饵,海螺壳,绵鳚,元素深水炸弹,雪怪蟹,水母,珊瑚,小冰镐
  4. RR=187 anchor_m=151 Swiss=10 | 珍珠,鱼饵,水草,绵鳚,元素深水炸弹,雪怪蟹,水母,珊瑚,小冰镐
  5. RR=193 anchor_m=139 Swiss=10 | 海螺壳,绵鳚,元素深水炸弹,雪怪蟹,水母,潜水配重,珊瑚,小冰镐,拍立蚌
  6. RR=185 anchor_m=140 Swiss=9 | 鱼饵,水草,绵鳚,元素深水炸弹,雪怪蟹,水母,吸血章鱼,珊瑚,小冰镐
