# gdf_enumerate_anchor_top1: full Top-K per anchor (last size tier only)
[GDF] seeds: 三花
[GDF] size=10 top 20
  1. RR=276 anchor_m=5 Swiss=11 | 篝火,打火机,燃烧子弹,三花,燃烧响炮,绵鳚,珊瑚,大钢弩
  12. RR=187 anchor_m=118 Swiss=10 | 藏刃匕首,绵鳚,小冰镐,燃烧子弹,淬锋钢,手斧,燃烧响炮,打火机,湿件战服
  13. RR=160 anchor_m=154 Swiss=10 | 独角鲸,湿件战服,绵鳚,小冰镐,弹簧刀,抛石机,藏刃匕首
  14. RR=177 anchor_m=118 Swiss=10 | 手斧,弹簧刀,小冰镐,飞鱼,潜水配重,带刃悬浮板,淬锋钢,湿件战服
  15. RR=176 anchor_m=119 Swiss=10 | 藏刃匕首,打火机,绵鳚,小冰镐,燃烧子弹,淬锋钢,燃烧响炮,湿件战服,枪套
  16. RR=163 anchor_m=139 Swiss=10 | 手斧,湿件战服,绵鳚,小冰镐,弹簧刀,抛石机,藏刃匕首
  17. RR=157 anchor_m=148 Swiss=9 | 马龙鱼,藏刃匕首,葡萄弹,飞镖发射器,十手,淬锋钢,小冰镐,湿件战服
  18. RR=177 anchor_m=101 Swiss=11 | 葡萄弹,燃烧响炮,小冰镐,飞鱼,潜水配重,带刃悬浮板,淬锋钢,湿件战服
  19. RR=182 anchor_m=90 Swiss=10 | 小冰镐,喷射摩托,马龙鱼,消音器,湿件战服,淬锋钢
  20. RR=169 anchor_m=110 Swiss=10 | 飞镖发射器,手斧,小冰镐,飞鱼,潜水配重,带刃悬浮板,淬锋钢,湿件战服

[GDF] seeds: 潜水配重
[GDF] size=10 top 20
  1. RR=248 anchor_m=225 Swiss=10 | 小冰镐,淬锋钢,枪套,深潜器,带刃悬浮板,潜水配重,湿件战服
  2. RR=207 anchor_m=203 Swiss=11 | 燃烧响炮,枪套,潜水配重,绵鳚,大钢弩,加速烙刀,藏刃匕首,打火机
  3. RR=205 anchor_m=205 Swiss=9 | 大钢弩,烈酒杯,枪套,潜水配重,绵鳚,加速烙刀,救生圈
  4. RR=218 anchor_m=166 Swiss=10 | 小冰镐,淬锋钢,流星索,深潜器,带刃悬浮板,潜水配重,湿件战服
  5. RR=195 anchor_m=187 Swiss=10 | 燃烧响炮,烈酒杯,拍立蚌,枪套,潜水配重,绵鳚,大钢弩,加速烙刀
  6. RR=194 anchor_m=179 Swiss=10 | 燃烧响炮,烈酒杯,枪套,潜水配重,绵鳚,大钢弩,加速烙刀,流星索
  7. RR=190 anchor_m=186 Swiss=10 | 救生圈,大钢弩,潜水配重,绵鳚,加速烙刀,燃烧响炮,烈酒杯
  8. RR=188 anchor_m=188 Swiss=11 | 燃烧响炮,大钢弩,潜水配重,绵鳚,加速烙刀,枪套,救生圈
  9. RR=192 anchor_m=168 Swiss=11 | 理查森先生,枪套,救生圈,潜水配重,绵鳚,加速烙刀,燃烧响炮,打火机
  10. RR=184 anchor_m=182 Swiss=10 | 大钢弩,水母,潜水配重,绵鳚,加速烙刀,烈酒杯,救生圈
  11. RR=187 anchor_m=175 Swiss=11 | 小冰镐,淬锋钢,葡萄弹,深潜器,带刃悬浮板,潜水配重,湿件战服
  12. RR=181 anchor_m=181 Swiss=10 | 流星索,燃烧响炮,燃烧子弹,潜水配重,绵鳚,大钢弩,加速烙刀,枪套
  13. RR=197 anchor_m=145 Swiss=10 | 小冰镐,淬锋钢,深潜器,带刃悬浮板,潜水配重,拍立蚌,湿件战服
  14. RR=182 anchor_m=153 Swiss=11 | 枪套,救生圈,潜水配重,绵鳚,加速烙刀,流星索,燃烧响炮,打火机
  15. RR=172 anchor_m=166 Swiss=10 | 枪套,救生圈,潜水配重,绵鳚,加速烙刀,水草,燃烧响炮,打火机
  16. RR=173 anchor_m=162 Swiss=10 | 小冰镐,燃烧响炮,烈酒杯,枪套,潜水配重,绵鳚,大钢弩,加速烙刀
  17. RR=169 anchor_m=166 Swiss=10 | 燃烧响炮,烈酒杯,枪套,潜水配重,绵鳚,大钢弩,加速烙刀,珊瑚
  18. RR=168 anchor_m=166 Swiss=9 | 燃烧响炮,烈酒杯,枪套,潜水配重,绵鳚,大钢弩,加速烙刀,理查森先生
  19. RR=169 anchor_m=158 Swiss=10 | 燃烧响炮,枪套,潜水配重,绵鳚,大钢弩,加速烙刀,流星索,藏刃匕首
  20. RR=164 anchor_m=164 Swiss=10 | 小冰镐,救生圈,燃烧响炮,燃烧子弹,潜水配重,绵鳚,加速烙刀,枪套

[GDF] seeds: 潜艇
[GDF] size=10 top 20
  1. RR=250 anchor_m=233 Swiss=11 | 燃烧响炮,淬锋钢,燃烧子弹,潜艇,湿件战服,绵鳚,小冰镐
  2. RR=223 anchor_m=223 Swiss=10 | 淬锋钢,燃烧子弹,潜艇,流星索,湿件战服,绵鳚,小冰镐
  3. RR=216 anchor_m=214 Swiss=10 | 鱼饵,淬锋钢,燃烧子弹,潜艇,湿件战服,绵鳚,小冰镐
  4. RR=216 anchor_m=207 Swiss=11 | 淬锋钢,燃烧子弹,潜艇,湿件战服,绵鳚,小冰镐,独角鲸
  5. RR=232 anchor_m=163 Swiss=10 | 拍立蚌,潜艇,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐
  6. RR=221 anchor_m=177 Swiss=11 | 海螺壳,潜艇,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐
  7. RR=204 anchor_m=204 Swiss=10 | 潜艇,水母,雪怪蟹,元素深水炸弹,船舵,小冰镐
  8. RR=198 anchor_m=198 Swiss=10 | 淬锋钢,燃烧子弹,潜艇,手雷,湿件战服,绵鳚,小冰镐
  9. RR=195 anchor_m=194 Swiss=10 | 淬锋钢,燃烧子弹,潜艇,湿件战服,绵鳚,小冰镐,拍立蚌
  10. RR=194 anchor_m=194 Swiss=10 | 淬锋钢,毒须鲶,船舵,潜艇,潜水配重,湿件战服
  11. RR=204 anchor_m=169 Swiss=10 | 潜艇,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,潜水配重
  12. RR=204 anchor_m=165 Swiss=11 | 水草,潜艇,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐
  13. RR=197 anchor_m=176 Swiss=10 | 潜艇,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,藏刃匕首
  14. RR=202 anchor_m=165 Swiss=10 | 潜艇,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,珍珠
  15. RR=198 anchor_m=167 Swiss=9 | 潜艇,水母,雪怪蟹,元素深水炸弹,绵鳚,珊瑚,小冰镐
  16. RR=197 anchor_m=162 Swiss=11 | 潜艇,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,飞鱼
  17. RR=204 anchor_m=148 Swiss=10 | 迷幻蝠鲼,潜艇,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐
  18. RR=194 anchor_m=163 Swiss=11 | 潜艇,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,皮皮虾
  19. RR=188 anchor_m=174 Swiss=10 | 淬锋钢,潜艇,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐
  20. RR=192 anchor_m=158 Swiss=10 | 潜艇,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,燃烧响炮

[GDF] seeds: 潜行滑翔机
[GDF] size=10 top 20
  1. RR=283 anchor_m=283 Swiss=11 | 燃烧响炮,燃烧子弹,潜行滑翔机,绵鳚,加速烙刀,飞鱼,打火机
  2. RR=267 anchor_m=267 Swiss=11 | 燃烧响炮,潜行滑翔机,飞鱼,小冰镐,绵鳚,湿件战服,打火机
  3. RR=262 anchor_m=249 Swiss=11 | 淬锋钢,燃烧响炮,潜行滑翔机,小冰镐,绵鳚,湿件战服,打火机
  4. RR=251 anchor_m=248 Swiss=10 | 枪套,燃烧响炮,燃烧子弹,潜行滑翔机,绵鳚,加速烙刀,打火机
  5. RR=254 anchor_m=206 Swiss=11 | 飞鱼,燃烧响炮,潜行滑翔机,打火机,加速烙刀,篝火
  6. RR=225 anchor_m=223 Swiss=10 | 燃烧响炮,燃烧子弹,潜行滑翔机,绵鳚,加速烙刀,打火机,烈酒杯
  7. RR=215 anchor_m=214 Swiss=11 | 葡萄弹,燃烧响炮,潜行滑翔机,小冰镐,绵鳚,湿件战服,打火机
  8. RR=215 anchor_m=214 Swiss=10 | 燃烧响炮,潜行滑翔机,小冰镐,绵鳚,湿件战服,左轮手枪,打火机
  9. RR=213 anchor_m=212 Swiss=10 | 燃烧响炮,潜行滑翔机,小冰镐,绵鳚,湿件战服,打火机,十手
  10. RR=209 anchor_m=209 Swiss=10 | 燃烧响炮,潜行滑翔机,小冰镐,绵鳚,湿件战服,吸血章鱼,打火机
  11. RR=208 anchor_m=204 Swiss=10 | 火药角,燃烧响炮,潜行滑翔机,小冰镐,绵鳚,湿件战服,打火机
  12. RR=204 anchor_m=202 Swiss=10 | 燃烧响炮,潜行滑翔机,绵鳚,打火机,飞鱼,毒须鲶,篝火
  13. RR=233 anchor_m=139 Swiss=10 | 燃烧响炮,潜行滑翔机,绵鳚,打火机,燃烧子弹,毒须鲶,篝火
  14. RR=201 anchor_m=200 Swiss=10 | 珊瑚,元素深水炸弹,雪怪蟹,水母,飞鱼,小冰镐,潜行滑翔机
  15. RR=197 anchor_m=194 Swiss=10 | 燃烧响炮,潜行滑翔机,蔻森娜纹章,小冰镐,绵鳚,湿件战服,打火机
  16. RR=247 anchor_m=60 Swiss=11 | 燃烧响炮,潜行滑翔机,打火机,加速烙刀,绵鳚,篝火
  17. RR=220 anchor_m=103 Swiss=10 | 燃烧响炮,潜行滑翔机,打火机,燃烧子弹,加速烙刀,篝火
  18. RR=182 anchor_m=179 Swiss=10 | 元素深水炸弹,雪怪蟹,水母,飞鱼,小冰镐,水草,潜行滑翔机
  19. RR=169 anchor_m=162 Swiss=11 | 元素深水炸弹,雪怪蟹,水母,飞鱼,小冰镐,绵鳚,潜行滑翔机
  20. RR=203 anchor_m=71 Swiss=10 | 燃烧响炮,潜行滑翔机,打火机,加速烙刀,篝火,枪套

[GDF] seeds: 火枪
[GDF] size=10 top 20
  1. RR=281 anchor_m=135 Swiss=11 | 燃烧响炮,火枪,打火机,绵鳚,珊瑚,潜水配重,枪套,大钢弩
  2. RR=241 anchor_m=167 Swiss=10 | 飞鱼,燃烧响炮,火枪,打火机,绵鳚,珊瑚,枪套,大钢弩
  3. RR=231 anchor_m=179 Swiss=11 | 燃烧响炮,绵鳚,火枪,打火机,篝火,加速烙刀,枪套
  4. RR=278 anchor_m=83 Swiss=11 | 大钢弩,珊瑚,绵鳚,燃烧响炮,火枪,打火机,篝火
  5. RR=234 anchor_m=150 Swiss=11 | 燃烧响炮,绵鳚,火枪,燃烧子弹,打火机,篝火,加速烙刀
  6. RR=228 anchor_m=160 Swiss=10 | 烈酒杯,燃烧响炮,火枪,打火机,绵鳚,珊瑚,枪套,大钢弩
  7. RR=209 anchor_m=197 Swiss=10 | 燃烧响炮,火枪,打火机,绵鳚,珊瑚,流星索,枪套,大钢弩
  8. RR=226 anchor_m=161 Swiss=10 | 燃烧响炮,火枪,打火机,藏刃匕首,绵鳚,珊瑚,枪套,大钢弩
  9. RR=207 anchor_m=194 Swiss=10 | 燃烧响炮,火枪,打火机,绵鳚,珊瑚,枪套,小冰镐,大钢弩
  10. RR=217 anchor_m=162 Swiss=10 | 燃烧响炮,火枪,燃烧子弹,打火机,绵鳚,珊瑚,枪套,大钢弩
  11. RR=195 anchor_m=191 Swiss=10 | 燃烧响炮,火枪,打火机,绵鳚,潜水配重,拍立蚌,鱼雷,珊瑚
  12. RR=225 anchor_m=125 Swiss=11 | 大钢弩,燃烧响炮,火枪,打火机,绵鳚,潜水配重,水母,珊瑚
  13. RR=213 anchor_m=147 Swiss=10 | 烈酒杯,大钢弩,燃烧响炮,火枪,打火机,绵鳚,潜水配重,珊瑚
  14. RR=180 anchor_m=175 Swiss=10 | 枪套,燃烧响炮,火枪,打火机,绵鳚,潜水配重,鱼雷,珊瑚
  15. RR=181 anchor_m=147 Swiss=10 | 燃烧响炮,绵鳚,火枪,打火机,篝火,加速烙刀,烈酒杯
  16. RR=180 anchor_m=148 Swiss=10 | 大钢弩,藏刃匕首,燃烧响炮,火枪,打火机,绵鳚,潜水配重,珊瑚
  17. RR=177 anchor_m=150 Swiss=10 | 珊瑚,燃烧响炮,绵鳚,火枪,打火机,篝火,加速烙刀
  18. RR=167 anchor_m=167 Swiss=10 | 燃烧响炮,篝火,火枪,燃烧子弹,打火机,绵鳚,理查森先生,珊瑚
  19. RR=162 anchor_m=161 Swiss=9 | 抓钩,燃烧响炮,火枪,打火机,绵鳚,珊瑚,枪套,大钢弩
  20. RR=156 anchor_m=156 Swiss=10 | 燃烧响炮,火枪,打火机,绵鳚,珊瑚,枪套,大钢弩,理查森先生

[GDF] seeds: 火炮
[GDF] size=10 top 20
  1. RR=226 anchor_m=226 Swiss=11 | 流星索,鱼雷,手斧,打火机,炮弹,火炮,绵鳚,燃烧响炮
  2. RR=219 anchor_m=219 Swiss=10 | 手斧,打火机,流星索,鱼雷,火药角,火炮,绵鳚,燃烧响炮
  3. RR=212 anchor_m=212 Swiss=10 | 打火机,手雷,鱼雷,套娃,炮弹,火炮,绵鳚,燃烧响炮
  4. RR=206 anchor_m=205 Swiss=11 | 流星索,打火机,枪套,火炮,手斧,加速烙刀,绵鳚,燃烧响炮
  5. RR=204 anchor_m=204 Swiss=10 | 手斧,拍立蚌,打火机,鱼雷,火药角,火炮,绵鳚,燃烧响炮
  6. RR=207 anchor_m=194 Swiss=10 | 打火机,救生圈,枪套,火炮,加速烙刀,绵鳚,燃烧响炮
  7. RR=201 anchor_m=199 Swiss=10 | 流星索,打火机,枪套,火炮,葡萄弹,加速烙刀,绵鳚,燃烧响炮
  8. RR=200 anchor_m=194 Swiss=11 | 流星索,打火机,珊瑚,枪套,火炮,加速烙刀,绵鳚,燃烧响炮
  9. RR=191 anchor_m=191 Swiss=10 | 打火机,手雷,葡萄弹,鱼雷,炮弹,火炮,绵鳚,燃烧响炮
  10. RR=186 anchor_m=185 Swiss=10 | 流星索,打火机,枪套,火炮,小冰镐,加速烙刀,绵鳚,燃烧响炮
  11. RR=185 anchor_m=185 Swiss=10 | 手斧,葡萄弹,打火机,鱼雷,火药角,火炮,绵鳚,燃烧响炮
  12. RR=183 anchor_m=183 Swiss=10 | 打火机,流星索,救生圈,手雷,炮弹,火炮,绵鳚,燃烧响炮
  13. RR=181 anchor_m=181 Swiss=10 | 打火机,救生圈,葡萄弹,手雷,炮弹,火炮,绵鳚,燃烧响炮
  14. RR=187 anchor_m=168 Swiss=10 | 打火机,篝火,珊瑚,火炮,加速烙刀,绵鳚,燃烧响炮
  15. RR=180 anchor_m=180 Swiss=10 | 鱼雷,手斧,套娃,打火机,炮弹,火炮,绵鳚,燃烧响炮
  16. RR=181 anchor_m=171 Swiss=11 | 烈酒杯,打火机,火炮,加速烙刀,绵鳚,燃烧响炮,救生圈
  17. RR=182 anchor_m=164 Swiss=11 | 流星索,打火机,篝火,火炮,加速烙刀,绵鳚,燃烧响炮
  18. RR=174 anchor_m=167 Swiss=10 | 手斧,打火机,篝火,火炮,加速烙刀,绵鳚,燃烧响炮
  19. RR=171 anchor_m=171 Swiss=10 | 打火机,手雷,珊瑚,鱼雷,炮弹,火炮,绵鳚,燃烧响炮
  20. RR=170 anchor_m=170 Swiss=10 | 打火机,小冰镐,手雷,鱼雷,炮弹,火炮,绵鳚,燃烧响炮

[GDF] seeds: 火药角
[GDF] size=10 top 20
  1. RR=213 anchor_m=213 Swiss=9 | 皮皮虾,火药角,烈酒杯,枪套,理查森先生,救生圈,大钢弩,十手
  2. RR=192 anchor_m=184 Swiss=9 | 皮皮虾,火药角,烈酒杯,枪套,救生圈,大钢弩,十手,拍立蚌
  3. RR=208 anchor_m=142 Swiss=10 | 皮皮虾,火药角,烈酒杯,枪套,绵鳚,大钢弩,流星索,十手,拍立蚌
  4. RR=188 anchor_m=178 Swiss=10 | 皮皮虾,拍立蚌,水车,火药角,烈酒杯,大钢弩,十手
  5. RR=186 anchor_m=179 Swiss=9 | 皮皮虾,流星索,火药角,烈酒杯,枪套,救生圈,大钢弩,十手
  6. RR=199 anchor_m=135 Swiss=10 | 皮皮虾,火药角,烈酒杯,拍立蚌,枪套,燃烧响炮,绵鳚,大钢弩,十手
  7. RR=172 anchor_m=172 Swiss=9 | 皮皮虾,火药角,烈酒杯,枪套,海影宝驹,绵鳚,大钢弩,十手
  8. RR=166 anchor_m=165 Swiss=9 | 标枪,皮皮虾,火药角,烈酒杯,救生圈,大钢弩,十手
  9. RR=168 anchor_m=124 Swiss=9 | 皮皮虾,火药角,烈酒杯,盐钳海盗,枪套,绵鳚,大钢弩,十手,拍立蚌
  10. RR=174 anchor_m=111 Swiss=9 | 理查森先生,迷幻蝠鲼,皮皮虾,火药角,烈酒杯,大钢弩,绵鳚,十手,枪套
  11. RR=153 anchor_m=153 Swiss=9 | 皮皮虾,抓钩,火药角,烈酒杯,枪套,救生圈,大钢弩,十手
  12. RR=161 anchor_m=134 Swiss=10 | 皮皮虾,火药角,烈酒杯,枪套,水草,绵鳚,大钢弩,十手,拍立蚌
  13. RR=177 anchor_m=101 Swiss=9 | 皮皮虾,火药角,烈酒杯,枪套,打火机,流星索,绵鳚,大钢弩,十手
  14. RR=165 anchor_m=123 Swiss=9 | 拍立蚌,皮皮虾,火药角,烈酒杯,葡萄弹,枪套,绵鳚,大钢弩,十手
  15. RR=179 anchor_m=94 Swiss=10 | 皮皮虾,火药角,烈酒杯,枪套,小冰镐,拍立蚌,绵鳚,大钢弩,十手
  16. RR=171 anchor_m=108 Swiss=11 | 皮皮虾,火药角,烈酒杯,枪套,绵鳚,大钢弩,十手,手雷,拍立蚌
  17. RR=163 anchor_m=124 Swiss=9 | 皮皮虾,火药角,烈酒杯,手斧,枪套,绵鳚,大钢弩,十手,拍立蚌
  18. RR=158 anchor_m=134 Swiss=9 | 皮皮虾,火药角,烈酒杯,枪套,小冰镐,绵鳚,大钢弩,打火机,十手
  19. RR=149 anchor_m=148 Swiss=9 | 迷幻蝠鲼,皮皮虾,火药角,烈酒杯,大钢弩,十手,救生圈,枪套
  20. RR=161 anchor_m=119 Swiss=9 | 皮皮虾,火药角,烈酒杯,枪套,燃烧响炮,绵鳚,大钢弩,十手,手斧

[GDF] seeds: 炮弹
[GDF] size=10 top 20
  1. RR=226 anchor_m=131 Swiss=10 | 救生圈,水草,珍珠,鱼雷,炮弹,潜水配重,珊瑚,毒须鲶
  2. RR=210 anchor_m=191 Swiss=10 | 珍珠,水草,绵鳚,鱼雷,炮弹,潜水配重,毒须鲶,救生圈
  3. RR=202 anchor_m=178 Swiss=11 | 炮弹,鱼雷,珍珠,水车,潜水配重,珊瑚,毒须鲶
  4. RR=205 anchor_m=160 Swiss=10 | 水草,绵鳚,鱼雷,炮弹,潜水配重,毒须鲶,救生圈,珊瑚
  5. RR=196 anchor_m=176 Swiss=10 | 手斧,打火机,燃烧子弹,小冰镐,绵鳚,火炮,炮弹,手雷,燃烧响炮
  6. RR=203 anchor_m=140 Swiss=11 | 拍立蚌,水草,珍珠,鱼雷,炮弹,潜水配重,珊瑚,海螺壳,毒须鲶
  7. RR=186 anchor_m=171 Swiss=9 | 珍珠,水草,鱼雷,炮弹,潜水配重,毒须鲶,迷幻蝠鲼,救生圈
  8. RR=194 anchor_m=140 Swiss=10 | 救生圈,手斧,打火机,绵鳚,火炮,炮弹,手雷,燃烧响炮
  9. RR=218 anchor_m=85 Swiss=11 | 葡萄弹,绵鳚,火炮,炮弹,手雷,鱼雷,燃烧响炮,手斧
  10. RR=178 anchor_m=161 Swiss=10 | 炮弹,鱼雷,海螺壳,珍珠,潜水配重,珊瑚,救生圈,毒须鲶
  11. RR=177 anchor_m=156 Swiss=10 | 手斧,打火机,小冰镐,绵鳚,火炮,炮弹,手雷,藏刃匕首,燃烧响炮
  12. RR=166 anchor_m=164 Swiss=9 | 打火机,小冰镐,绵鳚,火炮,炮弹,手雷,篝火,燃烧响炮
  13. RR=169 anchor_m=145 Swiss=9 | 流星索,手斧,燃烧子弹,打火机,绵鳚,火炮,炮弹,手雷,燃烧响炮
  14. RR=168 anchor_m=126 Swiss=10 | 打火机,小冰镐,绵鳚,火炮,炮弹,燃烧响炮,抛石机
  15. RR=180 anchor_m=100 Swiss=11 | 水草,烈酒杯,炮弹,潜水配重,毒须鲶,沙滩充气球,理查森先生,救生圈
  16. RR=154 anchor_m=149 Swiss=10 | 流星索,打火机,小冰镐,绵鳚,火炮,炮弹,手雷,燃烧响炮,枪套
  17. RR=155 anchor_m=140 Swiss=11 | 手斧,淬锋钢,救生圈,打火机,绵鳚,火炮,炮弹,燃烧响炮
  18. RR=165 anchor_m=120 Swiss=10 | 打火机,小冰镐,绵鳚,火炮,炮弹,燃烧响炮,手斧,救生圈
  19. RR=177 anchor_m=93 Swiss=10 | 水草,烈酒杯,炮弹,潜水配重,珍珠,拍立蚌,毒须鲶,理查森先生,救生圈
  20. RR=150 anchor_m=144 Swiss=9 | 鱼雷,炮弹,救生圈,潜水配重,珊瑚,珍珠,迷幻蝠鲼,毒须鲶

[GDF] seeds: 烈酒杯
[GDF] size=10 top 20
  1. RR=207 anchor_m=207 Swiss=11 | 火药角,烈酒杯,枪套,大钢弩,皮皮虾,救生圈,理查森先生,潜水配重
  2. RR=206 anchor_m=206 Swiss=11 | 十手,大钢弩,绵鳚,火药角,烈酒杯,皮皮虾,拍立蚌,枪套,流星索
  3. RR=200 anchor_m=200 Swiss=10 | 火药角,烈酒杯,十手,绵鳚,大钢弩,枪套,皮皮虾,拍立蚌,葡萄弹
  4. RR=199 anchor_m=199 Swiss=10 | 理查森先生,十手,大钢弩,火药角,烈酒杯,皮皮虾,枪套,救生圈
  5. RR=201 anchor_m=195 Swiss=10 | 火药角,烈酒杯,大钢弩,绵鳚,皮皮虾,潜水配重,拍立蚌,十手,枪套
  6. RR=190 anchor_m=190 Swiss=11 | 火药角,烈酒杯,流星索,救生圈,枪套,大钢弩,皮皮虾,潜水配重
  7. RR=188 anchor_m=188 Swiss=10 | 十手,火药角,烈酒杯,救生圈,枪套,大钢弩,皮皮虾,潜水配重
  8. RR=187 anchor_m=187 Swiss=10 | 火药角,烈酒杯,拍立蚌,绵鳚,大钢弩,枪套,流星索,皮皮虾,葡萄弹
  9. RR=185 anchor_m=185 Swiss=9 | 十手,流星索,火药角,烈酒杯,皮皮虾,救生圈,枪套,大钢弩
  10. RR=180 anchor_m=180 Swiss=10 | 火药角,烈酒杯,救生圈,枪套,大钢弩,皮皮虾,拍立蚌,潜水配重
  11. RR=178 anchor_m=178 Swiss=9 | 火药角,烈酒杯,救生圈,枪套,大钢弩,燃烧响炮,皮皮虾,潜水配重
  12. RR=178 anchor_m=178 Swiss=9 | 枪套,火药角,烈酒杯,救生圈,盐钳海盗,大钢弩,皮皮虾,潜水配重
  13. RR=176 anchor_m=176 Swiss=10 | 十手,大钢弩,拍立蚌,标枪,火药角,烈酒杯,皮皮虾,枪套
  14. RR=176 anchor_m=176 Swiss=10 | 十手,大钢弩,珊瑚,火药角,烈酒杯,皮皮虾,枪套,救生圈
  15. RR=171 anchor_m=171 Swiss=10 | 火药角,烈酒杯,藏刃匕首,枪套,大钢弩,皮皮虾,潜水配重,救生圈
  16. RR=169 anchor_m=169 Swiss=10 | 火药角,烈酒杯,救生圈,枪套,大钢弩,皮皮虾,潜水配重,珍珠
  17. RR=169 anchor_m=169 Swiss=10 | 锁镰,十手,大钢弩,绵鳚,火药角,烈酒杯,皮皮虾,枪套,流星索
  18. RR=169 anchor_m=169 Swiss=10 | 十手,大钢弩,绵鳚,火药角,烈酒杯,皮皮虾,拍立蚌,小冰镐,枪套
  19. RR=163 anchor_m=163 Swiss=10 | 火药角,烈酒杯,小冰镐,流星索,绵鳚,大钢弩,枪套,皮皮虾,葡萄弹
  20. RR=157 anchor_m=157 Swiss=10 | 十手,飞镖发射器,大钢弩,火药角,烈酒杯,皮皮虾,枪套,救生圈

[GDF] seeds: 烙刀
[GDF] size=10 top 20
  1. RR=240 anchor_m=50 Swiss=9 | 燃烧响炮,篝火,标枪,打火机,烙刀,大钢弩
  2. RR=238 anchor_m=75 Swiss=11 | 藏刃匕首,燃烧响炮,篝火,打火机,烙刀,绵鳚,大钢弩
  3. RR=206 anchor_m=131 Swiss=9 | 燃烧响炮,淬锋钢,湿件战服,绵鳚,小冰镐,打火机,葡萄弹,烙刀
  4. RR=196 anchor_m=149 Swiss=10 | 燃烧响炮,淬锋钢,湿件战服,绵鳚,小冰镐,打火机,烙刀,弹簧刀
  5. RR=180 anchor_m=141 Swiss=10 | 燃烧响炮,湿件战服,绵鳚,小冰镐,十手,打火机,烙刀,拍立蚌
  6. RR=187 anchor_m=126 Swiss=9 | 燃烧响炮,湿件战服,绵鳚,小冰镐,流星索,打火机,烙刀,十手
  7. RR=183 anchor_m=128 Swiss=9 | 淬锋钢,燃烧响炮,湿件战服,绵鳚,小冰镐,流星索,打火机,烙刀
  8. RR=175 anchor_m=143 Swiss=9 | 鱼饵,燃烧响炮,湿件战服,绵鳚,小冰镐,打火机,珊瑚,烙刀
  9. RR=216 anchor_m=44 Swiss=10 | 燃烧响炮,篝火,加速烙刀,打火机,绵鳚,小冰镐,烙刀
  10. RR=182 anchor_m=101 Swiss=9 | 大钢弩,燃烧响炮,珊瑚,篝火,打火机,燃烧子弹,烙刀
  11. RR=176 anchor_m=111 Swiss=10 | 燃烧响炮,篝火,加速烙刀,打火机,理查森先生,绵鳚,烙刀
  12. RR=163 anchor_m=135 Swiss=10 | 燃烧响炮,湿件战服,绵鳚,小冰镐,打火机,烙刀,弹簧刀,吸血章鱼
  13. RR=204 anchor_m=39 Swiss=10 | 燃烧响炮,篝火,绵鳚,潜水配重,打火机,烙刀,大钢弩
  14. RR=173 anchor_m=99 Swiss=9 | 燃烧响炮,淬锋钢,湿件战服,绵鳚,小冰镐,飞鱼,打火机,烙刀
  15. RR=162 anchor_m=118 Swiss=9 | 燃烧响炮,湿件战服,绵鳚,小冰镐,打火机,烙刀,十手,藏刃匕首
  16. RR=202 anchor_m=37 Swiss=9 | 珊瑚,燃烧响炮,篝火,绵鳚,打火机,烙刀,大钢弩
  17. RR=173 anchor_m=95 Swiss=9 | 燃烧响炮,吸血章鱼,淬锋钢,湿件战服,绵鳚,小冰镐,打火机,烙刀
  18. RR=152 anchor_m=128 Swiss=9 | 燃烧响炮,湿件战服,绵鳚,小冰镐,理查森先生,十手,打火机,烙刀
  19. RR=185 anchor_m=61 Swiss=9 | 燃烧响炮,淬锋钢,独角鲸,湿件战服,绵鳚,小冰镐,打火机,烙刀
  20. RR=151 anchor_m=126 Swiss=9 | 三花,燃烧响炮,湿件战服,绵鳚,小冰镐,十手,打火机,烙刀

[GDF] seeds: 燃烧响炮
[GDF] size=10 top 20
  1. RR=288 anchor_m=258 Swiss=11 | 大钢弩,绵鳚,燃烧响炮,燃烧子弹,打火机,篝火,加速烙刀
  2. RR=272 anchor_m=272 Swiss=11 | 燃烧响炮,绵鳚,大钢弩,打火机,燃烧子弹,毒须鲶,篝火,枪套
  3. RR=265 anchor_m=265 Swiss=11 | 燃烧响炮,绵鳚,大钢弩,打火机,篝火,加速烙刀,枪套
  4. RR=223 anchor_m=223 Swiss=10 | 燃烧响炮,绵鳚,大钢弩,打火机,燃烧子弹,拍立蚌,毒须鲶,篝火
  5. RR=228 anchor_m=205 Swiss=10 | 救生圈,篝火,燃烧响炮,燃烧子弹,打火机,绵鳚,加速烙刀
  6. RR=218 anchor_m=218 Swiss=10 | 燃烧响炮,燃烧子弹,打火机,大钢弩,绵鳚,加速烙刀,枪套,手雷
