# gdf_enumerate_anchor_top1: full Top-K per anchor (last size tier only)
[GDF] seeds: 三花
[GDF] size=6 top 20
  1. RR=262 anchor_m=246 Swiss=9 | 靴里剑,三花,左轮手枪,手斧,鲨齿爪
  10. RR=189 anchor_m=156 Swiss=8 | 绵鳚,毒须鲶,雪怪蟹,水母,珊瑚,海螺壳
  11. RR=230 anchor_m=70 Swiss=9 | 海螺壳,淬锋钢,马龙鱼,手斧,飞鱼
  12. RR=199 anchor_m=129 Swiss=8 | 海螺壳,淬锋钢,马龙鱼,绵鳚,飞鱼
  13. RR=186 anchor_m=152 Swiss=8 | 水草,海螺壳,龙涎香,淬锋钢,飞鱼,鱼饵
  14. RR=178 anchor_m=151 Swiss=8 | 毒须鲶,水草,海螺壳,淬锋钢,飞鱼,鱼饵
  15. RR=184 anchor_m=127 Swiss=8 | 水草,绵鳚,毒须鲶,雪怪蟹,海螺壳,藏刃匕首
  16. RR=168 anchor_m=155 Swiss=7 | 海螺壳,雪怪蟹,毒须鲶,绵鳚,水草,珊瑚
  17. RR=165 anchor_m=155 Swiss=8 | 水草,绵鳚,毒须鲶,迷幻蝠鲼,水母,海螺壳
  18. RR=167 anchor_m=150 Swiss=8 | 淬锋钢,飞鱼,迷幻蝠鲼,水母,海螺壳,水草
  19. RR=163 anchor_m=155 Swiss=8 | 淬锋钢,飞鱼,水母,珍珠,海螺壳,水草
  20. RR=162 anchor_m=155 Swiss=8 | 水草,海螺壳,珊瑚,淬锋钢,飞鱼,迷幻蝠鲼

[GDF] seeds: 淬锋钢
[GDF] size=6 top 20
  1. RR=234 anchor_m=233 Swiss=9 | 舱底蠕虫,手斧,淬锋钢,绵鳚,马龙鱼
  2. RR=228 anchor_m=228 Swiss=8 | 淬锋钢,弹簧刀,马龙鱼,沙滩充气球
  3. RR=221 anchor_m=220 Swiss=10 | 舱底蠕虫,手斧,弹簧刀,马龙鱼,淬锋钢
  4. RR=195 anchor_m=195 Swiss=9 | 飞鱼,手斧,淬锋钢,绵鳚,马龙鱼
  5. RR=193 anchor_m=193 Swiss=8 | 舱底蠕虫,手斧,飞鱼,马龙鱼,淬锋钢
  6. RR=190 anchor_m=190 Swiss=8 | 海螺壳,飞鱼,淬锋钢,绵鳚,马龙鱼
  7. RR=189 anchor_m=189 Swiss=9 | 沙滩充气球,打火机,淬锋钢,马龙鱼
  8. RR=188 anchor_m=188 Swiss=8 | 毒须鲶,淬锋钢,水草,珊瑚,马龙鱼
  9. RR=183 anchor_m=183 Swiss=8 | 舱底蠕虫,流星索,手斧,马龙鱼,淬锋钢
  10. RR=181 anchor_m=181 Swiss=8 | 海螺壳,淬锋钢,飞鱼,弹簧刀,马龙鱼
  11. RR=180 anchor_m=180 Swiss=8 | 救生圈,淬锋钢,马龙鱼,水母
  12. RR=182 anchor_m=176 Swiss=7 | 鲨齿爪,淬锋钢,弹簧刀,马龙鱼
  13. RR=179 anchor_m=179 Swiss=9 | 舱底蠕虫,手斧,藏刃匕首,马龙鱼,淬锋钢
  14. RR=178 anchor_m=177 Swiss=8 | 淬锋钢,武士刀,弹簧刀,马龙鱼
  15. RR=177 anchor_m=177 Swiss=8 | 淬锋钢,飞鱼,弹簧刀,马龙鱼,水草
  16. RR=176 anchor_m=176 Swiss=8 | 舱底蠕虫,流星索,淬锋钢,绵鳚,马龙鱼
  17. RR=176 anchor_m=176 Swiss=8 | 水草,马龙鱼,绵鳚,淬锋钢,舱底蠕虫
  18. RR=180 anchor_m=164 Swiss=8 | 淬锋钢,手斧,飞鱼,弹簧刀,马龙鱼
  19. RR=173 anchor_m=173 Swiss=9 | 靴里剑,鲨齿爪,淬锋钢,马龙鱼
  20. RR=171 anchor_m=171 Swiss=7 | 手斧,淬锋钢,绵鳚,马龙鱼,水草

[GDF] seeds: 渔网
[GDF] size=6 top 20
  1. RR=255 anchor_m=171 Swiss=10 | 皮皮虾,迷幻蝠鲼,绵鳚,渔网,流星索
  2. RR=227 anchor_m=207 Swiss=8 | 皮皮虾,鹦鹉皮特,迷幻蝠鲼,绵鳚,渔网
  3. RR=224 anchor_m=202 Swiss=9 | 水草,皮皮虾,迷幻蝠鲼,绵鳚,渔网
  4. RR=246 anchor_m=150 Swiss=8 | 皮皮虾,迷幻蝠鲼,绵鳚,抓钩,渔网
  5. RR=251 anchor_m=107 Swiss=9 | 渔网,淬锋钢,飞鱼,水草,海螺壳
  6. RR=200 anchor_m=188 Swiss=8 | 打火机,皮皮虾,迷幻蝠鲼,绵鳚,渔网
  7. RR=245 anchor_m=93 Swiss=8 | 毒须鲶,绵鳚,水草,海螺壳,渔网
  8. RR=203 anchor_m=174 Swiss=9 | 皮皮虾,迷幻蝠鲼,飞鱼,渔网,流星索
  9. RR=192 anchor_m=185 Swiss=9 | 燃烧响炮,皮皮虾,迷幻蝠鲼,绵鳚,渔网
  10. RR=216 anchor_m=128 Swiss=8 | 淬锋钢,水草,独角鲸,渔网,海螺壳
  11. RR=189 anchor_m=180 Swiss=8 | 靴里剑,皮皮虾,迷幻蝠鲼,绵鳚,渔网
  12. RR=188 anchor_m=172 Swiss=9 | 皮皮虾,迷幻蝠鲼,绵鳚,渔网,手斧
  13. RR=193 anchor_m=152 Swiss=9 | 皮皮虾,迷幻蝠鲼,毒须鲶,渔网,流星索
  14. RR=184 anchor_m=150 Swiss=8 | 皮皮虾,迷幻蝠鲼,水母,流星索,渔网
  15. RR=175 anchor_m=166 Swiss=8 | 皮皮虾,绵鳚,迷幻蝠鲼,水母,渔网
  16. RR=213 anchor_m=80 Swiss=8 | 渔网,淬锋钢,飞鱼,珍珠,水草
  17. RR=228 anchor_m=49 Swiss=8 | 渔网,淬锋钢,飞鱼,珊瑚,水草
  18. RR=218 anchor_m=63 Swiss=9 | 渔网,淬锋钢,飞鱼,马龙鱼
  19. RR=174 anchor_m=134 Swiss=8 | 皮皮虾,迷幻蝠鲼,绵鳚,海螺壳,渔网
  20. RR=165 anchor_m=144 Swiss=8 | 皮皮虾,迷幻蝠鲼,食人鱼,渔网,流星索

[GDF] seeds: 温馨海湾
[GDF] size=6 top 20
  1. RR=287 anchor_m=67 Swiss=9 | 水草,温馨海湾,淬锋钢,独角鲸
  2. RR=270 anchor_m=114 Swiss=9 | 温馨海湾,飞鱼,淬锋钢,水草
  3. RR=220 anchor_m=147 Swiss=8 | 毒须鲶,雪怪蟹,水母,温馨海湾
  4. RR=254 anchor_m=74 Swiss=8 | 水草,淬锋钢,迷你弯刀,温馨海湾
  5. RR=217 anchor_m=125 Swiss=8 | 水草,毒须鲶,水母,温馨海湾
  6. RR=262 anchor_m=16 Swiss=8 | 温馨海湾,水草,绵鳚,毒须鲶
  7. RR=228 anchor_m=82 Swiss=8 | 海螺壳,温馨海湾,飞鱼,淬锋钢
  8. RR=252 anchor_m=30 Swiss=9 | 珊瑚,温馨海湾,飞鱼,淬锋钢
  9. RR=244 anchor_m=40 Swiss=9 | 毒须鲶,温馨海湾,飞鱼,淬锋钢
  10. RR=247 anchor_m=26 Swiss=9 | 水草,舱底蠕虫,温馨海湾,淬锋钢
  11. RR=239 anchor_m=37 Swiss=9 | 温馨海湾,水母,飞鱼,淬锋钢
  12. RR=246 anchor_m=5 Swiss=10 | 毒须鲶,舱底蠕虫,温馨海湾,淬锋钢
  13. RR=218 anchor_m=51 Swiss=8 | 温馨海湾,飞鱼,淬锋钢,舱底蠕虫
  14. RR=235 anchor_m=10 Swiss=9 | 水母,舱底蠕虫,温馨海湾,淬锋钢
  15. RR=198 anchor_m=52 Swiss=9 | 舱底蠕虫,温馨海湾,淬锋钢,珍珠
  16. RR=168 anchor_m=73 Swiss=8 | 温馨海湾,珍珠,飞鱼,淬锋钢
  17. RR=196 anchor_m=13 Swiss=8 | 温馨海湾,毒须鲶,淬锋钢,独角鲸
  18. RR=195 anchor_m=13 Swiss=8 | 舱底蠕虫,雪怪蟹,温馨海湾,淬锋钢
  19. RR=182 anchor_m=39 Swiss=8 | 舱底蠕虫,温馨海湾,打火机,淬锋钢
  20. RR=179 anchor_m=30 Swiss=9 | 淬锋钢,迷你弯刀,珊瑚,温馨海湾

[GDF] seeds: 湿件战服
[GDF] size=6 top 20
  1. RR=276 anchor_m=137 Swiss=10 | 马龙鱼,湿件战服,淬锋钢,飞鱼
  2. RR=250 anchor_m=184 Swiss=8 | 湿件战服,淬锋钢,飞鱼,弹簧刀,独角鲸
  3. RR=233 anchor_m=208 Swiss=9 | 湿件战服,淬锋钢,飞鱼,独角鲸,水草
  4. RR=248 anchor_m=174 Swiss=8 | 迷你弯刀,湿件战服,淬锋钢,马龙鱼
  5. RR=246 anchor_m=150 Swiss=9 | 马龙鱼,淬锋钢,湿件战服,独角鲸
  6. RR=214 anchor_m=200 Swiss=8 | 湿件战服,水草,独角鲸,绵鳚,毒须鲶
  7. RR=243 anchor_m=128 Swiss=9 | 藏刃匕首,湿件战服,马龙鱼,淬锋钢
  8. RR=247 anchor_m=119 Swiss=9 | 藏刃匕首,水草,绵鳚,毒须鲶,湿件战服
  9. RR=212 anchor_m=183 Swiss=8 | 湿件战服,淬锋钢,飞鱼,弹簧刀,迷你弯刀
  10. RR=212 anchor_m=179 Swiss=9 | 飞鱼,湿件战服,水草,绵鳚,毒须鲶
  11. RR=242 anchor_m=85 Swiss=9 | 湿件战服,水草,绵鳚,毒须鲶,雪怪蟹
  12. RR=196 anchor_m=163 Swiss=8 | 湿件战服,淬锋钢,飞鱼,弹簧刀,水草
  13. RR=183 anchor_m=174 Swiss=8 | 湿件战服,淬锋钢,飞鱼,藏刃匕首,水草
  14. RR=190 anchor_m=150 Swiss=8 | 湿件战服,淬锋钢,飞鱼,水草,鱼饵
  15. RR=184 anchor_m=160 Swiss=8 | 淬锋钢,湿件战服,独角鲸,弹簧刀,迷你弯刀
  16. RR=200 anchor_m=122 Swiss=8 | 湿件战服,藏刃匕首,珊瑚,绵鳚,毒须鲶
  17. RR=178 anchor_m=139 Swiss=8 | 湿件战服,淬锋钢,飞鱼,迷幻蝠鲼,水草
  18. RR=168 anchor_m=158 Swiss=8 | 迷你弯刀,水草,湿件战服,绵鳚,毒须鲶
  19. RR=168 anchor_m=155 Swiss=8 | 左轮手枪,湿件战服,水草,绵鳚,毒须鲶
  20. RR=188 anchor_m=106 Swiss=8 | 藏刃匕首,绵鳚,毒须鲶,湿件战服,淬锋钢

[GDF] seeds: 火炮
[GDF] size=6 top 20
  1. RR=269 anchor_m=269 Swiss=10 | 火药角,火炮,绵鳚,燃烧响炮,打火机
  2. RR=268 anchor_m=263 Swiss=9 | 打火机,绵鳚,珊瑚,火炮,燃烧响炮
  3. RR=264 anchor_m=264 Swiss=9 | 打火机,绵鳚,葡萄弹,火炮,燃烧响炮
  4. RR=251 anchor_m=251 Swiss=9 | 打火机,绵鳚,靴里剑,火炮,燃烧响炮
  5. RR=249 anchor_m=249 Swiss=9 | 淬锋钢,火药角,火炮,救生圈
  6. RR=223 anchor_m=223 Swiss=8 | 手雷,打火机,绵鳚,火炮,燃烧响炮
  7. RR=222 anchor_m=222 Swiss=8 | 流星索,打火机,绵鳚,火炮,燃烧响炮
  8. RR=221 anchor_m=221 Swiss=8 | 打火机,火炮,燃烧响炮,绵鳚,手斧
  9. RR=219 anchor_m=219 Swiss=9 | 打火机,火炮,燃烧响炮,葡萄弹,手斧
  10. RR=207 anchor_m=204 Swiss=9 | 打火机,绵鳚,鹦鹉皮特,火炮,燃烧响炮
  11. RR=206 anchor_m=206 Swiss=7 | 打火机,绵鳚,火炮,燃烧响炮,舱底蠕虫
  12. RR=230 anchor_m=155 Swiss=9 | 火药角,火炮,水草,绵鳚,珊瑚
  13. RR=205 anchor_m=205 Swiss=8 | 打火机,绵鳚,海螺壳,火炮,燃烧响炮
  14. RR=203 anchor_m=203 Swiss=8 | 打火机,火药角,火炮,淬锋钢,燃烧响炮
  15. RR=232 anchor_m=120 Swiss=9 | 打火机,火炮,燃烧响炮,淬锋钢,舱底蠕虫
  16. RR=186 anchor_m=186 Swiss=8 | 打火机,火炮,葡萄弹,燃烧响炮,淬锋钢
  17. RR=177 anchor_m=177 Swiss=8 | 打火机,火炮,燃烧响炮,靴里剑,手斧
  18. RR=171 anchor_m=171 Swiss=8 | 打火机,火炮,手雷,燃烧响炮,葡萄弹
  19. RR=173 anchor_m=165 Swiss=8 | 打火机,绵鳚,火炮,水草,燃烧响炮
  20. RR=170 anchor_m=170 Swiss=8 | 打火机,火药角,火炮,燃烧响炮,珊瑚

[GDF] seeds: 火药角
[GDF] size=6 top 20
  1. RR=244 anchor_m=244 Swiss=9 | 救生圈,淬锋钢,火药角,步枪
  2. RR=236 anchor_m=236 Swiss=9 | 靴里剑,火药角,手雷,淬锋钢,手斧,葡萄弹
  3. RR=226 anchor_m=226 Swiss=8 | 救生圈,火药角,步枪,葡萄弹
  4. RR=219 anchor_m=208 Swiss=8 | 火药角,手雷,淬锋钢,手斧,葡萄弹,舱底蠕虫
  5. RR=200 anchor_m=200 Swiss=9 | 火药角,手雷,绵鳚,淬锋钢,手斧,葡萄弹
  6. RR=198 anchor_m=187 Swiss=9 | 手斧,鲨齿爪,火药角,手雷,舱底蠕虫
  7. RR=197 anchor_m=181 Swiss=8 | 水草,火药角,手雷,淬锋钢,马龙鱼
  8. RR=188 anchor_m=188 Swiss=9 | 葡萄弹,手斧,绵鳚,火药角,步枪
  9. RR=183 anchor_m=183 Swiss=8 | 鲨齿爪,葡萄弹,火药角,手雷,舱底蠕虫
  10. RR=190 anchor_m=151 Swiss=10 | 火药角,手雷,淬锋钢,手斧,靴里剑,舱底蠕虫
  11. RR=174 anchor_m=174 Swiss=8 | 手斧,火药角,步枪,舱底蠕虫,淬锋钢
  12. RR=173 anchor_m=173 Swiss=8 | 流星索,葡萄弹,绵鳚,火药角,步枪
  13. RR=177 anchor_m=164 Swiss=8 | 火药角,手雷,绵鳚,淬锋钢,手斧,舱底蠕虫
  14. RR=172 anchor_m=172 Swiss=9 | 火药角,手雷,淬锋钢,手斧,珊瑚,葡萄弹
  15. RR=165 anchor_m=161 Swiss=7 | 火药角,手雷,鲨齿爪,靴里剑,葡萄弹
  16. RR=162 anchor_m=162 Swiss=8 | 救生圈,绵鳚,火药角,步枪
  17. RR=160 anchor_m=159 Swiss=8 | 鲨齿爪,火药角,手雷,舱底蠕虫,靴里剑
  18. RR=179 anchor_m=117 Swiss=8 | 火药角,手雷,淬锋钢,弹簧刀,马龙鱼
  19. RR=158 anchor_m=158 Swiss=8 | 火药角,手雷,葡萄弹,淬锋钢,流星索,靴里剑
  20. RR=157 anchor_m=157 Swiss=8 | 靴里剑,火药角,步枪,舱底蠕虫,淬锋钢

[GDF] seeds: 燃烧响炮
[GDF] size=6 top 20
  1. RR=270 anchor_m=270 Swiss=9 | 火药角,火炮,绵鳚,打火机,燃烧响炮
  2. RR=246 anchor_m=246 Swiss=8 | 燃烧响炮,海螺壳,打火机,绵鳚,海底热泉
  3. RR=234 anchor_m=234 Swiss=10 | 葡萄弹,火炮,打火机,绵鳚,燃烧响炮
  4. RR=224 anchor_m=224 Swiss=9 | 手雷,火炮,燃烧响炮,绵鳚,打火机
  5. RR=224 anchor_m=224 Swiss=9 | 燃烧响炮,绵鳚,打火机,手斧,火炮
  6. RR=212 anchor_m=212 Swiss=9 | 燃烧响炮,葡萄弹,海底热泉,绵鳚,打火机
  7. RR=212 anchor_m=212 Swiss=8 | 燃烧响炮,珊瑚,打火机,绵鳚,海底热泉
  8. RR=208 anchor_m=208 Swiss=8 | 燃烧响炮,迷幻蝠鲼,皮皮虾,绵鳚,打火机,海螺壳
  9. RR=203 anchor_m=203 Swiss=8 | 燃烧响炮,打火机,绵鳚,海底热泉,珍珠
  10. RR=202 anchor_m=202 Swiss=8 | 火炮,燃烧响炮,绵鳚,打火机,皮皮虾
  11. RR=198 anchor_m=198 Swiss=8 | 火炮,燃烧响炮,绵鳚,打火机,舱底蠕虫
  12. RR=197 anchor_m=197 Swiss=8 | 火炮,燃烧响炮,鹦鹉皮特,绵鳚,打火机
  13. RR=191 anchor_m=183 Swiss=9 | 火药角,火炮,打火机,燃烧响炮,淬锋钢
  14. RR=187 anchor_m=181 Swiss=8 | 燃烧响炮,流星索,皮皮虾,迷幻蝠鲼,绵鳚,打火机
  15. RR=184 anchor_m=184 Swiss=9 | 海螺壳,火炮,燃烧响炮,绵鳚,打火机
  16. RR=182 anchor_m=182 Swiss=9 | 燃烧响炮,流星索,打火机,绵鳚,海底热泉
  17. RR=176 anchor_m=176 Swiss=9 | 火炮,燃烧响炮,绵鳚,打火机,左轮手枪
  18. RR=176 anchor_m=176 Swiss=8 | 手雷,燃烧响炮,打火机,绵鳚,海底热泉
  19. RR=183 anchor_m=158 Swiss=8 | 燃烧响炮,打火机,绵鳚,海底热泉,淬锋钢
  20. RR=173 anchor_m=173 Swiss=7 | 火炮,燃烧响炮,绵鳚,打火机,珍珠

[GDF] seeds: 独角鲸
[GDF] size=6 top 20
  1. RR=271 anchor_m=208 Swiss=9 | 水草,独角鲸,弹簧刀,马龙鱼,淬锋钢
  2. RR=243 anchor_m=243 Swiss=10 | 独角鲸,鲨齿爪,手斧,靴里剑,淬锋钢
  3. RR=259 anchor_m=176 Swiss=8 | 珊瑚,马龙鱼,弹簧刀,独角鲸,淬锋钢
  4. RR=246 anchor_m=185 Swiss=9 | 水草,独角鲸,绵鳚,马龙鱼,淬锋钢
  5. RR=225 anchor_m=225 Swiss=8 | 独角鲸,鲨齿爪,手斧,左轮手枪,淬锋钢
  6. RR=213 anchor_m=187 Swiss=9 | 海螺壳,马龙鱼,弹簧刀,独角鲸,淬锋钢
  7. RR=261 anchor_m=74 Swiss=9 | 独角鲸,鲨齿爪,手斧,舱底蠕虫,淬锋钢
  8. RR=194 anchor_m=190 Swiss=9 | 独角鲸,手斧,淬锋钢,水草,马龙鱼
  9. RR=209 anchor_m=145 Swiss=9 | 马龙鱼,弹簧刀,手斧,独角鲸,淬锋钢
  10. RR=194 anchor_m=173 Swiss=8 | 水草,独角鲸,弹簧刀,飞鱼,淬锋钢,舱底蠕虫
  11. RR=185 anchor_m=181 Swiss=8 | 独角鲸,鲨齿爪,手斧,迷你弯刀,淬锋钢
  12. RR=186 anchor_m=171 Swiss=8 | 马龙鱼,弹簧刀,独角鲸,淬锋钢,珍珠
  13. RR=189 anchor_m=156 Swiss=8 | 独角鲸,飞鱼,手斧,淬锋钢,马龙鱼
  14. RR=181 anchor_m=167 Swiss=8 | 鲨齿爪,马龙鱼,弹簧刀,独角鲸
  15. RR=174 anchor_m=169 Swiss=8 | 武士刀,弹簧刀,独角鲸,淬锋钢,手斧
  16. RR=168 anchor_m=168 Swiss=8 | 独角鲸,刺刀,鲨齿爪,手斧,淬锋钢
  17. RR=172 anchor_m=157 Swiss=8 | 马龙鱼,弹簧刀,独角鲸,迷幻蝠鲼,淬锋钢
  18. RR=182 anchor_m=126 Swiss=8 | 火药角,步枪,葡萄弹,淬锋钢,独角鲸
  19. RR=190 anchor_m=109 Swiss=8 | 独角鲸,弹簧刀,手斧,靴里剑,舱底蠕虫,淬锋钢
  20. RR=216 anchor_m=57 Swiss=9 | 马龙鱼,弹簧刀,独角鲸,舱底蠕虫,淬锋钢

[GDF] seeds: 狼筅
[GDF] size=6 top 20
  1. RR=271 anchor_m=203 Swiss=10 | 狼筅,火药角,手雷,葡萄弹,手斧
  2. RR=247 anchor_m=230 Swiss=8 | 葡萄弹,淬锋钢,手斧,狼筅,左轮手枪
  3. RR=245 anchor_m=211 Swiss=9 | 狼筅,靴里剑,火药角,手雷,葡萄弹
  4. RR=219 anchor_m=212 Swiss=8 | 淬锋钢,左轮手枪,狼筅,手斧,靴里剑
  5. RR=211 anchor_m=186 Swiss=8 | 马龙鱼,淬锋钢,狼筅,独角鲸
  6. RR=217 anchor_m=173 Swiss=8 | 淬锋钢,马龙鱼,狼筅,靴里剑
  7. RR=218 anchor_m=169 Swiss=8 | 狼筅,火药角,手雷,绵鳚,葡萄弹
  8. RR=239 anchor_m=123 Swiss=8 | 珊瑚,水草,绵鳚,毒须鲶,狼筅
  9. RR=197 anchor_m=191 Swiss=8 | 淬锋钢,左轮手枪,狼筅,葡萄弹,靴里剑
  10. RR=208 anchor_m=168 Swiss=8 | 狼筅,绵鳚,马龙鱼,淬锋钢
  11. RR=227 anchor_m=122 Swiss=9 | 海螺壳,水草,绵鳚,毒须鲶,狼筅
  12. RR=194 anchor_m=185 Swiss=9 | 飞鱼,淬锋钢,手斧,狼筅,左轮手枪
  13. RR=213 anchor_m=142 Swiss=9 | 淬锋钢,手斧,狼筅,马龙鱼
  14. RR=214 anchor_m=117 Swiss=8 | 淬锋钢,狼筅,火药角,手雷,葡萄弹
  15. RR=201 anchor_m=134 Swiss=9 | 水草,绵鳚,毒须鲶,雪怪蟹,狼筅
  16. RR=181 anchor_m=171 Swiss=9 | 狼筅,火药角,手雷,珊瑚,葡萄弹
  17. RR=179 anchor_m=164 Swiss=8 | 狼筅,藏刃匕首,火药角,手雷,葡萄弹
  18. RR=180 anchor_m=161 Swiss=8 | 毒须鲶,狼筅,火药角,手雷,葡萄弹
  19. RR=208 anchor_m=98 Swiss=7 | 舱底蠕虫,淬锋钢,手斧,狼筅,靴里剑
  20. RR=185 anchor_m=134 Swiss=8 | 狼筅,绵鳚,毒须鲶,淬锋钢,舱底蠕虫

[GDF] seeds: 珊瑚
[GDF] size=6 top 20
  1. RR=256 anchor_m=142 Swiss=10 | 舱底蠕虫,珊瑚,淬锋钢,绵鳚,马龙鱼
  2. RR=255 anchor_m=164 Swiss=9 | 迷幻蝠鲼,马龙鱼,水草,淬锋钢,珊瑚
  3. RR=243 anchor_m=175 Swiss=9 | 马龙鱼,海螺壳,水草,淬锋钢,珊瑚
  4. RR=227 anchor_m=180 Swiss=8 | 马龙鱼,水草,淬锋钢,珊瑚,珍珠
  5. RR=250 anchor_m=128 Swiss=9 | 马龙鱼,木桶,淬锋钢,珊瑚
  6. RR=245 anchor_m=125 Swiss=8 | 水草,马龙鱼,淬锋钢,珊瑚,毒须鲶
  7. RR=226 anchor_m=150 Swiss=9 | 舱底蠕虫,珊瑚,淬锋钢,弹簧刀,马龙鱼
  8. RR=218 anchor_m=111 Swiss=8 | 水草,淬锋钢,绵鳚,马龙鱼,珊瑚
  9. RR=186 anchor_m=170 Swiss=8 | 马龙鱼,水草,淬锋钢,珊瑚,水母
  10. RR=192 anchor_m=153 Swiss=8 | 弹簧刀,马龙鱼,水草,淬锋钢,珊瑚
  11. RR=195 anchor_m=135 Swiss=8 | 舱底蠕虫,水草,珊瑚,淬锋钢,马龙鱼
  12. RR=186 anchor_m=148 Swiss=9 | 迷幻蝠鲼,马龙鱼,淬锋钢,海螺壳,珊瑚
  13. RR=181 anchor_m=155 Swiss=9 | 马龙鱼,雪怪蟹,水草,淬锋钢,珊瑚
  14. RR=210 anchor_m=84 Swiss=8 | 靴里剑,淬锋钢,绵鳚,马龙鱼,珊瑚
  15. RR=177 anchor_m=150 Swiss=8 | 马龙鱼,鱼饵,水草,淬锋钢,珊瑚
  16. RR=206 anchor_m=91 Swiss=8 | 飞鱼,淬锋钢,绵鳚,马龙鱼,珊瑚
  17. RR=208 anchor_m=78 Swiss=9 | 珊瑚,舱底蠕虫,鲨齿爪,迷你弯刀,淬锋钢
  18. RR=202 anchor_m=84 Swiss=8 | 舱底蠕虫,手斧,珊瑚,淬锋钢,马龙鱼
  19. RR=180 anchor_m=122 Swiss=9 | 马龙鱼,弹簧刀,飞鱼,淬锋钢,珊瑚
  20. RR=188 anchor_m=99 Swiss=8 | 水草,马龙鱼,淬锋钢,打火机,珊瑚

[GDF] seeds: 珊瑚护甲
[GDF] size=6 top 20
  1. RR=273 anchor_m=115 Swiss=10 | 水草,绵鳚,毒须鲶,雪怪蟹,珊瑚护甲
  2. RR=261 anchor_m=162 Swiss=9 | 绵鳚,毒须鲶,雪怪蟹,水母,珊瑚护甲
  3. RR=231 anchor_m=200 Swiss=8 | 水草,淬锋钢,飞鱼,珊瑚护甲,珊瑚
  4. RR=261 anchor_m=102 Swiss=9 | 毒须鲶,雪怪蟹,水母,珊瑚护甲,水草
  5. RR=227 anchor_m=166 Swiss=8 | 钓鱼竿,毒须鲶,绵鳚,珊瑚护甲
  6. RR=217 anchor_m=154 Swiss=8 | 钓鱼竿,毒须鲶,雪怪蟹,珊瑚护甲
  7. RR=231 anchor_m=122 Swiss=9 | 水草,绵鳚,毒须鲶,水母,珊瑚护甲
  8. RR=211 anchor_m=154 Swiss=9 | 珊瑚护甲,马龙鱼,绵鳚,淬锋钢
  9. RR=229 anchor_m=116 Swiss=8 | 毒须鲶,雪怪蟹,水母,珊瑚,珊瑚护甲
  10. RR=211 anchor_m=148 Swiss=9 | 淬锋钢,飞鱼,马龙鱼,珊瑚护甲
  11. RR=195 anchor_m=162 Swiss=8 | 鱼饵,淬锋钢,飞鱼,珊瑚护甲,水草
  12. RR=219 anchor_m=108 Swiss=8 | 藏刃匕首,水草,绵鳚,毒须鲶,珊瑚护甲
  13. RR=210 anchor_m=125 Swiss=8 | 钓鱼竿,毒须鲶,水草,珊瑚护甲
  14. RR=176 anchor_m=167 Swiss=8 | 珊瑚护甲,淬锋钢,水草,珊瑚,独角鲸
  15. RR=181 anchor_m=151 Swiss=9 | 钓鱼竿,毒须鲶,水母,珊瑚护甲
  16. RR=174 anchor_m=152 Swiss=8 | 淬锋钢,飞鱼,水母,珊瑚护甲,水草
  17. RR=172 anchor_m=148 Swiss=8 | 鱼饵,珊瑚护甲,淬锋钢,水草,独角鲸
  18. RR=160 anchor_m=151 Swiss=9 | 淬锋钢,飞鱼,珊瑚护甲,水草,毒须鲶
  19. RR=156 anchor_m=148 Swiss=9 | 淬锋钢,珍珠,飞鱼,珊瑚护甲,水草
  20. RR=156 anchor_m=148 Swiss=8 | 珊瑚护甲,淬锋钢,水草,水母,独角鲸

[GDF] seeds: 珍珠
[GDF] size=6 top 20
  1. RR=256 anchor_m=81 Swiss=8 | 珍珠,马龙鱼,弹簧刀,独角鲸,淬锋钢
  2. RR=221 anchor_m=135 Swiss=8 | 水草,绵鳚,毒须鲶,雪怪蟹,水母,珍珠
  3. RR=226 anchor_m=114 Swiss=7 | 淬锋钢,马龙鱼,飞鱼,水草,珍珠
  4. RR=199 anchor_m=165 Swiss=10 | 海螺壳,毒须鲶,雪怪蟹,水母,珍珠,水草
  5. RR=251 anchor_m=42 Swiss=9 | 淬锋钢,马龙鱼,弹簧刀,飞鱼,珍珠
  6. RR=198 anchor_m=144 Swiss=9 | 海螺壳,水草,绵鳚,毒须鲶,雪怪蟹,珍珠
  7. RR=246 anchor_m=45 Swiss=9 | 手斧,淬锋钢,珍珠,弹簧刀,马龙鱼
  8. RR=221 anchor_m=80 Swiss=9 | 水草,舱底蠕虫,珍珠,马龙鱼,淬锋钢
  9. RR=230 anchor_m=27 Swiss=9 | 舱底蠕虫,珍珠,弹簧刀,马龙鱼,淬锋钢
  10. RR=208 anchor_m=57 Swiss=8 | 淬锋钢,珍珠,水草,弹簧刀,马龙鱼
  11. RR=215 anchor_m=40 Swiss=8 | 淬锋钢,珍珠,左轮手枪,弹簧刀,马龙鱼
  12. RR=167 anchor_m=134 Swiss=9 | 水草,绵鳚,毒须鲶,迷幻蝠鲼,水母,珍珠
  13. RR=162 anchor_m=140 Swiss=8 | 淬锋钢,飞鱼,迷幻蝠鲼,水母,珍珠,水草
  14. RR=218 anchor_m=28 Swiss=8 | 舱底蠕虫,手斧,珍珠,马龙鱼,淬锋钢
  15. RR=201 anchor_m=57 Swiss=8 | 淬锋钢,马龙鱼,手斧,飞鱼,珍珠
