# gdf_enumerate_anchor_top1: full Top-K per anchor (last size tier only)
[GDF] seeds: 云精灵
[GDF] size=8 top 20
  1. RR=258 anchor_m=85 Swiss=10 | 红宝石,火焰药水,彩虹药水,鳄鱼眼泪,香炉,煅烧釜,云精灵
  18. RR=189 anchor_m=187 Swiss=8 | 翡翠,地刺陷阱,水蛭,真菌孢子,彩虹药水,倒刺利爪,毒液
  19. RR=184 anchor_m=184 Swiss=8 | 翡翠,地刺陷阱,拆信刀,真菌孢子,毒液注射,倒刺利爪,毒液,鳄鱼眼泪
  20. RR=184 anchor_m=183 Swiss=8 | 翡翠,地刺陷阱,真菌孢子,毒液注射,倒刺利爪,毒液,昏睡药水,鳄鱼眼泪

[GDF] seeds: 毒液注射
[GDF] size=8 top 20
  1. RR=281 anchor_m=201 Swiss=9 | 蜡烛,毒液注射,翡翠,鳄鱼眼泪,真菌孢子,倒刺利爪,毒液
  2. RR=268 anchor_m=180 Swiss=9 | 香炉,毒液注射,地刺陷阱,翡翠,鳄鱼眼泪,真菌孢子,倒刺利爪,毒液
  3. RR=247 anchor_m=212 Swiss=9 | 毒液注射,蜡烛,真菌孢子,倒刺利爪,毒液,地刺陷阱,翡翠
  4. RR=232 anchor_m=225 Swiss=9 | 毒液注射,翡翠,真菌孢子,彩虹药水,蜡烛,倒刺利爪,毒液
  5. RR=277 anchor_m=129 Swiss=10 | 彩虹药水,毒液注射,地刺陷阱,翡翠,鳄鱼眼泪,真菌孢子,倒刺利爪,毒液
  6. RR=229 anchor_m=188 Swiss=8 | 手术刀,毒液注射,地刺陷阱,翡翠,鳄鱼眼泪,真菌孢子,倒刺利爪,毒液
  7. RR=226 anchor_m=186 Swiss=8 | 毒液注射,萤火虫,地刺陷阱,翡翠,鳄鱼眼泪,真菌孢子,倒刺利爪,毒液
  8. RR=227 anchor_m=174 Swiss=8 | 毒液注射,瓶装闪电,地刺陷阱,翡翠,鳄鱼眼泪,真菌孢子,倒刺利爪,毒液
  9. RR=231 anchor_m=164 Swiss=9 | 毒液注射,地刺陷阱,翡翠,鳄鱼眼泪,真菌孢子,倒刺利爪,毒液,毒蜥
  10. RR=210 anchor_m=203 Swiss=8 | 黑玫瑰,毒液注射,倒刺利爪,毒液,地刺陷阱,鳄鱼眼泪,翡翠,真菌孢子
  11. RR=209 anchor_m=187 Swiss=9 | 水蛭,地刺陷阱,翡翠,毒液注射,真菌孢子,倒刺利爪,毒液
  12. RR=221 anchor_m=163 Swiss=8 | 毒液注射,地刺陷阱,翡翠,鳄鱼眼泪,真菌孢子,倒刺利爪,毒液,毒芹
  13. RR=218 anchor_m=167 Swiss=8 | 毒液注射,真菌孢子,倒刺利爪,毒液,地刺陷阱,鳄鱼眼泪,翡翠,剧毒药水
  14. RR=212 anchor_m=159 Swiss=8 | 毒液注射,地刺陷阱,翡翠,鳄鱼眼泪,真菌孢子,倒刺利爪,毒液,拆信刀
  15. RR=198 anchor_m=169 Swiss=8 | 毒液注射,地刺陷阱,翡翠,碎瓶,鳄鱼眼泪,真菌孢子,倒刺利爪,毒液
  16. RR=212 anchor_m=139 Swiss=8 | 毒液注射,地刺陷阱,翡翠,鳄鱼眼泪,火焰药水,真菌孢子,倒刺利爪,毒液
  17. RR=183 anchor_m=183 Swiss=8 | 毒液注射,真菌孢子,倒刺利爪,毒液,地刺陷阱,折射棱镜,翡翠
  18. RR=196 anchor_m=156 Swiss=8 | 毒液注射,地刺陷阱,翡翠,鳄鱼眼泪,真菌孢子,倒刺利爪,毒液,贤者之石
  19. RR=188 anchor_m=170 Swiss=9 | 毒液注射,地刺陷阱,昏睡药水,翡翠,鳄鱼眼泪,真菌孢子,倒刺利爪,毒液
  20. RR=182 anchor_m=157 Swiss=8 | 笔与墨,倒刺利爪,毒液,鳄鱼眼泪,地刺陷阱,翡翠,真菌孢子,毒液注射

[GDF] seeds: 毒芹
[GDF] size=8 top 20
  1. RR=287 anchor_m=121 Swiss=9 | 真菌孢子,翡翠,鳄鱼眼泪,倒刺利爪,毒液,地刺陷阱,毒液注射,毒芹
  2. RR=241 anchor_m=238 Swiss=8 | 蜡烛,真菌孢子,翡翠,倒刺利爪,毒液,毒液注射,毒芹
  3. RR=251 anchor_m=172 Swiss=9 | 彩虹药水,真菌孢子,翡翠,倒刺利爪,毒液,毒液注射,地刺陷阱,毒芹
  4. RR=243 anchor_m=185 Swiss=8 | 彩虹药水,真菌孢子,翡翠,鳄鱼眼泪,倒刺利爪,毒液,毒液注射,毒芹
  5. RR=238 anchor_m=164 Swiss=9 | 地刺陷阱,真菌孢子,翡翠,倒刺利爪,毒液,毒液注射,毒芹,毒蜥
  6. RR=223 anchor_m=170 Swiss=9 | 水蛭,真菌孢子,倒刺利爪,毒液,毒液注射,毒芹,贤者之石
  7. RR=215 anchor_m=176 Swiss=8 | 真菌孢子,翡翠,倒刺利爪,毒液,毒芹,地刺陷阱,腐朽圣像
  8. RR=212 anchor_m=182 Swiss=9 | 黑玫瑰,水蛭,真菌孢子,倒刺利爪,毒液,毒液注射,毒芹
  9. RR=195 anchor_m=193 Swiss=9 | 翡翠,笔与墨,毒液,毒芹,炼金梨缶,彩虹药水,真菌孢子
  10. RR=197 anchor_m=177 Swiss=9 | 翡翠,真菌孢子,毒芹,水蛭,毒液注射,毒蜥,彩虹药水
  11. RR=203 anchor_m=160 Swiss=8 | 真菌孢子,贤者之石,翡翠,倒刺利爪,毒液,毒液注射,毒芹,地刺陷阱
  12. RR=188 anchor_m=180 Swiss=8 | 水蛭,真菌孢子,毒芹,贤者之石,毒液,翡翠,毒液注射
  13. RR=212 anchor_m=120 Swiss=8 | 翡翠,真菌孢子,毒芹,水蛭,毒液注射,毒液,毒蜥
  14. RR=181 anchor_m=172 Swiss=9 | 地刺陷阱,剧毒药水,真菌孢子,翡翠,倒刺利爪,毒液,毒液注射,毒芹
  15. RR=200 anchor_m=131 Swiss=8 | 地刺陷阱,真菌孢子,翡翠,蛇怪之牙,倒刺利爪,毒液,毒液注射,毒芹
  16. RR=196 anchor_m=127 Swiss=8 | 水蛭,彩虹药水,真菌孢子,倒刺利爪,毒液,毒液注射,毒芹
  17. RR=179 anchor_m=159 Swiss=8 | 地刺陷阱,真菌孢子,翡翠,倒刺利爪,毒液,拆信刀,毒液注射,毒芹
  18. RR=177 anchor_m=160 Swiss=7 | 地刺陷阱,真菌孢子,翡翠,倒刺利爪,毒液,毒液注射,毒芹,笔与墨
  19. RR=180 anchor_m=139 Swiss=8 | 地刺陷阱,真菌孢子,翡翠,黑玫瑰,倒刺利爪,毒液,毒液注射,毒芹
  20. RR=218 anchor_m=61 Swiss=8 | 水蛭,真菌孢子,翡翠,倒刺利爪,毒液,毒液注射,毒芹

[GDF] seeds: 毒蜥
[GDF] size=8 top 20
  1. RR=266 anchor_m=122 Swiss=9 | 地刺陷阱,鳄鱼眼泪,毒蜥,真菌孢子,倒刺利爪,毒液,毒液注射,翡翠
  2. RR=251 anchor_m=190 Swiss=8 | 毒蜥,曲颈甑,真菌孢子,倒刺利爪,毒液,翡翠,地刺陷阱
  3. RR=257 anchor_m=149 Swiss=10 | 地刺陷阱,鳄鱼眼泪,彩虹药水,毒蜥,真菌孢子,倒刺利爪,毒液,翡翠
  4. RR=233 anchor_m=171 Swiss=8 | 毒蜥,彩虹药水,真菌孢子,地刺陷阱,倒刺利爪,毒液,翡翠,毒液注射
  5. RR=212 anchor_m=212 Swiss=8 | 蜡烛,毒蜥,真菌孢子,倒刺利爪,毒液,翡翠,毒液注射
  6. RR=207 anchor_m=196 Swiss=9 | 毒蜥,水蛭,真菌孢子,倒刺利爪,毒液,翡翠,毒芹
  7. RR=220 anchor_m=166 Swiss=8 | 地刺陷阱,鳄鱼眼泪,毒蜥,真菌孢子,倒刺利爪,毒液,剧毒药水,翡翠
  8. RR=211 anchor_m=181 Swiss=8 | 毒蜥,地刺陷阱,真菌孢子,倒刺利爪,毒液,毒芹,翡翠,毒液注射
  9. RR=200 anchor_m=184 Swiss=8 | 彩虹药水,毒蜥,水蛭,真菌孢子,倒刺利爪,毒液,翡翠
  10. RR=197 anchor_m=186 Swiss=8 | 毒蜥,水蛭,真菌孢子,倒刺利爪,毒液,笔与墨,翡翠
  11. RR=214 anchor_m=147 Swiss=8 | 毒芹,地刺陷阱,鳄鱼眼泪,毒蜥,真菌孢子,倒刺利爪,毒液,翡翠
  12. RR=192 anchor_m=180 Swiss=8 | 毒蜥,真菌孢子,倒刺利爪,毒液,腐朽圣像,地刺陷阱,翡翠
  13. RR=210 anchor_m=139 Swiss=8 | 香炉,地刺陷阱,鳄鱼眼泪,毒蜥,真菌孢子,倒刺利爪,毒液,翡翠
  14. RR=187 anchor_m=181 Swiss=8 | 地刺陷阱,剑杖,毒蜥,真菌孢子,倒刺利爪,毒液,翡翠
  15. RR=185 anchor_m=184 Swiss=8 | 毒蜥,真菌孢子,毒液,翡翠,贤者之石,毒液注射,水蛭
  16. RR=205 anchor_m=130 Swiss=8 | 毒蜥,曲颈甑,真菌孢子,笔与墨,毒液,翡翠,彩虹药水
  17. RR=216 anchor_m=102 Swiss=8 | 地刺陷阱,鳄鱼眼泪,毒蜥,蛇怪之牙,真菌孢子,倒刺利爪,毒液,翡翠
  18. RR=167 anchor_m=164 Swiss=9 | 毒蜥,水蛭,真菌孢子,贤者之石,倒刺利爪,毒液,翡翠
  19. RR=176 anchor_m=144 Swiss=8 | 毒液注射,水蛭,毒蜥,真菌孢子,倒刺利爪,毒液,彩虹药水
  20. RR=169 anchor_m=154 Swiss=9 | 毒液注射,水蛭,毒蜥,真菌孢子,黑玫瑰,倒刺利爪,毒液

[GDF] seeds: 水蛭
[GDF] size=8 top 20
  1. RR=274 anchor_m=274 Swiss=9 | 水蛭,翡翠,地刺陷阱,真菌孢子,毒液注射,倒刺利爪,毒液
  2. RR=271 anchor_m=270 Swiss=10 | 地刺陷阱,毒蜥,翡翠,水蛭,真菌孢子,倒刺利爪,毒液
  3. RR=266 anchor_m=262 Swiss=9 | 彩虹药水,翡翠,地刺陷阱,水蛭,真菌孢子,倒刺利爪,毒液
  4. RR=262 anchor_m=256 Swiss=8 | 翡翠,水蛭,鳄鱼眼泪,地刺陷阱,真菌孢子,倒刺利爪,毒液
  5. RR=252 anchor_m=252 Swiss=9 | 毒芹,地刺陷阱,水蛭,翡翠,真菌孢子,倒刺利爪,毒液
  6. RR=248 anchor_m=248 Swiss=8 | 翡翠,毒液注射,倒刺利爪,毒液,水蛭,地刺陷阱,彩虹药水
  7. RR=247 anchor_m=247 Swiss=9 | 水蛭,地刺陷阱,倒刺利爪,毒液,翡翠,毒蜥,毒液注射
  8. RR=244 anchor_m=244 Swiss=8 | 翡翠,毒液注射,倒刺利爪,毒液,鳄鱼眼泪,水蛭,地刺陷阱
  9. RR=243 anchor_m=243 Swiss=8 | 真菌孢子,倒刺利爪,毒液,翡翠,毒蜥,毒液注射,水蛭
  10. RR=242 anchor_m=242 Swiss=9 | 真菌孢子,彩虹药水,翡翠,水蛭,倒刺利爪,毒液,毒液注射
  11. RR=219 anchor_m=219 Swiss=8 | 地刺陷阱,翡翠,毒液注射,倒刺利爪,毒液,毒芹,水蛭
  12. RR=217 anchor_m=217 Swiss=8 | 笔与墨,翡翠,水蛭,真菌孢子,地刺陷阱,倒刺利爪,毒液
  13. RR=211 anchor_m=211 Swiss=8 | 真菌孢子,翡翠,水蛭,倒刺利爪,毒液,毒液注射,笔与墨
  14. RR=208 anchor_m=208 Swiss=9 | 彩虹药水,地刺陷阱,水蛭,毒液注射,真菌孢子,倒刺利爪,毒液
  15. RR=201 anchor_m=201 Swiss=9 | 翡翠,毒液注射,倒刺利爪,毒液,水蛭,笔与墨,地刺陷阱
  16. RR=194 anchor_m=194 Swiss=8 | 地刺陷阱,水蛭,毒蜥,真菌孢子,毒液注射,倒刺利爪,毒液
  17. RR=193 anchor_m=193 Swiss=8 | 翡翠,毒液注射,倒刺利爪,毒液,黑玫瑰,水蛭,地刺陷阱
  18. RR=191 anchor_m=191 Swiss=8 | 真菌孢子,水蛭,鳄鱼眼泪,倒刺利爪,毒液,毒液注射,地刺陷阱
  19. RR=186 anchor_m=186 Swiss=9 | 真菌孢子,翡翠,鳄鱼眼泪,水蛭,倒刺利爪,毒液,毒液注射
  20. RR=183 anchor_m=183 Swiss=8 | 真菌孢子,贤者之石,翡翠,水蛭,倒刺利爪,毒液,毒液注射

[GDF] seeds: 永恒火炬
[GDF] size=8 top 20
  1. RR=250 anchor_m=248 Swiss=9 | 香炉,鳄鱼眼泪,火焰药水,彩虹药水,昏睡药水,红宝石,永恒火炬
  2. RR=242 anchor_m=240 Swiss=9 | 彩虹药水,火焰药水,瓶装闪电,红宝石,昏睡药水,永恒火炬,鳄鱼眼泪
  3. RR=242 anchor_m=239 Swiss=9 | 香炉,红宝石,瓶装闪电,永恒火炬,鳄鱼眼泪,昏睡药水,彩虹药水
  4. RR=237 anchor_m=235 Swiss=8 | 永恒火炬,香炉,瓶装闪电,彩虹药水,火焰药水,红宝石,萤火虫
  5. RR=233 anchor_m=230 Swiss=8 | 萤火虫,鳄鱼眼泪,火焰药水,彩虹药水,昏睡药水,红宝石,永恒火炬
  6. RR=228 anchor_m=227 Swiss=8 | 永恒火炬,香炉,彩虹药水,火焰药水,昏睡药水,红宝石,萤火虫
  7. RR=222 anchor_m=219 Swiss=8 | 红宝石,彩虹药水,鳄鱼眼泪,萤火虫,昏睡药水,永恒火炬,瓶装闪电
  8. RR=221 anchor_m=221 Swiss=8 | 彩虹药水,火焰药水,瓶装闪电,红宝石,永恒火炬,香炉,昏睡药水
  9. RR=212 anchor_m=203 Swiss=9 | 香炉,火焰药水,红宝石,瓶装闪电,彩虹药水,永恒火炬,鳄鱼眼泪
  10. RR=204 anchor_m=195 Swiss=8 | 香炉,鳄鱼眼泪,萤火虫,火焰药水,彩虹药水,红宝石,永恒火炬
  11. RR=199 anchor_m=199 Swiss=9 | 香炉,火焰药水,红宝石,瓶装闪电,永恒火炬,昏睡药水,鳄鱼眼泪
  12. RR=194 anchor_m=193 Swiss=8 | 鳄鱼眼泪,火焰药水,塔兹迪亚匕首,瓶装闪电,彩虹药水,红宝石,永恒火炬
  13. RR=194 anchor_m=188 Swiss=9 | 红宝石,彩虹药水,鳄鱼眼泪,萤火虫,香炉,永恒火炬,瓶装闪电
  14. RR=191 anchor_m=188 Swiss=8 | 彩虹药水,火焰药水,瓶装闪电,红宝石,萤火虫,永恒火炬,鳄鱼眼泪
  15. RR=189 anchor_m=186 Swiss=9 | 彩虹药水,火焰药水,瓶装闪电,红宝石,碎瓶,永恒火炬,鳄鱼眼泪
  16. RR=187 anchor_m=184 Swiss=8 | 香炉,鳄鱼眼泪,贤者之石,火焰药水,彩虹药水,红宝石,永恒火炬
  17. RR=186 anchor_m=184 Swiss=8 | 香炉,红宝石,瓶装闪电,塔兹迪亚匕首,永恒火炬,鳄鱼眼泪,彩虹药水
  18. RR=182 anchor_m=182 Swiss=9 | 彩虹药水,火焰药水,贤者之石,瓶装闪电,红宝石,永恒火炬,鳄鱼眼泪
  19. RR=183 anchor_m=180 Swiss=8 | 鳄鱼眼泪,火焰药水,彩虹药水,碎瓶,红宝石,永恒火炬,香炉
  20. RR=175 anchor_m=173 Swiss=8 | 香炉,鳄鱼眼泪,火焰药水,彩虹药水,硫磺,红宝石,永恒火炬

[GDF] seeds: 没药
[GDF] size=8 top 20
  1. RR=287 anchor_m=5 Swiss=9 | 地刺陷阱,没药,翡翠,鳄鱼眼泪,真菌孢子,倒刺利爪,毒液,毒液注射
  2. RR=261 anchor_m=254 Swiss=9 | 没药,炼金梨缶,毒芹,翡翠,水蛭,真菌孢子
  3. RR=224 anchor_m=204 Swiss=8 | 毒芹,炼金梨缶,没药,翡翠,笔与墨,毒液,真菌孢子
  4. RR=220 anchor_m=154 Swiss=8 | 没药,翡翠,真菌孢子,蜡烛,倒刺利爪,毒液,毒液注射
  5. RR=193 anchor_m=188 Swiss=8 | 彩虹药水,炼金梨缶,没药,翡翠,笔与墨,真菌孢子,毒液
  6. RR=276 anchor_m=19 Swiss=9 | 没药,地刺陷阱,水蛭,真菌孢子,倒刺利爪,毒液,毒液注射
  7. RR=271 anchor_m=1 Swiss=9 | 没药,翡翠,真菌孢子,倒刺利爪,毒液,毒液注射,水蛭
  8. RR=192 anchor_m=153 Swiss=8 | 没药,蜡烛,地刺陷阱,真菌孢子,倒刺利爪,毒液,毒液注射
  9. RR=255 anchor_m=23 Swiss=8 | 没药,毒蜥,真菌孢子,倒刺利爪,毒液,毒液注射,水蛭
  10. RR=244 anchor_m=28 Swiss=9 | 没药,翡翠,彩虹药水,真菌孢子,倒刺利爪,毒液,毒液注射,地刺陷阱
  11. RR=243 anchor_m=20 Swiss=8 | 没药,毒芹,真菌孢子,倒刺利爪,毒液,毒液注射,水蛭
  12. RR=170 anchor_m=165 Swiss=8 | 笔与墨,毒蜥,没药,炼金梨缶,毒芹,翡翠,真菌孢子
  13. RR=165 anchor_m=156 Swiss=9 | 笔与墨,没药,炼金梨缶,毒芹,翡翠,毒液注射,真菌孢子
  14. RR=161 anchor_m=156 Swiss=7 | 剧毒药水,炼金梨缶,没药,翡翠,笔与墨,毒液,真菌孢子
  15. RR=218 anchor_m=41 Swiss=8 | 没药,鳄鱼眼泪,翡翠,彩虹药水,真菌孢子,倒刺利爪,毒液,毒液注射
  16. RR=232 anchor_m=12 Swiss=10 | 地刺陷阱,没药,翡翠,真菌孢子,倒刺利爪,毒液,贤者之石,毒液注射
  17. RR=222 anchor_m=24 Swiss=8 | 地刺陷阱,毒芹,没药,翡翠,真菌孢子,倒刺利爪,毒液,毒液注射
  18. RR=228 anchor_m=12 Swiss=8 | 地刺陷阱,没药,毒蜥,翡翠,真菌孢子,倒刺利爪,毒液,毒液注射
  19. RR=218 anchor_m=31 Swiss=9 | 笔与墨,没药,真菌孢子,倒刺利爪,毒液,毒液注射,水蛭
  20. RR=216 anchor_m=14 Swiss=7 | 没药,翡翠,真菌孢子,倒刺利爪,毒液,黑玫瑰,毒液注射,地刺陷阱

[GDF] seeds: 火焰药水
[GDF] size=8 top 20
  1. RR=290 anchor_m=290 Swiss=10 | 瓶装闪电,彩虹药水,蜡烛,贤者之石,火焰药水,红宝石,香炉
  2. RR=269 anchor_m=269 Swiss=9 | 蜡烛,碎瓶,贤者之石,火焰药水,彩虹药水,红宝石,香炉
  3. RR=268 anchor_m=267 Swiss=9 | 蜡烛,贤者之石,鳄鱼眼泪,火焰药水,彩虹药水,红宝石,香炉
  4. RR=267 anchor_m=267 Swiss=9 | 蜡烛,贤者之石,火焰药水,瓶装闪电,碎瓶,红宝石,香炉
  5. RR=259 anchor_m=259 Swiss=8 | 瓶装闪电,蜡烛,贤者之石,火焰药水,塔兹迪亚匕首,红宝石,香炉
  6. RR=252 anchor_m=252 Swiss=9 | 蜡烛,贤者之石,火焰药水,红宝石,瓶装闪电,鳄鱼眼泪,香炉
  7. RR=243 anchor_m=243 Swiss=9 | 硫磺,瓶装闪电,蜡烛,贤者之石,火焰药水,红宝石,香炉
  8. RR=239 anchor_m=239 Swiss=8 | 蜡烛,贤者之石,火焰药水,塔兹迪亚匕首,彩虹药水,红宝石,香炉
  9. RR=235 anchor_m=235 Swiss=8 | 蜡烛,贤者之石,火焰药水,塔兹迪亚匕首,红宝石,香炉,鳄鱼眼泪
  10. RR=234 anchor_m=226 Swiss=9 | 鳄鱼眼泪,火焰药水,香炉,瓶装闪电,彩虹药水,红宝石,永恒火炬
  11. RR=236 anchor_m=210 Swiss=9 | 红宝石,彩虹药水,火焰药水,瓶装闪电,煅烧釜,鳄鱼眼泪,香炉
  12. RR=227 anchor_m=227 Swiss=8 | 硫磺,蜡烛,贤者之石,火焰药水,彩虹药水,红宝石,香炉
  13. RR=220 anchor_m=213 Swiss=8 | 红宝石,彩虹药水,萤火虫,火焰药水,鳄鱼眼泪,煅烧釜,香炉
  14. RR=214 anchor_m=214 Swiss=9 | 瓶装闪电,蜡烛,贤者之石,火焰药水,昏睡药水,红宝石,香炉
  15. RR=211 anchor_m=211 Swiss=8 | 蜡烛,贤者之石,火焰药水,红宝石,香炉,云精灵,瓶装闪电
  16. RR=208 anchor_m=208 Swiss=8 | 萤火虫,蜡烛,贤者之石,火焰药水,彩虹药水,红宝石,香炉
  17. RR=204 anchor_m=204 Swiss=8 | 蜡烛,贤者之石,火焰药水,塔兹迪亚匕首,碎瓶,红宝石,香炉
  18. RR=204 anchor_m=204 Swiss=8 | 蜡烛,贤者之石,火焰药水,鳄鱼眼泪,碎瓶,红宝石,香炉
  19. RR=199 anchor_m=199 Swiss=8 | 红宝石,碎瓶,彩虹药水,鳄鱼眼泪,火焰药水,煅烧釜,香炉
  20. RR=196 anchor_m=196 Swiss=8 | 火焰药水,萤火虫,香炉,彩虹药水,鳄鱼眼泪,红宝石,永恒火炬

[GDF] seeds: 炼金梨缶
[GDF] size=8 top 20
  1. RR=250 anchor_m=250 Swiss=9 | 水蛭,真菌孢子,翡翠,彩虹药水,炼金梨缶,毒芹
  2. RR=248 anchor_m=248 Swiss=8 | 彩虹药水,炼金梨缶,毒芹,翡翠,水蛭,毒液注射
  3. RR=245 anchor_m=245 Swiss=9 | 毒芹,炼金梨缶,剧毒药水,毒液注射,翡翠,水蛭
  4. RR=232 anchor_m=232 Swiss=9 | 水蛭,真菌孢子,彩虹药水,炼金梨缶,毒芹,毒液注射
  5. RR=221 anchor_m=221 Swiss=9 | 水蛭,真菌孢子,翡翠,彩虹药水,炼金梨缶,云精灵
  6. RR=220 anchor_m=220 Swiss=8 | 笔与墨,毒液,真菌孢子,翡翠,彩虹药水,炼金梨缶,云精灵
  7. RR=220 anchor_m=220 Swiss=8 | 毒芹,炼金梨缶,剧毒药水,翡翠,水蛭,真菌孢子
  8. RR=215 anchor_m=215 Swiss=7 | 翡翠,水蛭,毒芹,炼金梨缶,云精灵,毒液注射
  9. RR=212 anchor_m=212 Swiss=8 | 彩虹药水,炼金梨缶,毒芹,翡翠,笔与墨,毒蜥,真菌孢子
  10. RR=201 anchor_m=201 Swiss=9 | 水蛭,真菌孢子,翡翠,毒芹,炼金梨缶,云精灵
  11. RR=200 anchor_m=200 Swiss=8 | 彩虹药水,炼金梨缶,毒芹,地刺陷阱,翡翠,水蛭
  12. RR=195 anchor_m=195 Swiss=8 | 水蛭,毒芹,炼金梨缶,昏睡药水,真菌孢子,翡翠
  13. RR=195 anchor_m=195 Swiss=8 | 水蛭,真菌孢子,毒液,彩虹药水,炼金梨缶,毒芹
  14. RR=194 anchor_m=194 Swiss=8 | 毒芹,炼金梨缶,毒液,水蛭,翡翠,真菌孢子
  15. RR=190 anchor_m=190 Swiss=8 | 毒芹,炼金梨缶,彩虹药水,翡翠,真菌孢子,毒液,笔与墨
  16. RR=185 anchor_m=185 Swiss=9 | 笔与墨,彩虹药水,炼金梨缶,毒芹,翡翠,真菌孢子,毒液注射
  17. RR=184 anchor_m=184 Swiss=8 | 毒芹,炼金梨缶,鳄鱼眼泪,翡翠,水蛭,真菌孢子
  18. RR=177 anchor_m=177 Swiss=8 | 毒蜥,笔与墨,真菌孢子,翡翠,彩虹药水,炼金梨缶,云精灵
  19. RR=176 anchor_m=176 Swiss=8 | 彩虹药水,炼金梨缶,毒芹,曲颈甑,翡翠,真菌孢子
  20. RR=174 anchor_m=174 Swiss=8 | 毒芹,炼金梨缶,彩虹药水,翡翠,贤者之石,真菌孢子,笔与墨

[GDF] seeds: 煅烧釜
[GDF] size=8 top 20
  1. RR=266 anchor_m=263 Swiss=9 | 香炉,瓶装闪电,鳄鱼眼泪,昏睡药水,彩虹药水,煅烧釜,红宝石
  2. RR=263 anchor_m=261 Swiss=9 | 昏睡药水,红宝石,鳄鱼眼泪,萤火虫,瓶装闪电,煅烧釜,彩虹药水
  3. RR=259 anchor_m=254 Swiss=9 | 香炉,昏睡药水,鳄鱼眼泪,彩虹药水,红宝石,火焰药水,煅烧釜
  4. RR=256 anchor_m=253 Swiss=8 | 红宝石,萤火虫,鳄鱼眼泪,煅烧釜,香炉,彩虹药水,昏睡药水
  5. RR=249 anchor_m=244 Swiss=8 | 红宝石,萤火虫,火焰药水,鳄鱼眼泪,煅烧釜,彩虹药水,昏睡药水
  6. RR=247 anchor_m=247 Swiss=9 | 香炉,红宝石,彩虹药水,萤火虫,煅烧釜,昏睡药水,瓶装闪电
  7. RR=228 anchor_m=226 Swiss=9 | 香炉,火焰药水,瓶装闪电,彩虹药水,煅烧釜,红宝石,萤火虫
  8. RR=219 anchor_m=219 Swiss=8 | 香炉,火焰药水,瓶装闪电,彩虹药水,煅烧釜,昏睡药水,红宝石
  9. RR=217 anchor_m=215 Swiss=8 | 香炉,红宝石,火焰药水,煅烧釜,昏睡药水,瓶装闪电,鳄鱼眼泪
  10. RR=206 anchor_m=197 Swiss=8 | 瓶装闪电,红宝石,萤火虫,鳄鱼眼泪,煅烧釜,香炉,彩虹药水
  11. RR=204 anchor_m=201 Swiss=8 | 火焰药水,香炉,鳄鱼眼泪,彩虹药水,红宝石,煅烧釜,贤者之石
  12. RR=202 anchor_m=198 Swiss=9 | 昏睡药水,香炉,鳄鱼眼泪,彩虹药水,红宝石,煅烧釜,碎瓶
  13. RR=195 anchor_m=194 Swiss=8 | 贤者之石,香炉,瓶装闪电,鳄鱼眼泪,彩虹药水,煅烧釜,红宝石
  14. RR=192 anchor_m=186 Swiss=7 | 香炉,瓶装闪电,塔兹迪亚匕首,鳄鱼眼泪,彩虹药水,煅烧釜,红宝石
  15. RR=187 anchor_m=183 Swiss=8 | 火焰药水,塔兹迪亚匕首,鳄鱼眼泪,红宝石,香炉,煅烧釜,彩虹药水
  16. RR=183 anchor_m=177 Swiss=9 | 香炉,鳄鱼眼泪,彩虹药水,红宝石,火焰药水,煅烧釜,萤火虫
  17. RR=179 anchor_m=176 Swiss=8 | 火焰药水,红宝石,鳄鱼眼泪,萤火虫,瓶装闪电,煅烧釜,彩虹药水
  18. RR=179 anchor_m=175 Swiss=8 | 香炉,鳄鱼眼泪,彩虹药水,红宝石,瓶装闪电,煅烧釜,碎瓶
  19. RR=173 anchor_m=171 Swiss=8 | 香炉,瓶装闪电,鳄鱼眼泪,再生药水,彩虹药水,煅烧釜,红宝石
  20. RR=172 anchor_m=168 Swiss=8 | 香炉,鳄鱼眼泪,彩虹药水,红宝石,煅烧釜,碎瓶,火焰药水

[GDF] seeds: 熏香
[GDF] size=8 top 20
  1. RR=288 anchor_m=41 Swiss=8 | 熏香,真菌孢子,倒刺利爪,毒液,地刺陷阱,毒蜥,翡翠,毒液注射
  2. RR=214 anchor_m=201 Swiss=9 | 熏香,真菌孢子,彩虹药水,笔与墨,毒液,翡翠,蜡烛
  3. RR=227 anchor_m=132 Swiss=8 | 颠茄,笔与墨,毒液,真菌孢子,翡翠,毒液注射,熏香
  4. RR=236 anchor_m=97 Swiss=9 | 翡翠,笔与墨,毒液,熏香,真菌孢子,腐朽圣像,贤者之石
  5. RR=269 anchor_m=24 Swiss=9 | 翡翠,熏香,真菌孢子,毒液注射,笔与墨,毒液,腐朽圣像
  6. RR=248 anchor_m=66 Swiss=9 | 熏香,真菌孢子,倒刺利爪,毒液,毒蜥,鳄鱼眼泪,翡翠,毒液注射
  7. RR=236 anchor_m=85 Swiss=8 | 毒液注射,曲颈甑,熏香,真菌孢子,笔与墨,毒液,翡翠
  8. RR=257 anchor_m=42 Swiss=10 | 熏香,真菌孢子,毒液,水蛭,毒蜥,翡翠,毒液注射
  9. RR=229 anchor_m=95 Swiss=8 | 熏香,真菌孢子,笔与墨,毒液,翡翠,毒芹,腐朽圣像
