# gdf_enumerate_anchor_top1: full Top-K per anchor (last size tier only)
[GDF] seeds: 云精灵
[GDF] size=6 top 20
  1. RR=292 anchor_m=282 Swiss=9 | 彩虹药水,炼金梨缶,云精灵,翡翠,真菌孢子
  10. RR=231 anchor_m=231 Swiss=9 | 翡翠,水蛭,毒蜥,毒液注射,毒液
  11. RR=223 anchor_m=223 Swiss=8 | 水蛭,倒刺利爪,毒液,毒蜥,翡翠
  12. RR=218 anchor_m=218 Swiss=8 | 真菌孢子,水蛭,翡翠,毒芹,毒液注射
  13. RR=215 anchor_m=207 Swiss=8 | 黑玫瑰,真菌孢子,水蛭,毒液注射,毒液
  14. RR=212 anchor_m=212 Swiss=8 | 水蛭,真菌孢子,倒刺利爪,毒液,毒芹
  15. RR=208 anchor_m=208 Swiss=8 | 毒液注射,水蛭,地刺陷阱,倒刺利爪,毒液
  16. RR=205 anchor_m=205 Swiss=8 | 水蛭,翡翠,地刺陷阱,毒蜥,毒液注射
  17. RR=201 anchor_m=201 Swiss=8 | 水蛭,翡翠,毒芹,毒液注射,毒液
  18. RR=199 anchor_m=199 Swiss=8 | 水蛭,毒芹,倒刺利爪,毒液,翡翠
  19. RR=197 anchor_m=197 Swiss=8 | 真菌孢子,毒液,水蛭,毒液注射,毒蜥
  20. RR=194 anchor_m=194 Swiss=8 | 黑玫瑰,翡翠,水蛭,毒液注射,毒液

[GDF] seeds: 永恒火炬
[GDF] size=6 top 20
  1. RR=291 anchor_m=290 Swiss=10 | 火焰药水,香炉,红宝石,瓶装闪电,永恒火炬
  2. RR=287 anchor_m=287 Swiss=9 | 香炉,红宝石,永恒火炬,火焰药水,鳄鱼眼泪
  3. RR=283 anchor_m=282 Swiss=9 | 彩虹药水,香炉,火焰药水,红宝石,永恒火炬
  4. RR=280 anchor_m=277 Swiss=9 | 彩虹药水,香炉,红宝石,永恒火炬,鳄鱼眼泪
  5. RR=272 anchor_m=269 Swiss=9 | 瓶装闪电,彩虹药水,香炉,红宝石,永恒火炬
  6. RR=268 anchor_m=268 Swiss=9 | 香炉,红宝石,永恒火炬,火焰药水,塔兹迪亚匕首
  7. RR=261 anchor_m=259 Swiss=9 | 鳄鱼眼泪,香炉,红宝石,瓶装闪电,永恒火炬
  8. RR=258 anchor_m=247 Swiss=9 | 香炉,火焰药水,红宝石,永恒火炬,萤火虫
  9. RR=252 anchor_m=249 Swiss=8 | 香炉,火焰药水,红宝石,硫磺,永恒火炬
  10. RR=240 anchor_m=235 Swiss=8 | 香炉,红宝石,硫磺,永恒火炬,彩虹药水
  11. RR=236 anchor_m=230 Swiss=8 | 香炉,红宝石,瓶装闪电,硫磺,永恒火炬
  12. RR=239 anchor_m=221 Swiss=9 | 香炉,红宝石,瓶装闪电,萤火虫,永恒火炬
  13. RR=218 anchor_m=217 Swiss=8 | 香炉,红宝石,瓶装闪电,塔兹迪亚匕首,永恒火炬
  14. RR=263 anchor_m=127 Swiss=8 | 彩虹药水,萤火虫,香炉,红宝石,永恒火炬
  15. RR=222 anchor_m=181 Swiss=8 | 香炉,煅烧釜,红宝石,永恒火炬
  16. RR=230 anchor_m=151 Swiss=8 | 香炉,蜡烛,红宝石,永恒火炬
  17. RR=204 anchor_m=202 Swiss=8 | 剑杖,香炉,红宝石,永恒火炬
  18. RR=203 anchor_m=202 Swiss=8 | 彩虹药水,塔兹迪亚匕首,香炉,红宝石,永恒火炬
  19. RR=212 anchor_m=184 Swiss=8 | 香炉,红宝石,萤火虫,硫磺,永恒火炬
  20. RR=202 anchor_m=201 Swiss=9 | 香炉,红宝石,永恒火炬,萤火虫,鳄鱼眼泪

[GDF] seeds: 没药
[GDF] size=6 top 20
  1. RR=286 anchor_m=5 Swiss=9 | 翡翠,没药,笔与墨,毒液,毒蜥,真菌孢子
  2. RR=276 anchor_m=259 Swiss=8 | 翡翠,真菌孢子,没药,炼金梨缶,毒芹
  3. RR=271 anchor_m=266 Swiss=9 | 真菌孢子,没药,炼金梨缶,彩虹药水,翡翠
  4. RR=247 anchor_m=246 Swiss=9 | 真菌孢子,翡翠,没药,炼金梨缶,云精灵
  5. RR=215 anchor_m=211 Swiss=8 | 没药,炼金梨缶,毒芹,笔与墨,真菌孢子
  6. RR=213 anchor_m=213 Swiss=8 | 翡翠,炼金梨缶,没药,笔与墨,真菌孢子
  7. RR=281 anchor_m=17 Swiss=9 | 翡翠,没药,真菌孢子,笔与墨,毒液,毒芹
  8. RR=189 anchor_m=185 Swiss=8 | 真菌孢子,笔与墨,没药,炼金梨缶,彩虹药水
  9. RR=272 anchor_m=12 Swiss=8 | 翡翠,没药,笔与墨,毒液,彩虹药水,真菌孢子
  10. RR=263 anchor_m=25 Swiss=9 | 没药,翡翠,笔与墨,毒液,真菌孢子,毒液注射
  11. RR=182 anchor_m=182 Swiss=8 | 真菌孢子,没药,炼金梨缶,再生药水,翡翠
  12. RR=270 anchor_m=5 Swiss=10 | 翡翠,没药,真菌孢子,倒刺利爪,毒液,毒液注射
  13. RR=238 anchor_m=38 Swiss=9 | 没药,笔与墨,毒液,翡翠,黑玫瑰,真菌孢子
  14. RR=228 anchor_m=45 Swiss=9 | 翡翠,毒芹,没药,笔与墨,毒蜥,真菌孢子
  15. RR=221 anchor_m=54 Swiss=9 | 翡翠,没药,笔与墨,毒液,贤者之石,真菌孢子
  16. RR=228 anchor_m=40 Swiss=8 | 剧毒药水,翡翠,没药,笔与墨,毒液,真菌孢子
  17. RR=201 anchor_m=60 Swiss=8 | 曲颈甑,翡翠,没药,笔与墨,真菌孢子
  18. RR=190 anchor_m=60 Swiss=8 | 翡翠,没药,笔与墨,毒蜥,真菌孢子,彩虹药水
  19. RR=147 anchor_m=145 Swiss=7 | 笔与墨,真菌孢子,没药,炼金梨缶,云精灵
  20. RR=194 anchor_m=51 Swiss=8 | 翡翠,没药,笔与墨,毒液,香炉,真菌孢子

[GDF] seeds: 火焰药水
[GDF] size=6 top 20
  1. RR=279 anchor_m=18 Swiss=9 | 火焰药水,毒液注射,真菌孢子,倒刺利爪,毒液,翡翠
  2. RR=279 anchor_m=28 Swiss=9 | 火焰药水,翡翠,笔与墨,毒液,真菌孢子,毒蜥
  3. RR=266 anchor_m=266 Swiss=8 | 真菌孢子,翡翠,火焰药水,炼金梨缶,彩虹药水
  4. RR=269 anchor_m=214 Swiss=9 | 火焰药水,毒液注射,真菌孢子,鳄鱼眼泪,倒刺利爪,毒液
  5. RR=246 anchor_m=244 Swiss=8 | 真菌孢子,翡翠,火焰药水,炼金梨缶,毒芹
  6. RR=228 anchor_m=211 Swiss=8 | 翡翠,火焰药水,鳄鱼眼泪,炼金梨缶,彩虹药水
  7. RR=214 anchor_m=214 Swiss=8 | 真菌孢子,毒蜥,笔与墨,火焰药水,蜡烛
  8. RR=212 anchor_m=212 Swiss=9 | 火焰药水,炼金梨缶,彩虹药水,鳄鱼眼泪,真菌孢子
  9. RR=206 anchor_m=204 Swiss=9 | 火焰药水,炼金梨缶,彩虹药水,真菌孢子,笔与墨
  10. RR=272 anchor_m=42 Swiss=9 | 彩虹药水,笔与墨,毒液,翡翠,火焰药水,真菌孢子
  11. RR=194 anchor_m=194 Swiss=8 | 蜡烛,笔与墨,翡翠,火焰药水,真菌孢子
  12. RR=272 anchor_m=34 Swiss=10 | 火焰药水,毒液注射,真菌孢子,笔与墨,毒液,翡翠
  13. RR=265 anchor_m=31 Swiss=9 | 笔与墨,毒液,翡翠,火焰药水,毒芹,真菌孢子
  14. RR=217 anchor_m=123 Swiss=8 | 笔与墨,毒液,香炉,翡翠,火焰药水,真菌孢子
  15. RR=203 anchor_m=131 Swiss=8 | 火焰药水,毒液注射,地刺陷阱,真菌孢子,倒刺利爪,毒液
  16. RR=231 anchor_m=48 Swiss=8 | 贤者之石,笔与墨,毒液,翡翠,火焰药水,真菌孢子
  17. RR=168 anchor_m=167 Swiss=8 | 翡翠,火焰药水,炼金梨缶,彩虹药水,笔与墨
  18. RR=166 anchor_m=166 Swiss=8 | 笔与墨,翡翠,火焰药水,炼金梨缶,真菌孢子
  19. RR=165 anchor_m=165 Swiss=8 | 毒液注射,笔与墨,蜡烛,火焰药水,真菌孢子
  20. RR=206 anchor_m=71 Swiss=8 | 剧毒药水,笔与墨,毒液,翡翠,火焰药水,真菌孢子

[GDF] seeds: 炼金梨缶
[GDF] size=6 top 20
  1. RR=278 anchor_m=278 Swiss=9 | 毒芹,炼金梨缶,云精灵,翡翠,真菌孢子
  2. RR=274 anchor_m=274 Swiss=9 | 真菌孢子,毒芹,炼金梨缶,彩虹药水,翡翠
  3. RR=273 anchor_m=273 Swiss=10 | 彩虹药水,炼金梨缶,云精灵,翡翠,真菌孢子
  4. RR=269 anchor_m=269 Swiss=9 | 鳄鱼眼泪,炼金梨缶,彩虹药水,翡翠,真菌孢子
  5. RR=241 anchor_m=239 Swiss=9 | 鳄鱼眼泪,炼金梨缶,彩虹药水,翡翠,香炉
  6. RR=237 anchor_m=237 Swiss=8 | 真菌孢子,再生药水,炼金梨缶,毒芹,翡翠
  7. RR=234 anchor_m=234 Swiss=8 | 再生药水,炼金梨缶,彩虹药水,真菌孢子,翡翠
  8. RR=226 anchor_m=226 Swiss=8 | 剧毒药水,炼金梨缶,毒芹,翡翠,真菌孢子
  9. RR=220 anchor_m=220 Swiss=9 | 真菌孢子,剧毒药水,炼金梨缶,彩虹药水,翡翠
  10. RR=219 anchor_m=219 Swiss=9 | 翡翠,真菌孢子,再生药水,炼金梨缶,云精灵
  11. RR=218 anchor_m=218 Swiss=9 | 笔与墨,翡翠,真菌孢子,毒芹,炼金梨缶
  12. RR=210 anchor_m=210 Swiss=8 | 鳄鱼眼泪,炼金梨缶,毒芹,真菌孢子,翡翠
  13. RR=210 anchor_m=210 Swiss=8 | 真菌孢子,炼金梨缶,彩虹药水,笔与墨,翡翠
  14. RR=207 anchor_m=207 Swiss=8 | 鳄鱼眼泪,炼金梨缶,彩虹药水,香炉,真菌孢子
  15. RR=202 anchor_m=200 Swiss=8 | 鳄鱼眼泪,炼金梨缶,彩虹药水,翡翠,萤火虫
  16. RR=197 anchor_m=197 Swiss=8 | 真菌孢子,碎瓶,炼金梨缶,彩虹药水,翡翠
  17. RR=193 anchor_m=192 Swiss=8 | 鳄鱼眼泪,炼金梨缶,彩虹药水,翡翠,蛇怪之牙
  18. RR=191 anchor_m=191 Swiss=9 | 水蛭,彩虹药水,炼金梨缶,鳄鱼眼泪
  19. RR=176 anchor_m=176 Swiss=8 | 真菌孢子,火焰药水,炼金梨缶,彩虹药水,翡翠
  20. RR=172 anchor_m=172 Swiss=8 | 真菌孢子,翡翠,剧毒药水,炼金梨缶,鳄鱼眼泪

[GDF] seeds: 煅烧釜
[GDF] size=6 top 20
  1. RR=293 anchor_m=290 Swiss=9 | 红宝石,彩虹药水,鳄鱼眼泪,香炉,煅烧釜
  2. RR=280 anchor_m=280 Swiss=9 | 香炉,瓶装闪电,红宝石,煅烧釜,鳄鱼眼泪
  3. RR=271 anchor_m=271 Swiss=9 | 红宝石,彩虹药水,瓶装闪电,香炉,煅烧釜
  4. RR=267 anchor_m=267 Swiss=9 | 火焰药水,瓶装闪电,香炉,红宝石,煅烧釜
  5. RR=265 anchor_m=264 Swiss=9 | 彩虹药水,鳄鱼眼泪,火焰药水,香炉,煅烧釜
  6. RR=264 anchor_m=263 Swiss=8 | 香炉,火焰药水,红宝石,煅烧釜,鳄鱼眼泪
  7. RR=253 anchor_m=252 Swiss=8 | 红宝石,煅烧釜,彩虹药水,鳄鱼眼泪,萤火虫
  8. RR=251 anchor_m=251 Swiss=9 | 彩虹药水,火焰药水,香炉,红宝石,煅烧釜
  9. RR=249 anchor_m=247 Swiss=8 | 彩虹药水,鳄鱼眼泪,萤火虫,香炉,煅烧釜
  10. RR=242 anchor_m=241 Swiss=9 | 萤火虫,红宝石,彩虹药水,香炉,煅烧釜
  11. RR=233 anchor_m=233 Swiss=8 | 萤火虫,煅烧釜,瓶装闪电,香炉,红宝石
  12. RR=225 anchor_m=225 Swiss=9 | 瓶装闪电,香炉,硫磺,煅烧釜,红宝石
  13. RR=222 anchor_m=222 Swiss=8 | 红宝石,彩虹药水,香炉,硫磺,煅烧釜
  14. RR=215 anchor_m=215 Swiss=8 | 彩虹药水,碎瓶,鳄鱼眼泪,香炉,煅烧釜
  15. RR=206 anchor_m=206 Swiss=8 | 瓶装闪电,塔兹迪亚匕首,香炉,红宝石,煅烧釜
  16. RR=206 anchor_m=205 Swiss=8 | 彩虹药水,瓶装闪电,鳄鱼眼泪,香炉,煅烧釜
  17. RR=204 anchor_m=204 Swiss=8 | 萤火虫,火焰药水,煅烧釜,香炉,红宝石
  18. RR=198 anchor_m=198 Swiss=8 | 火焰药水,塔兹迪亚匕首,香炉,红宝石,煅烧釜
  19. RR=197 anchor_m=197 Swiss=8 | 红宝石,彩虹药水,煅烧釜,萤火虫,瓶装闪电
  20. RR=182 anchor_m=182 Swiss=8 | 火焰药水,香炉,红宝石,煅烧釜,硫磺

[GDF] seeds: 熏香
[GDF] size=6 top 20
  1. RR=292 anchor_m=29 Swiss=10 | 熏香,萤火虫,香炉,彩虹药水,鳄鱼眼泪,红宝石
  2. RR=276 anchor_m=176 Swiss=9 | 熏香,萤火虫,蜡烛,香炉,红宝石
  3. RR=271 anchor_m=154 Swiss=9 | 火焰药水,熏香,萤火虫,瓶装闪电,香炉,红宝石
  4. RR=249 anchor_m=177 Swiss=9 | 熏香,萤火虫,嗅盐,彩虹药水,香炉,红宝石
  5. RR=229 anchor_m=210 Swiss=8 | 蛇怪之牙,熏香,萤火虫,蜡烛,香炉
  6. RR=238 anchor_m=186 Swiss=8 | 熏香,萤火虫,香炉,红宝石,瓶装闪电,硫磺
  7. RR=244 anchor_m=170 Swiss=9 | 熏香,萤火虫,香炉,鳄鱼眼泪,红宝石,瓶装闪电
  8. RR=228 anchor_m=195 Swiss=8 | 熏香,萤火虫,昏睡药水,香炉,彩虹药水,红宝石
  9. RR=220 anchor_m=210 Swiss=9 | 熏香,萤火虫,彩虹药水,蜡烛,香炉
  10. RR=267 anchor_m=105 Swiss=8 | 熏香,萤火虫,彩虹药水,硫磺,香炉,红宝石
  11. RR=284 anchor_m=69 Swiss=9 | 火焰药水,熏香,彩虹药水,萤火虫,香炉,红宝石
  12. RR=289 anchor_m=45 Swiss=9 | 熏香,萤火虫,香炉,瓶装闪电,彩虹药水,红宝石
  13. RR=225 anchor_m=173 Swiss=8 | 火焰药水,熏香,萤火虫,鳄鱼眼泪,香炉,红宝石
  14. RR=229 anchor_m=146 Swiss=8 | 熏香,萤火虫,香炉,彩虹药水,塔兹迪亚匕首,红宝石
  15. RR=193 anchor_m=188 Swiss=9 | 熏香,萤火虫,云精灵,香炉,彩虹药水,红宝石
  16. RR=197 anchor_m=176 Swiss=8 | 熏香,萤火虫,香炉,红宝石,瓶装闪电,塔兹迪亚匕首
  17. RR=205 anchor_m=158 Swiss=8 | 火焰药水,塔兹迪亚匕首,熏香,萤火虫,香炉,红宝石
  18. RR=199 anchor_m=158 Swiss=8 | 熏香,火焰药水,萤火虫,硫磺,香炉,红宝石
  19. RR=195 anchor_m=147 Swiss=8 | 熏香,萤火虫,香炉,红宝石,煅烧釜
  20. RR=182 anchor_m=173 Swiss=8 | 地刺陷阱,熏香,萤火虫,香炉,彩虹药水,红宝石

[GDF] seeds: 猫头鹰奥利
[GDF] size=6 top 20
  1. RR=249 anchor_m=9 Swiss=9 | 翡翠,真菌孢子,笔与墨,毒液,猫头鹰奥利,毒蜥
  2. RR=238 anchor_m=78 Swiss=9 | 地刺陷阱,拆信刀,蛇怪之牙,猫头鹰奥利,毒蜥,手术刀
  3. RR=239 anchor_m=74 Swiss=10 | 拆信刀,鳄鱼眼泪,蛇怪之牙,猫头鹰奥利,毒蜥,手术刀
  4. RR=181 anchor_m=114 Swiss=8 | 魔法飞毯,拆信刀,猫头鹰奥利,瓶装闪电,手术刀
  5. RR=210 anchor_m=52 Swiss=8 | 拆信刀,蛇怪之牙,猫头鹰奥利,毒蜥,手术刀,云精灵
  6. RR=233 anchor_m=2 Swiss=9 | 翡翠,真菌孢子,笔与墨,毒液,猫头鹰奥利,毒芹
  7. RR=232 anchor_m=-2 Swiss=8 | 毒液注射,真菌孢子,笔与墨,毒液,翡翠,猫头鹰奥利
  8. RR=183 anchor_m=92 Swiss=8 | 拆信刀,蛇怪之牙,猫头鹰奥利,毒蜥,手术刀,翡翠
  9. RR=193 anchor_m=70 Swiss=8 | 拆信刀,蛇怪之牙,猫头鹰奥利,毒蜥,手术刀,嗅盐
  10. RR=232 anchor_m=-10 Swiss=8 | 真菌孢子,笔与墨,毒液,翡翠,猫头鹰奥利,彩虹药水
  11. RR=182 anchor_m=78 Swiss=8 | 拆信刀,蛇怪之牙,瓶装闪电,猫头鹰奥利,毒蜥,手术刀
  12. RR=179 anchor_m=81 Swiss=8 | 倒刺利爪,拆信刀,蛇怪之牙,猫头鹰奥利,毒蜥,手术刀
  13. RR=216 anchor_m=-6 Swiss=9 | 毒液注射,真菌孢子,笔与墨,猫头鹰奥利,毒蜥,翡翠
  14. RR=185 anchor_m=54 Swiss=8 | 拆信刀,剧毒药水,蛇怪之牙,猫头鹰奥利,毒蜥,手术刀
  15. RR=214 anchor_m=-4 Swiss=8 | 真菌孢子,笔与墨,毒液,黑玫瑰,翡翠,猫头鹰奥利
  16. RR=177 anchor_m=69 Swiss=8 | 拆信刀,蛇怪之牙,猫头鹰奥利,毒液注射,毒蜥,手术刀
  17. RR=208 anchor_m=5 Swiss=9 | 真菌孢子,笔与墨,毒液,翡翠,猫头鹰奥利,贤者之石
  18. RR=205 anchor_m=9 Swiss=8 | 真菌孢子,笔与墨,毒蜥,毒芹,翡翠,猫头鹰奥利
  19. RR=169 anchor_m=80 Swiss=7 | 熏香,拆信刀,蛇怪之牙,猫头鹰奥利,毒蜥,手术刀
  20. RR=198 anchor_m=8 Swiss=8 | 真菌孢子,笔与墨,毒液,翡翠,再生药水,猫头鹰奥利

[GDF] seeds: 瓶装闪电
[GDF] size=6 top 20
  1. RR=281 anchor_m=269 Swiss=9 | 彩虹药水,炼金梨缶,瓶装闪电,翡翠,真菌孢子
  2. RR=275 anchor_m=250 Swiss=8 | 翡翠,真菌孢子,毒芹,炼金梨缶,瓶装闪电
  3. RR=260 anchor_m=259 Swiss=9 | 真菌孢子,瓶装闪电,炼金梨缶,再生药水,翡翠
  4. RR=239 anchor_m=237 Swiss=8 | 翡翠,鳄鱼眼泪,彩虹药水,炼金梨缶,瓶装闪电
  5. RR=228 anchor_m=227 Swiss=9 | 彩虹药水,炼金梨缶,瓶装闪电,真菌孢子,鳄鱼眼泪
  6. RR=241 anchor_m=151 Swiss=8 | 毒蜥,瓶装闪电,翡翠,地刺陷阱,真菌孢子,毒液
  7. RR=202 anchor_m=200 Swiss=8 | 地刺陷阱,彩虹药水,炼金梨缶,瓶装闪电,真菌孢子
  8. RR=244 anchor_m=111 Swiss=9 | 瓶装闪电,真菌孢子,鳄鱼眼泪,倒刺利爪,毒液,毒液注射
  9. RR=236 anchor_m=120 Swiss=10 | 瓶装闪电,毒液注射,真菌孢子,倒刺利爪,毒液,地刺陷阱
  10. RR=196 anchor_m=196 Swiss=9 | 毒芹,炼金梨缶,瓶装闪电,水蛭
  11. RR=197 anchor_m=192 Swiss=8 | 翡翠,彩虹药水,炼金梨缶,瓶装闪电,地刺陷阱
  12. RR=280 anchor_m=21 Swiss=9 | 毒液注射,翡翠,瓶装闪电,真菌孢子,倒刺利爪,毒液
  13. RR=192 anchor_m=190 Swiss=8 | 彩虹药水,炼金梨缶,瓶装闪电,真菌孢子,毒液
  14. RR=190 anchor_m=190 Swiss=8 | 毒蜥,彩虹药水,炼金梨缶,瓶装闪电,真菌孢子
  15. RR=215 anchor_m=139 Swiss=8 | 瓶装闪电,剑杖,毒液注射,翡翠,真菌孢子
  16. RR=185 anchor_m=184 Swiss=8 | 毒蜥,翡翠,彩虹药水,炼金梨缶,瓶装闪电
  17. RR=183 anchor_m=182 Swiss=8 | 毒液注射,翡翠,彩虹药水,炼金梨缶,瓶装闪电
  18. RR=190 anchor_m=140 Swiss=8 | 瓶装闪电,毒芹,翡翠,真菌孢子,毒液,地刺陷阱
  19. RR=173 anchor_m=163 Swiss=9 | 地刺陷阱,真菌孢子,毒芹,炼金梨缶,瓶装闪电
  20. RR=199 anchor_m=107 Swiss=8 | 毒芹,毒蜥,瓶装闪电,翡翠,真菌孢子,毒液

[GDF] seeds: 生命导体
[GDF] size=6 top 20
  1. RR=295 anchor_m=5 Swiss=10 | 生命导体,笔与墨,毒液,真菌孢子,翡翠
  2. RR=234 anchor_m=188 Swiss=8 | 真菌孢子,颠茄,笔与墨,生命导体
  3. RR=261 anchor_m=74 Swiss=9 | 生命导体,真菌孢子,笔与墨,毒液,毒蜥
  4. RR=241 anchor_m=106 Swiss=9 | 笔与墨,毒液,真菌孢子,生命导体,毒芹
  5. RR=203 anchor_m=171 Swiss=8 | 生命导体,黑玫瑰,毒液注射,颠茄
  6. RR=278 anchor_m=21 Swiss=9 | 毒蜥,生命导体,笔与墨,真菌孢子,翡翠
  7. RR=264 anchor_m=46 Swiss=9 | 笔与墨,真菌孢子,生命导体,翡翠,毒芹
  8. RR=200 anchor_m=165 Swiss=8 | 笔与墨,贤者之石,颠茄,生命导体
  9. RR=244 anchor_m=75 Swiss=8 | 生命导体,真菌孢子,倒刺利爪,毒液,翡翠
  10. RR=231 anchor_m=100 Swiss=9 | 毒液注射,生命导体,真菌孢子,笔与墨,毒液
  11. RR=237 anchor_m=82 Swiss=9 | 生命导体,真菌孢子,毒液,翡翠,毒蜥
  12. RR=235 anchor_m=74 Swiss=9 | 生命导体,真菌孢子,笔与墨,毒液,黑玫瑰
  13. RR=247 anchor_m=49 Swiss=8 | 生命导体,真菌孢子,倒刺利爪,毒液,毒液注射
  14. RR=185 anchor_m=171 Swiss=8 | 毒液注射,贤者之石,颠茄,生命导体
  15. RR=206 anchor_m=119 Swiss=9 | 笔与墨,真菌孢子,生命导体,曲颈甑
  16. RR=248 anchor_m=35 Swiss=9 | 生命导体,笔与墨,真菌孢子,翡翠,毒液注射
  17. RR=197 anchor_m=126 Swiss=8 | 生命导体,真菌孢子,贤者之石,笔与墨,毒液
  18. RR=185 anchor_m=125 Swiss=8 | 生命导体,笔与墨,真菌孢子,彩虹药水,翡翠
  19. RR=197 anchor_m=93 Swiss=8 | 毒芹,生命导体,翡翠,真菌孢子,毒液
  20. RR=204 anchor_m=78 Swiss=9 | 生命导体,真菌孢子,倒刺利爪,毒液,地刺陷阱

[GDF] seeds: 真菌孢子
[GDF] size=6 top 20
  1. RR=287 anchor_m=287 Swiss=10 | 真菌孢子,倒刺利爪,毒液,翡翠,毒液注射,地刺陷阱
  2. RR=274 anchor_m=274 Swiss=9 | 真菌孢子,毒液注射,鳄鱼眼泪,倒刺利爪,毒液,翡翠
  3. RR=254 anchor_m=254 Swiss=9 | 毒液注射,真菌孢子,倒刺利爪,毒液,毒蜥,翡翠
  4. RR=249 anchor_m=249 Swiss=8 | 真菌孢子,毒液注射,倒刺利爪,毒液,翡翠,彩虹药水
  5. RR=239 anchor_m=239 Swiss=9 | 真菌孢子,毒液注射,倒刺利爪,毒液,水蛭
  6. RR=238 anchor_m=238 Swiss=9 | 真菌孢子,倒刺利爪,毒液,翡翠,地刺陷阱,剧毒药水
  7. RR=236 anchor_m=236 Swiss=8 | 真菌孢子,彩虹药水,笔与墨,毒液,毒蜥,翡翠
  8. RR=230 anchor_m=230 Swiss=8 | 真菌孢子,毒液注射,倒刺利爪,毒液,翡翠,毒芹
  9. RR=224 anchor_m=224 Swiss=8 | 真菌孢子,毒液,毒液注射,水蛭,翡翠
  10. RR=221 anchor_m=221 Swiss=9 | 毒液注射,彩虹药水,真菌孢子,笔与墨,毒液,翡翠
  11. RR=218 anchor_m=218 Swiss=8 | 真菌孢子,毒液注射,黑玫瑰,倒刺利爪,毒液,翡翠
  12. RR=216 anchor_m=216 Swiss=8 | 真菌孢子,笔与墨,毒液,毒蜥,翡翠,毒芹
  13. RR=214 anchor_m=214 Swiss=8 | 真菌孢子,笔与墨,毒液,毒芹,彩虹药水,翡翠
  14. RR=214 anchor_m=214 Swiss=8 | 毒液注射,真菌孢子,笔与墨,倒刺利爪,毒液,翡翠
  15. RR=213 anchor_m=213 Swiss=8 | 真菌孢子,曲颈甑,笔与墨,毒液,翡翠
  16. RR=209 anchor_m=209 Swiss=9 | 真菌孢子,倒刺利爪,毒液,地刺陷阱,毒蜥,翡翠
  17. RR=200 anchor_m=200 Swiss=8 | 毒液注射,真菌孢子,笔与墨,毒液,翡翠,毒芹
  18. RR=194 anchor_m=194 Swiss=8 | 真菌孢子,贤者之石,毒液注射,倒刺利爪,毒液,翡翠
  19. RR=191 anchor_m=191 Swiss=8 | 毒芹,真菌孢子,倒刺利爪,毒液,翡翠,地刺陷阱
  20. RR=191 anchor_m=191 Swiss=8 | 真菌孢子,笔与墨,毒液,翡翠,黑玫瑰,毒液注射

[GDF] seeds: 研钵与研杵
[GDF] size=6 top 20
  1. RR=221 anchor_m=208 Swiss=9 | 倒刺利爪,蛇怪之牙,研钵与研杵,手术刀,地刺陷阱
  2. RR=209 anchor_m=193 Swiss=8 | 熏香,蛇怪之牙,研钵与研杵,手术刀,地刺陷阱
  3. RR=208 anchor_m=186 Swiss=9 | 拆信刀,蛇怪之牙,研钵与研杵,手术刀,地刺陷阱
  4. RR=201 anchor_m=190 Swiss=8 | 毒液注射,研钵与研杵,手术刀,蛇怪之牙,熏香
  5. RR=199 anchor_m=188 Swiss=8 | 倒刺利爪,毒液注射,研钵与研杵,手术刀,蛇怪之牙
  6. RR=186 anchor_m=180 Swiss=8 | 拆信刀,研钵与研杵,手术刀,嗅盐,蛇怪之牙
  7. RR=184 anchor_m=179 Swiss=9 | 毒液注射,研钵与研杵,手术刀,蛇怪之牙,贤者之石
  8. RR=183 anchor_m=179 Swiss=9 | 贤者之石,毒蜥,研钵与研杵,手术刀,蛇怪之牙
  9. RR=186 anchor_m=170 Swiss=8 | 毒液注射,研钵与研杵,手术刀,蛇怪之牙,拆信刀
  10. RR=180 anchor_m=175 Swiss=8 | 蛇怪之牙,研钵与研杵,手术刀,地刺陷阱,黑玫瑰
  11. RR=180 anchor_m=171 Swiss=9 | 蛇怪之牙,猫头鹰奥利,研钵与研杵,手术刀,地刺陷阱
  12. RR=182 anchor_m=165 Swiss=8 | 地刺陷阱,毒液注射,研钵与研杵,手术刀,蛇怪之牙
  13. RR=179 anchor_m=170 Swiss=8 | 毒蜥,蛇怪之牙,研钵与研杵,手术刀,地刺陷阱
  14. RR=184 anchor_m=158 Swiss=8 | 拆信刀,研钵与研杵,手术刀,嗅盐,熏香
  15. RR=178 anchor_m=164 Swiss=8 | 蛇怪之牙,研钵与研杵,手术刀,地刺陷阱,翡翠
  16. RR=173 anchor_m=170 Swiss=8 | 黑曜石碎片,研钵与研杵,手术刀,蛇怪之牙,拆信刀
  17. RR=171 anchor_m=166 Swiss=8 | 研钵与研杵,手术刀,云精灵,蛇怪之牙,拆信刀
  18. RR=189 anchor_m=129 Swiss=8 | 蛇怪之牙,研钵与研杵,手术刀,地刺陷阱,鳄鱼眼泪
  19. RR=169 anchor_m=163 Swiss=8 | 毒液注射,黑曜石碎片,研钵与研杵,手术刀,蛇怪之牙
  20. RR=170 anchor_m=160 Swiss=8 | 香炉,蛇怪之牙,研钵与研杵,手术刀,地刺陷阱

[GDF] seeds: 硫磺
[GDF] size=6 top 20
  1. RR=278 anchor_m=33 Swiss=10 | 彩虹药水,硫磺,香炉,红宝石,瓶装闪电,鳄鱼眼泪
