# gdf_enumerate_anchor_top1: full Top-K per anchor (last size tier only)
[GDF] seeds: 三花
[GDF] size=10 top 20
  1. RR=233 anchor_m=135 Swiss=9 | 舱底蠕虫,三花,鲨齿爪,手斧,飞鱼,淬锋钢,弹簧刀,马龙鱼
  5. RR=193 anchor_m=182 Swiss=10 | 珍珠,鱼饵,淬锋钢,飞鱼,迷幻蝠鲼,水母,雪怪蟹,毒须鲶,绵鳚,水草
  6. RR=192 anchor_m=177 Swiss=9 | 独角鲸,鱼饵,海螺壳,淬锋钢,珍珠,水母,雪怪蟹,毒须鲶,绵鳚,水草
  7. RR=194 anchor_m=170 Swiss=8 | 珍珠,海螺壳,淬锋钢,飞鱼,迷幻蝠鲼,水母,雪怪蟹,毒须鲶,绵鳚,水草
  8. RR=192 anchor_m=171 Swiss=8 | 淬锋钢,鱼饵,飞鱼,迷幻蝠鲼,水母,雪怪蟹,毒须鲶,绵鳚,水草,珊瑚
  9. RR=189 anchor_m=176 Swiss=9 | 鱼饵,海螺壳,独角鲸,迷幻蝠鲼,水母,雪怪蟹,毒须鲶,绵鳚,水草,淬锋钢
  10. RR=183 anchor_m=183 Swiss=9 | 沙滩充气球,打火机,鱼饵,珍珠,水母,雪怪蟹,毒须鲶,绵鳚,水草
  11. RR=185 anchor_m=169 Swiss=8 | 海螺壳,淬锋钢,飞鱼,迷幻蝠鲼,水母,雪怪蟹,毒须鲶,绵鳚,水草,珊瑚
  12. RR=181 anchor_m=173 Swiss=8 | 海螺壳,淬锋钢,飞鱼,迷幻蝠鲼,水母,雪怪蟹,毒须鲶,绵鳚,水草,食人鱼
  13. RR=178 anchor_m=173 Swiss=8 | 沙滩充气球,鱼饵,海螺壳,珍珠,水母,雪怪蟹,毒须鲶,绵鳚,水草
  14. RR=172 anchor_m=164 Swiss=9 | 淬锋钢,飞鱼,迷幻蝠鲼,水母,雪怪蟹,毒须鲶,绵鳚,水草,鱼饵,打火机
  15. RR=172 anchor_m=163 Swiss=9 | 食人鱼,迷幻蝠鲼,水母,雪怪蟹,毒须鲶,绵鳚,水草,珊瑚,海螺壳,鱼饵
  16. RR=173 anchor_m=159 Swiss=8 | 海螺壳,淬锋钢,珊瑚,鱼饵,珍珠,水母,雪怪蟹,毒须鲶,绵鳚,水草
  17. RR=167 anchor_m=165 Swiss=8 | 鱼饵,海螺壳,皮皮虾,鹦鹉皮特,迷幻蝠鲼,水母,雪怪蟹,毒须鲶,绵鳚,水草
  18. RR=165 anchor_m=160 Swiss=8 | 淬锋钢,飞鱼,迷幻蝠鲼,水母,雪怪蟹,毒须鲶,绵鳚,水草,食人鱼,珊瑚
  19. RR=166 anchor_m=155 Swiss=8 | 鱼饵,海螺壳,独角鲸,迷幻蝠鲼,水母,雪怪蟹,毒须鲶,绵鳚,水草,珍珠
  20. RR=160 anchor_m=155 Swiss=8 | 珍珠,鱼饵,海螺壳,鹦鹉皮特,迷幻蝠鲼,水母,雪怪蟹,毒须鲶,绵鳚,水草

[GDF] seeds: 水母
[GDF] size=10 top 20
  1. RR=257 anchor_m=17 Swiss=9 | 舱底蠕虫,淬锋钢,飞鱼,鲨齿爪,水母,弹簧刀,马龙鱼,水草
  2. RR=201 anchor_m=181 Swiss=9 | 水草,绵鳚,毒须鲶,雪怪蟹,水母,迷幻蝠鲼,皮皮虾,珊瑚,海螺壳,鱼饵
  3. RR=235 anchor_m=71 Swiss=9 | 淬锋钢,飞鱼,手斧,鲨齿爪,独角鲸,水母,马龙鱼,水草
  4. RR=180 anchor_m=160 Swiss=8 | 水草,绵鳚,毒须鲶,雪怪蟹,水母,迷幻蝠鲼,皮皮虾,海螺壳,珍珠,鱼饵
  5. RR=238 anchor_m=37 Swiss=9 | 淬锋钢,飞鱼,鲨齿爪,水母,独角鲸,弹簧刀,马龙鱼,水草
  6. RR=244 anchor_m=22 Swiss=10 | 舱底蠕虫,淬锋钢,飞鱼,手斧,鲨齿爪,水母,马龙鱼,水草
  7. RR=228 anchor_m=54 Swiss=8 | 淬锋钢,飞鱼,鲨齿爪,手斧,水母,马龙鱼,水草,珊瑚
  8. RR=233 anchor_m=16 Swiss=9 | 淬锋钢,飞鱼,鲨齿爪,手斧,水母,弹簧刀,马龙鱼,水草
  9. RR=158 anchor_m=158 Swiss=8 | 水草,绵鳚,毒须鲶,雪怪蟹,水母,迷幻蝠鲼,皮皮虾,打火机,珍珠,海螺壳
  10. RR=223 anchor_m=26 Swiss=9 | 舱底蠕虫,独角鲸,淬锋钢,飞鱼,鲨齿爪,水母,马龙鱼,水草
  11. RR=185 anchor_m=80 Swiss=8 | 淬锋钢,飞鱼,鲨齿爪,水母,海螺壳,绵鳚,马龙鱼,水草
  12. RR=152 anchor_m=145 Swiss=8 | 珊瑚,水草,绵鳚,毒须鲶,雪怪蟹,水母,迷幻蝠鲼,皮皮虾,海螺壳,珍珠
  13. RR=211 anchor_m=13 Swiss=8 | 淬锋钢,飞鱼,鲨齿爪,水母,弹簧刀,马龙鱼,水草,珊瑚
  14. RR=195 anchor_m=40 Swiss=8 | 淬锋钢,飞鱼,鲨齿爪,水母,独角鲸,绵鳚,马龙鱼,水草
  15. RR=145 anchor_m=139 Swiss=8 | 水草,绵鳚,毒须鲶,雪怪蟹,水母,珍珠,珊瑚,海螺壳,鱼饵,龙涎香
  16. RR=148 anchor_m=133 Swiss=7 | 水草,绵鳚,毒须鲶,雪怪蟹,水母,珍珠,食人鱼,珊瑚,海螺壳,鱼饵
  17. RR=175 anchor_m=71 Swiss=8 | 淬锋钢,飞鱼,鲨齿爪,水母,海螺壳,弹簧刀,马龙鱼,水草
  18. RR=231 anchor_m=-43 Swiss=9 | 舱底蠕虫,淬锋钢,飞鱼,鲨齿爪,水母,绵鳚,马龙鱼,水草
  19. RR=178 anchor_m=56 Swiss=9 | 淬锋钢,飞鱼,鲨齿爪,独角鲸,水母,马龙鱼,水草,珊瑚
  20. RR=187 anchor_m=34 Swiss=8 | 淬锋钢,飞鱼,鲨齿爪,水母,藏刃匕首,绵鳚,马龙鱼,水草

[GDF] seeds: 水草
[GDF] size=10 top 20
  1. RR=246 anchor_m=121 Swiss=10 | 舱底蠕虫,手斧,淬锋钢,飞鱼,鲨齿爪,绵鳚,马龙鱼,水草
  2. RR=238 anchor_m=235 Swiss=9 | 水草,独角鲸,淬锋钢,飞鱼,鲨齿爪,绵鳚,马龙鱼,珊瑚
  3. RR=218 anchor_m=193 Swiss=8 | 水草,淬锋钢,飞鱼,弹簧刀,鲨齿爪,绵鳚,马龙鱼,珊瑚
  4. RR=222 anchor_m=184 Swiss=9 | 海螺壳,水草,淬锋钢,飞鱼,鲨齿爪,绵鳚,马龙鱼,珊瑚
  5. RR=221 anchor_m=180 Swiss=8 | 水草,淬锋钢,飞鱼,藏刃匕首,鲨齿爪,绵鳚,马龙鱼,珊瑚
  6. RR=205 anchor_m=182 Swiss=9 | 水草,淬锋钢,飞鱼,舱底蠕虫,鲨齿爪,绵鳚,马龙鱼,珊瑚
  7. RR=215 anchor_m=156 Swiss=8 | 飞鱼,手斧,淬锋钢,鲨齿爪,绵鳚,马龙鱼,水草,珊瑚
  8. RR=198 anchor_m=174 Swiss=9 | 水草,淬锋钢,飞鱼,抓钩,鲨齿爪,绵鳚,马龙鱼,珊瑚
  9. RR=237 anchor_m=88 Swiss=8 | 燃烧响炮,飞鱼,手斧,淬锋钢,鲨齿爪,绵鳚,马龙鱼,水草
  10. RR=195 anchor_m=169 Swiss=8 | 水草,淬锋钢,飞鱼,刺刀,鲨齿爪,绵鳚,马龙鱼,珊瑚
  11. RR=186 anchor_m=173 Swiss=9 | 水草,淬锋钢,飞鱼,迷你弯刀,鲨齿爪,绵鳚,马龙鱼,珊瑚
  12. RR=173 anchor_m=165 Swiss=8 | 水草,淬锋钢,飞鱼,三花,鲨齿爪,绵鳚,马龙鱼,珊瑚
  13. RR=177 anchor_m=153 Swiss=9 | 水草,淬锋钢,飞鱼,流星索,鲨齿爪,绵鳚,马龙鱼,珊瑚
  14. RR=177 anchor_m=137 Swiss=7 | 海螺壳,飞鱼,淬锋钢,藏刃匕首,鲨齿爪,绵鳚,马龙鱼,水草
  15. RR=214 anchor_m=59 Swiss=8 | 鲨齿爪,手斧,靴里剑,水草,淬锋钢,飞鱼,弹簧刀,马龙鱼
  16. RR=185 anchor_m=117 Swiss=9 | 迷你弯刀,飞鱼,手斧,淬锋钢,鲨齿爪,绵鳚,马龙鱼,水草
  17. RR=194 anchor_m=92 Swiss=8 | 舱底蠕虫,手斧,淬锋钢,藏刃匕首,鲨齿爪,绵鳚,马龙鱼,水草
  18. RR=202 anchor_m=68 Swiss=8 | 独角鲸,鲨齿爪,水草,手斧,淬锋钢,飞鱼,弹簧刀,马龙鱼
  19. RR=164 anchor_m=143 Swiss=8 | 水草,淬锋钢,飞鱼,皮皮虾,鲨齿爪,绵鳚,马龙鱼,珊瑚
  20. RR=175 anchor_m=112 Swiss=8 | 飞鱼,左轮手枪,手斧,淬锋钢,鲨齿爪,绵鳚,马龙鱼,水草

[GDF] seeds: 沙滩充气球
[GDF] size=10 top 20
  1. RR=232 anchor_m=197 Swiss=9 | 手斧,鲨齿爪,弹簧刀,马龙鱼,淬锋钢,毒须鲶,沙滩充气球
  2. RR=223 anchor_m=196 Swiss=10 | 舱底蠕虫,手斧,藏刃匕首,弹簧刀,马龙鱼,淬锋钢,毒须鲶,沙滩充气球
  3. RR=222 anchor_m=196 Swiss=8 | 鲨齿爪,藏刃匕首,弹簧刀,马龙鱼,淬锋钢,毒须鲶,沙滩充气球
  4. RR=219 anchor_m=181 Swiss=9 | 鲨齿爪,左轮手枪,弹簧刀,马龙鱼,淬锋钢,毒须鲶,沙滩充气球
  5. RR=211 anchor_m=194 Swiss=9 | 钓鱼竿,马龙鱼,珊瑚,淬锋钢,水草,毒须鲶,沙滩充气球
  6. RR=204 anchor_m=181 Swiss=8 | 靴里剑,鲨齿爪,弹簧刀,马龙鱼,淬锋钢,毒须鲶,沙滩充气球
  7. RR=201 anchor_m=180 Swiss=8 | 海螺壳,钓鱼竿,毒须鲶,绵鳚,沙滩充气球,珊瑚,鱼饵,水草
  8. RR=201 anchor_m=172 Swiss=9 | 鲨齿爪,弹簧刀,马龙鱼,珊瑚,淬锋钢,毒须鲶,沙滩充气球
  9. RR=204 anchor_m=164 Swiss=8 | 鲨齿爪,舱底蠕虫,弹簧刀,马龙鱼,淬锋钢,毒须鲶,沙滩充气球
  10. RR=192 anchor_m=185 Swiss=8 | 手斧,藏刃匕首,弹簧刀,马龙鱼,水草,淬锋钢,毒须鲶,沙滩充气球
  11. RR=193 anchor_m=179 Swiss=8 | 舱底蠕虫,手斧,弹簧刀,马龙鱼,淬锋钢,水草,毒须鲶,沙滩充气球
  12. RR=192 anchor_m=177 Swiss=8 | 舱底蠕虫,手斧,左轮手枪,弹簧刀,马龙鱼,淬锋钢,毒须鲶,沙滩充气球
  13. RR=194 anchor_m=166 Swiss=8 | 飞鱼,弹簧刀,马龙鱼,淬锋钢,珊瑚,水草,毒须鲶,沙滩充气球
  14. RR=177 anchor_m=168 Swiss=8 | 舱底蠕虫,水草,藏刃匕首,弹簧刀,马龙鱼,淬锋钢,毒须鲶,沙滩充气球
  15. RR=176 anchor_m=168 Swiss=8 | 独角鲸,弹簧刀,马龙鱼,淬锋钢,珊瑚,水草,毒须鲶,沙滩充气球
  16. RR=179 anchor_m=159 Swiss=8 | 舱底蠕虫,手斧,靴里剑,弹簧刀,马龙鱼,淬锋钢,毒须鲶,沙滩充气球
  17. RR=179 anchor_m=159 Swiss=8 | 舱底蠕虫,手斧,迷你弯刀,弹簧刀,马龙鱼,淬锋钢,毒须鲶,沙滩充气球
  18. RR=167 anchor_m=167 Swiss=9 | 钓鱼竿,马龙鱼,弹簧刀,淬锋钢,水草,毒须鲶,沙滩充气球
  19. RR=168 anchor_m=160 Swiss=8 | 舱底蠕虫,弹簧刀,马龙鱼,淬锋钢,珊瑚,水草,毒须鲶,沙滩充气球
  20. RR=164 anchor_m=153 Swiss=8 | 手斧,弹簧刀,马龙鱼,淬锋钢,珊瑚,水草,毒须鲶,沙滩充气球

[GDF] seeds: 流星索
[GDF] size=10 top 20
  1. RR=212 anchor_m=94 Swiss=8 | 珊瑚,火药角,手雷,绵鳚,步枪,填弹杆,流星索,淬锋钢
  2. RR=205 anchor_m=194 Swiss=8 | 舱底蠕虫,手斧,火药角,流星索,鲨齿爪,淬锋钢,葡萄弹,马龙鱼
  3. RR=199 anchor_m=199 Swiss=10 | 马龙鱼,葡萄弹,火药角,流星索,鲨齿爪,手斧,飞鱼,淬锋钢
  4. RR=199 anchor_m=199 Swiss=8 | 火药角,流星索,鲨齿爪,手斧,淬锋钢,葡萄弹,弹簧刀,马龙鱼
  5. RR=182 anchor_m=182 Swiss=8 | 火药角,流星索,鲨齿爪,淬锋钢,手斧,葡萄弹,靴里剑,马龙鱼
  6. RR=202 anchor_m=138 Swiss=9 | 葡萄弹,珊瑚,手斧,火药角,手雷,步枪,填弹杆,流星索
  7. RR=180 anchor_m=180 Swiss=8 | 火药角,流星索,淬锋钢,珊瑚,葡萄弹,鲨齿爪,绵鳚,马龙鱼
  8. RR=203 anchor_m=110 Swiss=9 | 珊瑚,手斧,火药角,手雷,绵鳚,步枪,填弹杆,流星索
  9. RR=175 anchor_m=163 Swiss=9 | 马龙鱼,弹簧刀,火药角,流星索,手斧,飞鱼,鲨齿爪,淬锋钢
  10. RR=182 anchor_m=138 Swiss=9 | 珊瑚,火药角,手雷,皮皮虾,绵鳚,步枪,填弹杆,流星索
  11. RR=200 anchor_m=86 Swiss=8 | 葡萄弹,珊瑚,淬锋钢,火药角,手雷,步枪,填弹杆,流星索
  12. RR=186 anchor_m=104 Swiss=9 | 手斧,珊瑚,火药角,手雷,弹簧刀,步枪,填弹杆,流星索
  13. RR=177 anchor_m=121 Swiss=9 | 珊瑚护甲,珊瑚,火药角,手雷,步枪,填弹杆,流星索
  14. RR=184 anchor_m=107 Swiss=8 | 葡萄弹,珊瑚,火药角,手雷,绵鳚,步枪,填弹杆,流星索
  15. RR=158 anchor_m=158 Swiss=8 | 火药角,流星索,淬锋钢,葡萄弹,打火机,鲨齿爪,绵鳚,马龙鱼
  16. RR=182 anchor_m=107 Swiss=8 | 燃烧响炮,珊瑚,火药角,手雷,绵鳚,步枪,填弹杆,流星索
  17. RR=180 anchor_m=109 Swiss=7 | 靴里剑,珊瑚,火药角,手雷,绵鳚,步枪,填弹杆,流星索
  18. RR=160 anchor_m=144 Swiss=8 | 火药角,流星索,淬锋钢,葡萄弹,鲨齿爪,绵鳚,马龙鱼,燃烧响炮
  19. RR=161 anchor_m=131 Swiss=8 | 珊瑚,火药角,迷幻蝠鲼,皮皮虾,绵鳚,步枪,填弹杆,流星索
  20. RR=182 anchor_m=88 Swiss=9 | 马龙鱼,弹簧刀,葡萄弹,火药角,手雷,流星索,手斧,飞鱼,淬锋钢

[GDF] seeds: 海底热泉
[GDF] size=10 top 20
  1. RR=293 anchor_m=293 Swiss=10 | 燃烧响炮,打火机,皮皮虾,迷幻蝠鲼,鹦鹉皮特,绵鳚,海底热泉,珊瑚,水草
  2. RR=258 anchor_m=258 Swiss=9 | 燃烧响炮,打火机,绵鳚,海底热泉,珊瑚,水草,飞鱼,迷幻蝠鲼,皮皮虾
  3. RR=249 anchor_m=249 Swiss=9 | 燃烧响炮,打火机,绵鳚,海底热泉,珊瑚,水草,食人鱼,迷幻蝠鲼,皮皮虾
  4. RR=243 anchor_m=243 Swiss=8 | 燃烧响炮,打火机,绵鳚,海底热泉,珊瑚,流星索,水草,迷幻蝠鲼,皮皮虾
  5. RR=232 anchor_m=232 Swiss=9 | 燃烧响炮,打火机,绵鳚,海底热泉,珊瑚,水草,雪怪蟹,迷幻蝠鲼,皮皮虾
  6. RR=227 anchor_m=227 Swiss=9 | 燃烧响炮,打火机,绵鳚,海底热泉,珊瑚,水草,独角鲸,迷幻蝠鲼,皮皮虾
  7. RR=212 anchor_m=212 Swiss=8 | 燃烧响炮,海螺壳,打火机,绵鳚,海底热泉,珊瑚,水草,迷幻蝠鲼,皮皮虾
  8. RR=210 anchor_m=210 Swiss=8 | 淬锋钢,燃烧响炮,打火机,迷幻蝠鲼,鹦鹉皮特,绵鳚,海底热泉,珊瑚,水草
  9. RR=205 anchor_m=205 Swiss=8 | 燃烧响炮,打火机,绵鳚,海底热泉,珊瑚,水草,毒须鲶,迷幻蝠鲼,皮皮虾
  10. RR=204 anchor_m=204 Swiss=9 | 燃烧响炮,打火机,绵鳚,海底热泉,珊瑚,水草,水母,迷幻蝠鲼,皮皮虾
  11. RR=204 anchor_m=204 Swiss=8 | 燃烧响炮,淬锋钢,打火机,飞鱼,鹦鹉皮特,绵鳚,海底热泉,珊瑚,水草
  12. RR=200 anchor_m=200 Swiss=8 | 打火机,绵鳚,海底热泉,木桶,淬锋钢,燃烧响炮,珊瑚,水草
  13. RR=200 anchor_m=200 Swiss=8 | 燃烧响炮,打火机,流星索,皮皮虾,鹦鹉皮特,绵鳚,海底热泉,珊瑚,水草
  14. RR=197 anchor_m=196 Swiss=8 | 火药角,燃烧响炮,木桶,打火机,绵鳚,海底热泉,珊瑚,水草
  15. RR=194 anchor_m=182 Swiss=8 | 打火机,毒须鲶,绵鳚,海底热泉,珊瑚,珍珠,鱼饵,海螺壳,水草
  16. RR=188 anchor_m=188 Swiss=8 | 燃烧响炮,打火机,绵鳚,海底热泉,珊瑚,抓钩,水草,迷幻蝠鲼,皮皮虾
  17. RR=187 anchor_m=187 Swiss=8 | 燃烧响炮,打火机,绵鳚,海底热泉,珊瑚,水草,宠物石,迷幻蝠鲼,皮皮虾
  18. RR=201 anchor_m=152 Swiss=8 | 打火机,雪怪蟹,毒须鲶,绵鳚,海底热泉,水草,海螺壳,珊瑚,鱼饵
  19. RR=173 anchor_m=173 Swiss=8 | 海螺壳,打火机,绵鳚,海底热泉,珊瑚,淬锋钢,燃烧响炮,鱼饵,水草
  20. RR=172 anchor_m=170 Swiss=8 | 打火机,海螺壳,雪怪蟹,毒须鲶,绵鳚,海底热泉,珍珠,珊瑚,水草

[GDF] seeds: 海螺壳
[GDF] size=10 top 20
  1. RR=280 anchor_m=122 Swiss=10 | 水草,飞鱼,手斧,淬锋钢,鲨齿爪,绵鳚,马龙鱼,海螺壳
  2. RR=254 anchor_m=184 Swiss=9 | 水草,飞鱼,淬锋钢,鲨齿爪,绵鳚,马龙鱼,海螺壳,珊瑚
  3. RR=242 anchor_m=163 Swiss=9 | 马龙鱼,绵鳚,鲨齿爪,海螺壳,淬锋钢,飞鱼,水草,独角鲸
  4. RR=233 anchor_m=161 Swiss=9 | 水草,飞鱼,淬锋钢,食人鱼,鲨齿爪,绵鳚,马龙鱼,海螺壳
  5. RR=231 anchor_m=148 Swiss=8 | 水草,飞鱼,手斧,淬锋钢,狼筅,绵鳚,马龙鱼,海螺壳
  6. RR=227 anchor_m=146 Swiss=9 | 水草,藏刃匕首,飞鱼,淬锋钢,鲨齿爪,绵鳚,马龙鱼,海螺壳
  7. RR=224 anchor_m=152 Swiss=9 | 水草,飞鱼,靴里剑,淬锋钢,鲨齿爪,绵鳚,马龙鱼,海螺壳
  8. RR=229 anchor_m=141 Swiss=8 | 马龙鱼,绵鳚,鲨齿爪,手斧,海螺壳,淬锋钢,水草,独角鲸
  9. RR=205 anchor_m=156 Swiss=9 | 水草,飞鱼,淬锋钢,珍珠,鲨齿爪,绵鳚,马龙鱼,海螺壳
  10. RR=210 anchor_m=145 Swiss=8 | 水草,飞鱼,淬锋钢,皮皮虾,鲨齿爪,绵鳚,马龙鱼,海螺壳
  11. RR=206 anchor_m=137 Swiss=8 | 水草,飞鱼,左轮手枪,淬锋钢,鲨齿爪,绵鳚,马龙鱼,海螺壳
  12. RR=204 anchor_m=135 Swiss=8 | 水草,飞鱼,刺刀,淬锋钢,鲨齿爪,绵鳚,马龙鱼,海螺壳
  13. RR=202 anchor_m=127 Swiss=8 | 水草,飞鱼,弹簧刀,淬锋钢,鲨齿爪,绵鳚,马龙鱼,海螺壳
  14. RR=246 anchor_m=34 Swiss=8 | 珊瑚,淬锋钢,飞鱼,手斧,鲨齿爪,海螺壳,绵鳚,马龙鱼
  15. RR=180 anchor_m=156 Swiss=8 | 水草,飞鱼,淬锋钢,鲨齿爪,手斧,珊瑚,马龙鱼,海螺壳
  16. RR=174 anchor_m=167 Swiss=8 | 水草,飞鱼,狼筅,淬锋钢,绵鳚,马龙鱼,海螺壳,珊瑚
  17. RR=176 anchor_m=153 Swiss=8 | 水草,飞鱼,淬锋钢,鲨齿爪,弹簧刀,马龙鱼,珊瑚,海螺壳
  18. RR=209 anchor_m=83 Swiss=8 | 水草,飞鱼,淬锋钢,舱底蠕虫,鲨齿爪,绵鳚,马龙鱼,海螺壳
  19. RR=190 anchor_m=116 Swiss=9 | 水草,飞鱼,三花,淬锋钢,鲨齿爪,绵鳚,马龙鱼,海螺壳
  20. RR=167 anchor_m=162 Swiss=8 | 马龙鱼,绵鳚,鲨齿爪,珊瑚,海螺壳,淬锋钢,水草,独角鲸

[GDF] seeds: 淬锋钢
[GDF] size=10 top 20
  1. RR=258 anchor_m=239 Swiss=10 | 珊瑚,马龙鱼,弹簧刀,飞鱼,鲨齿爪,淬锋钢,手斧,舱底蠕虫
  2. RR=235 anchor_m=230 Swiss=9 | 水草,马龙鱼,弹簧刀,手斧,鲨齿爪,飞鱼,淬锋钢,舱底蠕虫
  3. RR=231 anchor_m=228 Swiss=9 | 珊瑚,马龙鱼,弹簧刀,靴里剑,鲨齿爪,手斧,飞鱼,淬锋钢
  4. RR=228 anchor_m=217 Swiss=8 | 珊瑚,马龙鱼,弹簧刀,左轮手枪,鲨齿爪,手斧,飞鱼,淬锋钢
  5. RR=226 anchor_m=208 Swiss=9 | 珊瑚,淬锋钢,马龙鱼,弹簧刀,左轮手枪,手斧,鲨齿爪,舱底蠕虫
  6. RR=220 anchor_m=210 Swiss=8 | 珊瑚,淬锋钢,马龙鱼,弹簧刀,独角鲸,手斧,鲨齿爪,飞鱼
  7. RR=212 anchor_m=208 Swiss=8 | 珊瑚,马龙鱼,弹簧刀,鲨齿爪,手斧,飞鱼,淬锋钢,迷你弯刀
  8. RR=202 anchor_m=193 Swiss=9 | 珊瑚,马龙鱼,弹簧刀,抓钩,鲨齿爪,手斧,飞鱼,淬锋钢
  9. RR=199 anchor_m=195 Swiss=8 | 珊瑚,马龙鱼,弹簧刀,三花,鲨齿爪,手斧,飞鱼,淬锋钢
  10. RR=198 anchor_m=191 Swiss=8 | 珊瑚,马龙鱼,弹簧刀,鲨齿爪,手斧,流星索,飞鱼,淬锋钢
  11. RR=203 anchor_m=178 Swiss=8 | 珊瑚,淬锋钢,马龙鱼,弹簧刀,左轮手枪,鲨齿爪,手斧,葡萄弹
  12. RR=194 anchor_m=191 Swiss=8 | 珊瑚,马龙鱼,弹簧刀,水草,鲨齿爪,手斧,飞鱼,淬锋钢
  13. RR=197 anchor_m=177 Swiss=9 | 珊瑚,淬锋钢,马龙鱼,弹簧刀,独角鲸,手斧,鲨齿爪,舱底蠕虫
  14. RR=184 anchor_m=181 Swiss=7 | 马龙鱼,弹簧刀,手斧,靴里剑,鲨齿爪,飞鱼,淬锋钢,迷你弯刀
  15. RR=181 anchor_m=173 Swiss=8 | 珊瑚,淬锋钢,马龙鱼,弹簧刀,鲨齿爪,手斧,靴里剑,舱底蠕虫
  16. RR=185 anchor_m=163 Swiss=8 | 珊瑚,淬锋钢,马龙鱼,弹簧刀,藏刃匕首,手斧,鲨齿爪,舱底蠕虫
  17. RR=175 anchor_m=173 Swiss=8 | 珊瑚,淬锋钢,马龙鱼,弹簧刀,飞鱼,鲨齿爪,靴里剑,舱底蠕虫
  18. RR=178 anchor_m=162 Swiss=8 | 手斧,马龙鱼,弹簧刀,左轮手枪,鲨齿爪,飞鱼,淬锋钢,舱底蠕虫
  19. RR=171 anchor_m=169 Swiss=9 | 珊瑚,马龙鱼,弹簧刀,鲨齿爪,手斧,飞鱼,刺刀,淬锋钢
  20. RR=170 anchor_m=164 Swiss=8 | 马龙鱼,弹簧刀,手斧,靴里剑,鲨齿爪,飞鱼,淬锋钢,三花

[GDF] seeds: 渔网
[GDF] size=10 top 20
  1. RR=270 anchor_m=34 Swiss=9 | 渔网,马龙鱼,弹簧刀,飞鱼,淬锋钢,鲨齿爪,舱底蠕虫
  2. RR=256 anchor_m=67 Swiss=9 | 渔网,马龙鱼,弹簧刀,手斧,鲨齿爪,飞鱼,淬锋钢
  3. RR=243 anchor_m=45 Swiss=8 | 水草,马龙鱼,渔网,鲨齿爪,飞鱼,淬锋钢,舱底蠕虫
  4. RR=231 anchor_m=38 Swiss=10 | 珊瑚,马龙鱼,弹簧刀,渔网,鲨齿爪,飞鱼,淬锋钢
  5. RR=231 anchor_m=37 Swiss=9 | 珊瑚,马龙鱼,渔网,鲨齿爪,飞鱼,淬锋钢,舱底蠕虫
  6. RR=215 anchor_m=63 Swiss=8 | 海螺壳,马龙鱼,渔网,鲨齿爪,飞鱼,淬锋钢,舱底蠕虫
  7. RR=201 anchor_m=45 Swiss=8 | 渔网,马龙鱼,弹簧刀,飞鱼,淬锋钢,流星索,手斧,舱底蠕虫
  8. RR=200 anchor_m=44 Swiss=9 | 马龙鱼,靴里剑,渔网,手斧,鲨齿爪,飞鱼,淬锋钢
  9. RR=202 anchor_m=31 Swiss=8 | 马龙鱼,绵鳚,珊瑚,渔网,鲨齿爪,飞鱼,淬锋钢
  10. RR=182 anchor_m=68 Swiss=8 | 渔网,马龙鱼,弹簧刀,飞鱼,淬锋钢,鲨齿爪,三花
  11. RR=170 anchor_m=91 Swiss=8 | 渔网,马龙鱼,弹簧刀,武士刀,手斧,飞鱼,淬锋钢
  12. RR=199 anchor_m=31 Swiss=8 | 马龙鱼,刺刀,渔网,鲨齿爪,飞鱼,淬锋钢,舱底蠕虫
  13. RR=187 anchor_m=44 Swiss=8 | 马龙鱼,弹簧刀,藏刃匕首,渔网,鲨齿爪,飞鱼,淬锋钢
  14. RR=182 anchor_m=47 Swiss=9 | 马龙鱼,弹簧刀,独角鲸,渔网,鲨齿爪,飞鱼,淬锋钢
  15. RR=165 anchor_m=80 Swiss=7 | 渔网,水草,珊瑚,马龙鱼,弹簧刀,手斧,飞鱼,淬锋钢
  16. RR=184 anchor_m=40 Swiss=8 | 渔网,马龙鱼,弹簧刀,飞鱼,淬锋钢,毒须鲶,手斧,舱底蠕虫
  17. RR=189 anchor_m=29 Swiss=9 | 马龙鱼,渔网,鲨齿爪,飞鱼,淬锋钢,迷你弯刀,舱底蠕虫
  18. RR=174 anchor_m=47 Swiss=8 | 马龙鱼,渔网,手斧,鲨齿爪,飞鱼,淬锋钢,独角鲸
  19. RR=178 anchor_m=38 Swiss=8 | 马龙鱼,渔网,珊瑚,手斧,鲨齿爪,飞鱼,淬锋钢
  20. RR=186 anchor_m=18 Swiss=8 | 马龙鱼,渔网,鲨齿爪,左轮手枪,飞鱼,淬锋钢,舱底蠕虫

[GDF] seeds: 温馨海湾
[GDF] size=10 top 20
  1. RR=288 anchor_m=55 Swiss=10 | 水草,淬锋钢,马龙鱼,弹簧刀,飞鱼,温馨海湾,珊瑚
  2. RR=267 anchor_m=104 Swiss=9 | 马龙鱼,鲨齿爪,淬锋钢,飞鱼,温馨海湾,水草
  3. RR=228 anchor_m=180 Swiss=9 | 鱼饵,海螺壳,水草,绵鳚,毒须鲶,雪怪蟹,水母,温馨海湾
  4. RR=246 anchor_m=144 Swiss=9 | 水草,绵鳚,毒须鲶,雪怪蟹,水母,珍珠,温馨海湾,海螺壳
