# gdf_enumerate_anchor_top1: full Top-K per anchor (last size tier only)
[GDF] seeds: 三花
[GDF] size=10 top 20
  1. RR=278 anchor_m=6 Swiss=11 | 燃烧响炮,淬锋钢,燃烧子弹,打火机,篝火,绵鳚,加速烙刀,三花
  2. RR=255 anchor_m=229 Swiss=11 | 燃烧响炮,珊瑚,加速烙刀,绵鳚,打火机,火炮,手斧,枪套
  3. RR=257 anchor_m=222 Swiss=10 | 燃烧响炮,珊瑚,加速烙刀,绵鳚,打火机,火炮,理查森先生,枪套
  4. RR=272 anchor_m=170 Swiss=11 | 燃烧响炮,枪套,珊瑚,加速烙刀,绵鳚,潜水配重,打火机,火炮
  5. RR=236 anchor_m=222 Swiss=11 | 流星索,燃烧响炮,珊瑚,加速烙刀,绵鳚,打火机,火炮,枪套
  6. RR=230 anchor_m=211 Swiss=10 | 燃烧响炮,珊瑚,加速烙刀,绵鳚,打火机,火炮,枪套,靴里剑
  7. RR=230 anchor_m=200 Swiss=10 | 燃烧响炮,珊瑚,加速烙刀,绵鳚,打火机,火炮,枪套,小冰镐
  8. RR=225 anchor_m=206 Swiss=10 | 燃烧响炮,盐钳海盗,珊瑚,加速烙刀,绵鳚,打火机,火炮,枪套
  9. RR=236 anchor_m=176 Swiss=10 | 枪套,藏刃匕首,燃烧响炮,珊瑚,加速烙刀,绵鳚,打火机,火炮
  10. RR=214 anchor_m=214 Swiss=10 | 燃烧响炮,淬锋钢,鸦巢,火药角,火炮,篝火
  11. RR=213 anchor_m=195 Swiss=10 | 燃烧响炮,海螺壳,珊瑚,加速烙刀,绵鳚,打火机,火炮,枪套
  12. RR=209 anchor_m=195 Swiss=10 | 燃烧响炮,珊瑚,加速烙刀,绵鳚,打火机,手雷,火炮,枪套
  13. RR=209 anchor_m=194 Swiss=10 | 燃烧响炮,珊瑚,加速烙刀,绵鳚,打火机,火炮,枪套,淬锋钢
  14. RR=214 anchor_m=181 Swiss=11 | 烈酒杯,燃烧响炮,珊瑚,加速烙刀,绵鳚,打火机,火炮,枪套
  15. RR=207 anchor_m=161 Swiss=11 | 燃烧响炮,珊瑚,加速烙刀,绵鳚,打火机,蔻森娜纹章,火炮,枪套
  16. RR=203 anchor_m=168 Swiss=10 | 枪套,燃烧响炮,珊瑚,加速烙刀,绵鳚,打火机,燃烧子弹,火炮
  17. RR=190 anchor_m=172 Swiss=10 | 燃烧响炮,珊瑚,加速烙刀,绵鳚,打火机,拍立蚌,火炮,枪套
  18. RR=178 anchor_m=162 Swiss=10 | 燃烧响炮,珊瑚,珍珠,加速烙刀,绵鳚,打火机,火炮,枪套
  19. RR=176 anchor_m=163 Swiss=10 | 燃烧响炮,珊瑚,水母,加速烙刀,绵鳚,打火机,火炮,枪套
  20. RR=174 anchor_m=155 Swiss=10 | 燃烧响炮,珊瑚,三花,加速烙刀,绵鳚,打火机,火炮,枪套

[GDF] seeds: 火药角
[GDF] size=10 top 20
  1. RR=217 anchor_m=187 Swiss=9 | 火药角,烈酒杯,皮皮虾,枪套,十手,拍立蚌,盐钳海盗,绵鳚,大钢弩
  2. RR=192 anchor_m=182 Swiss=9 | 火药角,烈酒杯,拍立蚌,绵鳚,皮皮虾,小冰镐,枪套,大钢弩,十手
  3. RR=190 anchor_m=164 Swiss=9 | 拍立蚌,火药角,烈酒杯,皮皮虾,十手,流星索,盐钳海盗,枪套,大钢弩
  4. RR=200 anchor_m=143 Swiss=10 | 火药角,烈酒杯,拍立蚌,流星索,绵鳚,皮皮虾,枪套,大钢弩,十手
  5. RR=178 anchor_m=178 Swiss=9 | 理查森先生,火药角,烈酒杯,拍立蚌,绵鳚,皮皮虾,枪套,大钢弩,十手
  6. RR=178 anchor_m=172 Swiss=10 | 火药角,烈酒杯,皮皮虾,十手,流星索,盐钳海盗,枪套,绵鳚,大钢弩
  7. RR=179 anchor_m=164 Swiss=10 | 火药角,烈酒杯,拍立蚌,绵鳚,皮皮虾,迷幻蝠鲼,枪套,大钢弩,十手
  8. RR=184 anchor_m=154 Swiss=9 | 大钢弩,火药角,烈酒杯,拍立蚌,枪套,流星索,皮皮虾,十手,锁镰
  9. RR=171 anchor_m=171 Swiss=9 | 火药角,烈酒杯,皮皮虾,十手,小冰镐,盐钳海盗,枪套,绵鳚,大钢弩
  10. RR=173 anchor_m=165 Swiss=9 | 手雷,火药角,烈酒杯,拍立蚌,绵鳚,皮皮虾,枪套,大钢弩,十手
  11. RR=175 anchor_m=161 Swiss=9 | 大钢弩,火药角,烈酒杯,拍立蚌,枪套,皮皮虾,绵鳚,十手,锁镰
  12. RR=166 anchor_m=159 Swiss=9 | 火药角,烈酒杯,皮皮虾,十手,小冰镐,盐钳海盗,枪套,拍立蚌,大钢弩
  13. RR=166 anchor_m=149 Swiss=9 | 火药角,烈酒杯,皮皮虾,十手,流星索,盐钳海盗,枪套,小冰镐,大钢弩
  14. RR=161 anchor_m=158 Swiss=10 | 火药角,烈酒杯,皮皮虾,十手,盐钳海盗,枪套,燃烧响炮,绵鳚,大钢弩
  15. RR=193 anchor_m=90 Swiss=9 | 火药角,烈酒杯,皮皮虾,枪套,十手,拍立蚌,潜水配重,盐钳海盗,大钢弩
  16. RR=179 anchor_m=117 Swiss=9 | 大钢弩,火药角,烈酒杯,拍立蚌,枪套,潜水配重,皮皮虾,十手,锁镰
  17. RR=158 anchor_m=158 Swiss=9 | 珊瑚,火药角,烈酒杯,拍立蚌,绵鳚,皮皮虾,枪套,大钢弩,十手
  18. RR=156 anchor_m=153 Swiss=9 | 火药角,烈酒杯,皮皮虾,十手,盐钳海盗,枪套,大钢弩,绵鳚,手雷
  19. RR=156 anchor_m=149 Swiss=10 | 火药角,烈酒杯,绵鳚,皮皮虾,燃烧响炮,枪套,小冰镐,大钢弩,十手
  20. RR=156 anchor_m=147 Swiss=11 | 火药角,烈酒杯,飞鱼,拍立蚌,绵鳚,皮皮虾,枪套,大钢弩,十手

[GDF] seeds: 炮弹
[GDF] size=10 top 20
  1. RR=261 anchor_m=145 Swiss=11 | 枪套,皮皮虾,小冰镐,大钢弩,加速烙刀,烈酒杯,炮弹,潜水配重
  2. RR=220 anchor_m=207 Swiss=10 | 皮皮虾,大钢弩,小冰镐,加速烙刀,绵鳚,烈酒杯,炮弹,潜水配重
  3. RR=202 anchor_m=200 Swiss=10 | 大钢弩,皮皮虾,小冰镐,加速烙刀,烈酒杯,炮弹,潜水配重,盐钳海盗
  4. RR=192 anchor_m=192 Swiss=10 | 大钢弩,皮皮虾,小冰镐,加速烙刀,烈酒杯,炮弹,潜水配重,理查森先生
  5. RR=190 anchor_m=189 Swiss=10 | 小冰镐,理查森先生,大钢弩,炮弹,潜水配重,水车,拍立蚌
  6. RR=187 anchor_m=187 Swiss=10 | 珊瑚,拍立蚌,燃烧子弹,潜水配重,绵鳚,鱼雷,炮弹,燃烧响炮,打火机
  7. RR=186 anchor_m=186 Swiss=10 | 珊瑚,小冰镐,大钢弩,炮弹,潜水配重,水车,拍立蚌
  8. RR=186 anchor_m=186 Swiss=9 | 拍立蚌,流星索,燃烧子弹,潜水配重,绵鳚,鱼雷,炮弹,燃烧响炮,打火机
  9. RR=181 anchor_m=181 Swiss=10 | 海影宝驹,迷幻蝠鲼,潜水配重,绵鳚,鱼雷,炮弹,燃烧响炮,打火机
  10. RR=181 anchor_m=179 Swiss=10 | 大钢弩,皮皮虾,拍立蚌,小冰镐,加速烙刀,烈酒杯,炮弹,潜水配重
  11. RR=182 anchor_m=176 Swiss=9 | 大钢弩,皮皮虾,小冰镐,加速烙刀,烈酒杯,炮弹,潜水配重,流星索
  12. RR=180 anchor_m=176 Swiss=10 | 拍立蚌,燃烧子弹,潜水配重,绵鳚,鱼雷,炮弹,枪套,燃烧响炮,打火机
  13. RR=182 anchor_m=163 Swiss=11 | 枪套,流星索,皮皮虾,小冰镐,加速烙刀,烈酒杯,炮弹,潜水配重,盐钳海盗
  14. RR=177 anchor_m=165 Swiss=11 | 藏刃匕首,大钢弩,皮皮虾,小冰镐,加速烙刀,烈酒杯,炮弹,潜水配重
  15. RR=172 anchor_m=172 Swiss=10 | 大钢弩,皮皮虾,小冰镐,加速烙刀,烈酒杯,炮弹,迷幻蝠鲼,潜水配重
  16. RR=172 anchor_m=172 Swiss=10 | 拍立蚌,燃烧子弹,潜水配重,绵鳚,鱼雷,炮弹,燃烧响炮,小冰镐,打火机
  17. RR=172 anchor_m=171 Swiss=10 | 拍立蚌,珍珠,燃烧子弹,潜水配重,绵鳚,鱼雷,炮弹,燃烧响炮,打火机
  18. RR=171 anchor_m=171 Swiss=10 | 小冰镐,流星索,大钢弩,炮弹,潜水配重,水车,拍立蚌
  19. RR=164 anchor_m=164 Swiss=11 | 潜水配重,绵鳚,鱼雷,炮弹,海影宝驹,燃烧响炮,打火机,拍立蚌
  20. RR=160 anchor_m=160 Swiss=10 | 大钢弩,皮皮虾,小冰镐,加速烙刀,烈酒杯,炮弹,潜水配重,毒须鲶

[GDF] seeds: 烈酒杯
[GDF] size=10 top 20
  1. RR=210 anchor_m=210 Swiss=10 | 枪套,流星索,大钢弩,绵鳚,火药角,烈酒杯,拍立蚌,皮皮虾,十手
  2. RR=210 anchor_m=209 Swiss=10 | 枪套,流星索,大钢弩,火药角,烈酒杯,拍立蚌,潜水配重,皮皮虾,十手
  3. RR=184 anchor_m=184 Swiss=9 | 枪套,流星索,大钢弩,火药角,烈酒杯,拍立蚌,皮皮虾,小冰镐,十手
  4. RR=182 anchor_m=182 Swiss=9 | 加速烙刀,绵鳚,大钢弩,皮皮虾,火药角,烈酒杯,流星索,枪套
  5. RR=182 anchor_m=182 Swiss=9 | 枪套,流星索,大钢弩,火药角,烈酒杯,水母,拍立蚌,皮皮虾,十手
  6. RR=181 anchor_m=181 Swiss=10 | 枪套,流星索,大钢弩,火药角,烈酒杯,拍立蚌,皮皮虾,十手,藏刃匕首
  7. RR=180 anchor_m=180 Swiss=9 | 标枪,流星索,大钢弩,火药角,烈酒杯,拍立蚌,皮皮虾,十手
  8. RR=178 anchor_m=178 Swiss=10 | 枪套,流星索,大钢弩,理查森先生,火药角,烈酒杯,拍立蚌,皮皮虾,十手
  9. RR=176 anchor_m=176 Swiss=11 | 枪套,大钢弩,火药角,烈酒杯,潜水配重,拍立蚌,皮皮虾,绵鳚,十手
  10. RR=170 anchor_m=170 Swiss=9 | 枪套,流星索,大钢弩,火药角,烈酒杯,飞镖发射器,拍立蚌,皮皮虾,十手
  11. RR=169 anchor_m=169 Swiss=9 | 珊瑚,枪套,流星索,大钢弩,火药角,烈酒杯,拍立蚌,皮皮虾,十手
  12. RR=168 anchor_m=168 Swiss=10 | 加速烙刀,绵鳚,大钢弩,拍立蚌,皮皮虾,火药角,烈酒杯,枪套
  13. RR=168 anchor_m=168 Swiss=9 | 皮皮虾,枪套,大钢弩,拍立蚌,十手,火药角,烈酒杯,盐钳海盗,潜水配重
  14. RR=167 anchor_m=167 Swiss=9 | 枪套,流星索,龙涎香,大钢弩,火药角,烈酒杯,拍立蚌,皮皮虾,十手
  15. RR=165 anchor_m=165 Swiss=10 | 藏刃匕首,大钢弩,火药角,烈酒杯,流星索,枪套,皮皮虾,绵鳚,十手
  16. RR=165 anchor_m=165 Swiss=9 | 枪套,拍立蚌,大钢弩,火药角,烈酒杯,皮皮虾,绵鳚,十手,小冰镐
  17. RR=160 anchor_m=160 Swiss=9 | 三花,枪套,大钢弩,火药角,烈酒杯,拍立蚌,皮皮虾,绵鳚,十手
  18. RR=158 anchor_m=158 Swiss=10 | 枪套,流星索,抓钩,大钢弩,火药角,烈酒杯,拍立蚌,皮皮虾,十手
  19. RR=155 anchor_m=155 Swiss=10 | 流星索,皮皮虾,迷幻蝠鲼,盐钳海盗,十手,枪套,大钢弩,火药角,烈酒杯
  20. RR=155 anchor_m=155 Swiss=9 | 枪套,大钢弩,火药角,烈酒杯,理查森先生,流星索,皮皮虾,绵鳚,十手

[GDF] seeds: 烙刀
[GDF] size=10 top 20
  1. RR=254 anchor_m=60 Swiss=10 | 打火机,绵鳚,加速烙刀,烙刀,小冰镐,篝火,燃烧响炮
  2. RR=230 anchor_m=185 Swiss=10 | 打火机,湿件战服,绵鳚,小冰镐,淬锋钢,烙刀,燃烧响炮,十手
  3. RR=241 anchor_m=108 Swiss=10 | 打火机,理查森先生,绵鳚,加速烙刀,烙刀,篝火,燃烧响炮
  4. RR=245 anchor_m=69 Swiss=10 | 燃烧子弹,打火机,篝火,绵鳚,加速烙刀,烙刀,燃烧响炮
  5. RR=215 anchor_m=122 Swiss=11 | 打火机,绵鳚,加速烙刀,流星索,烙刀,篝火,燃烧响炮
  6. RR=215 anchor_m=110 Swiss=10 | 淬锋钢,打火机,绵鳚,加速烙刀,烙刀,篝火,燃烧响炮
  7. RR=194 anchor_m=117 Swiss=9 | 打火机,绵鳚,加速烙刀,拍立蚌,烙刀,篝火,燃烧响炮
  8. RR=206 anchor_m=93 Swiss=9 | 打火机,绵鳚,加速烙刀,烙刀,篝火,燃烧响炮,枪套
  9. RR=192 anchor_m=112 Swiss=9 | 打火机,绵鳚,加速烙刀,舱底蠕虫,烙刀,篝火,燃烧响炮
  10. RR=194 anchor_m=108 Swiss=10 | 打火机,湿件战服,绵鳚,小冰镐,弹簧刀,淬锋钢,烙刀,燃烧响炮
  11. RR=196 anchor_m=101 Swiss=9 | 打火机,绵鳚,加速烙刀,烈酒杯,烙刀,篝火,燃烧响炮
  12. RR=173 anchor_m=139 Swiss=10 | 打火机,十手,飞鱼,湿件战服,绵鳚,小冰镐,烙刀,燃烧响炮
  13. RR=168 anchor_m=141 Swiss=9 | 打火机,弹簧刀,十手,湿件战服,绵鳚,小冰镐,烙刀,燃烧响炮
  14. RR=179 anchor_m=113 Swiss=9 | 葡萄弹,打火机,绵鳚,加速烙刀,烙刀,篝火,燃烧响炮
  15. RR=170 anchor_m=124 Swiss=9 | 打火机,十手,湿件战服,绵鳚,小冰镐,锁镰,烙刀,燃烧响炮
  16. RR=168 anchor_m=124 Swiss=9 | 鱼饵,打火机,湿件战服,绵鳚,小冰镐,烙刀,燃烧响炮,藏刃匕首
  17. RR=156 anchor_m=128 Swiss=9 | 打火机,湿件战服,绵鳚,小冰镐,鱼饵,燃烧响炮,珊瑚,烙刀
  18. RR=170 anchor_m=96 Swiss=10 | 打火机,绵鳚,加速烙刀,烙刀,篝火,燃烧响炮,手斧
  19. RR=151 anchor_m=127 Swiss=9 | 打火机,十手,湿件战服,绵鳚,小冰镐,烙刀,燃烧响炮,抓钩
  20. RR=165 anchor_m=98 Swiss=10 | 打火机,湿件战服,绵鳚,小冰镐,藏刃匕首,十手,烙刀,燃烧响炮

[GDF] seeds: 燃烧响炮
[GDF] size=10 top 20
  1. RR=290 anchor_m=290 Swiss=11 | 大钢弩,篝火,燃烧响炮,燃烧子弹,打火机,绵鳚,加速烙刀
  2. RR=263 anchor_m=262 Swiss=11 | 燃烧响炮,篝火,加速烙刀,大钢弩,绵鳚,打火机,枪套
  3. RR=246 anchor_m=242 Swiss=10 | 珊瑚护甲,篝火,燃烧响炮,燃烧子弹,打火机,绵鳚,加速烙刀
  4. RR=245 anchor_m=215 Swiss=11 | 大钢弩,燃烧响炮,加速烙刀,绵鳚,潜水配重,拍立蚌,打火机,枪套
  5. RR=211 anchor_m=210 Swiss=10 | 燃烧响炮,加速烙刀,绵鳚,潜水配重,龙涎香,打火机,大钢弩,枪套
  6. RR=209 anchor_m=209 Swiss=11 | 燃烧响炮,加速烙刀,绵鳚,潜水配重,理查森先生,打火机,大钢弩,枪套
  7. RR=221 anchor_m=166 Swiss=10 | 燃烧响炮,加速烙刀,绵鳚,潜水配重,打火机,大钢弩,枪套,藏刃匕首
  8. RR=204 anchor_m=199 Swiss=10 | 燃烧响炮,大钢弩,加速烙刀,绵鳚,潜水配重,海螺壳,打火机,枪套
  9. RR=234 anchor_m=133 Swiss=10 | 燃烧响炮,加速烙刀,绵鳚,潜水配重,水母,打火机,大钢弩,枪套
  10. RR=200 anchor_m=200 Swiss=11 | 救生圈,篝火,燃烧响炮,燃烧子弹,打火机,绵鳚,加速烙刀
  11. RR=200 anchor_m=200 Swiss=10 | 燃烧响炮,加速烙刀,绵鳚,潜水配重,水草,打火机,大钢弩,枪套
  12. RR=203 anchor_m=193 Swiss=10 | 小冰镐,燃烧响炮,加速烙刀,绵鳚,潜水配重,大钢弩,打火机,枪套
  13. RR=216 anchor_m=165 Swiss=11 | 燃烧响炮,加速烙刀,绵鳚,潜水配重,打火机,大钢弩,流星索,枪套
  14. RR=196 anchor_m=196 Swiss=9 | 大钢弩,燃烧响炮,绵鳚,打火机,燃烧子弹,毒须鲶,篝火,珊瑚
  15. RR=195 anchor_m=188 Swiss=10 | 燃烧响炮,加速烙刀,绵鳚,潜水配重,毒须鲶,打火机,大钢弩,枪套
  16. RR=183 anchor_m=181 Swiss=10 | 大钢弩,燃烧响炮,绵鳚,打火机,燃烧子弹,毒须鲶,篝火,枪套
  17. RR=180 anchor_m=180 Swiss=10 | 大钢弩,燃烧响炮,绵鳚,打火机,燃烧子弹,毒须鲶,篝火,理查森先生
  18. RR=178 anchor_m=178 Swiss=10 | 燃烧响炮,加速烙刀,绵鳚,潜水配重,炮弹,打火机,大钢弩,枪套
  19. RR=178 anchor_m=178 Swiss=10 | 流星索,大钢弩,燃烧响炮,绵鳚,打火机,燃烧子弹,毒须鲶,篝火
  20. RR=179 anchor_m=169 Swiss=10 | 燃烧响炮,加速烙刀,绵鳚,潜水配重,皮皮虾,打火机,大钢弩,枪套

[GDF] seeds: 燃烧子弹
[GDF] size=10 top 20
  1. RR=249 anchor_m=245 Swiss=11 | 大钢弩,小冰镐,绵鳚,篝火,打火机,燃烧子弹,拍立蚌,燃烧响炮
  2. RR=241 anchor_m=240 Swiss=10 | 理查森先生,绵鳚,篝火,打火机,燃烧子弹,拍立蚌,燃烧响炮,大钢弩
  3. RR=219 anchor_m=219 Swiss=10 | 理查森先生,绵鳚,篝火,打火机,燃烧子弹,套娃,燃烧响炮,大钢弩
  4. RR=226 anchor_m=196 Swiss=11 | 大钢弩,小冰镐,篝火,打火机,燃烧子弹,燃烧响炮,绵鳚,藏刃匕首
  5. RR=219 anchor_m=190 Swiss=10 | 大钢弩,流星索,小冰镐,篝火,绵鳚,打火机,燃烧子弹,燃烧响炮
  6. RR=208 anchor_m=186 Swiss=11 | 加速烙刀,绵鳚,打火机,燃烧子弹,燃烧响炮,篝火,珊瑚护甲
  7. RR=204 anchor_m=188 Swiss=10 | 理查森先生,绵鳚,篝火,打火机,燃烧子弹,燃烧响炮,枪套,大钢弩
  8. RR=197 anchor_m=197 Swiss=10 | 大钢弩,珊瑚,篝火,打火机,燃烧子弹,燃烧响炮,绵鳚,枪套
  9. RR=201 anchor_m=188 Swiss=10 | 大钢弩,手雷,小冰镐,绵鳚,篝火,打火机,燃烧子弹,燃烧响炮
  10. RR=191 anchor_m=184 Swiss=11 | 大钢弩,珊瑚,篝火,绵鳚,打火机,燃烧子弹,燃烧响炮,流星索
  11. RR=187 anchor_m=186 Swiss=9 | 大钢弩,珊瑚,篝火,绵鳚,打火机,燃烧子弹,套娃,燃烧响炮
  12. RR=186 anchor_m=185 Swiss=10 | 大钢弩,拍立蚌,珊瑚,篝火,绵鳚,打火机,燃烧子弹,燃烧响炮
  13. RR=186 anchor_m=182 Swiss=10 | 理查森先生,绵鳚,篝火,打火机,燃烧子弹,燃烧响炮,烈酒杯,大钢弩
  14. RR=184 anchor_m=177 Swiss=10 | 加速烙刀,绵鳚,大钢弩,打火机,燃烧子弹,燃烧响炮,篝火
  15. RR=188 anchor_m=153 Swiss=10 | 烈酒杯,大钢弩,小冰镐,绵鳚,篝火,打火机,燃烧子弹,燃烧响炮
  16. RR=173 anchor_m=173 Swiss=10 | 鹦鹉皮特,理查森先生,绵鳚,篝火,打火机,燃烧子弹,燃烧响炮,大钢弩
  17. RR=173 anchor_m=173 Swiss=10 | 大钢弩,小冰镐,理查森先生,绵鳚,篝火,打火机,燃烧子弹,燃烧响炮
  18. RR=173 anchor_m=167 Swiss=10 | 葡萄弹,大钢弩,小冰镐,绵鳚,篝火,打火机,燃烧子弹,燃烧响炮
  19. RR=171 anchor_m=162 Swiss=11 | 枪套,流星索,大钢弩,小冰镐,篝火,打火机,燃烧子弹,燃烧响炮
  20. RR=168 anchor_m=167 Swiss=10 | 理查森先生,绵鳚,篝火,打火机,燃烧子弹,燃烧响炮,珊瑚,大钢弩

[GDF] seeds: 牌桌
[GDF] size=10 top 20
  1. RR=214 anchor_m=137 Swiss=10 | 火药角,烈酒杯,枪套,流星索,抓钩,大钢弩,牌桌,皮皮虾
  2. RR=208 anchor_m=184 Swiss=11 | 淬锋钢,水车,吸血章鱼,潜水配重,六分仪,牌桌
  3. RR=203 anchor_m=189 Swiss=10 | 火药角,烈酒杯,拍立蚌,流星索,抓钩,牌桌,十手,锁镰,皮皮虾
  4. RR=211 anchor_m=157 Swiss=11 | 淬锋钢,集成式HUD,吸血章鱼,潜水配重,沙滩充气球,六分仪,牌桌
  5. RR=192 anchor_m=181 Swiss=11 | 十手,烈酒杯,炮弹,抓钩,拍立蚌,牌桌,皮皮虾,锁镰,流星索
  6. RR=198 anchor_m=144 Swiss=10 | 拍立蚌,火药角,烈酒杯,枪套,抓钩,大钢弩,牌桌,皮皮虾
  7. RR=192 anchor_m=144 Swiss=10 | 沙滩充气球,消音器,淬锋钢,吸血章鱼,潜水配重,六分仪,牌桌
  8. RR=183 anchor_m=154 Swiss=10 | 拍立蚌,淬锋钢,吸血章鱼,潜水配重,沙滩充气球,六分仪,牌桌
  9. RR=180 anchor_m=160 Swiss=10 | 淬锋钢,吸血章鱼,潜水配重,沙滩充气球,六分仪,牌桌,舱底蠕虫
  10. RR=178 anchor_m=163 Swiss=9 | 十手,烈酒杯,炮弹,手雷,抓钩,拍立蚌,牌桌,皮皮虾,流星索
  11. RR=191 anchor_m=119 Swiss=10 | 火药角,烈酒杯,十手,枪套,抓钩,大钢弩,牌桌,皮皮虾
  12. RR=184 anchor_m=129 Swiss=11 | 淬锋钢,吸血章鱼,潜水配重,沙滩充气球,六分仪,牌桌,蔻森娜纹章
  13. RR=171 anchor_m=151 Swiss=10 | 淬锋钢,吸血章鱼,潜水配重,沙滩充气球,燃烧子弹,六分仪,牌桌
  14. RR=175 anchor_m=141 Swiss=11 | 淬锋钢,吸血章鱼,潜水配重,沙滩充气球,六分仪,火药角,牌桌
  15. RR=162 anchor_m=154 Swiss=10 | 火药角,烈酒杯,拍立蚌,抓钩,牌桌,十手,手里剑,锁镰,皮皮虾
  16. RR=159 anchor_m=151 Swiss=10 | 流星索,火药角,烈酒杯,大钢弩,抓钩,牌桌,拍立蚌,皮皮虾
  17. RR=164 anchor_m=141 Swiss=10 | 拍立蚌,烈酒杯,炮弹,手雷,抓钩,牌桌,十手,锁镰,皮皮虾
  18. RR=168 anchor_m=130 Swiss=10 | 火药角,烈酒杯,小冰镐,枪套,抓钩,大钢弩,牌桌,皮皮虾
  19. RR=186 anchor_m=92 Swiss=10 | 火药角,烈酒杯,枪套,抓钩,潜水配重,大钢弩,牌桌,皮皮虾
  20. RR=162 anchor_m=137 Swiss=10 | 淬锋钢,吸血章鱼,潜水配重,炮弹,烈酒杯,六分仪,枪套,牌桌

[GDF] seeds: 独角鲸
[GDF] size=10 top 20
  1. RR=202 anchor_m=115 Swiss=10 | 独角鲸,潜水配重,水母,雪怪蟹,元素深水炸弹,绵鳚,水草,拍立蚌,小冰镐
  2. RR=188 anchor_m=101 Swiss=11 | 鱼饵,拍立蚌,独角鲸,珍珠,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐
  3. RR=182 anchor_m=108 Swiss=10 | 独角鲸,海螺壳,潜水配重,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,水草
  4. RR=187 anchor_m=94 Swiss=10 | 独角鲸,拍立蚌,潜水配重,珍珠,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐
  5. RR=183 anchor_m=99 Swiss=10 | 珊瑚,独角鲸,迷幻蝠鲼,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,珍珠
  6. RR=172 anchor_m=113 Swiss=9 | 独角鲸,水母,雪怪蟹,元素深水炸弹,绵鳚,水草,海螺壳,拍立蚌,小冰镐
  7. RR=176 anchor_m=99 Swiss=10 | 独角鲸,潜水配重,海螺壳,迷幻蝠鲼,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐
  8. RR=171 anchor_m=106 Swiss=10 | 独角鲸,潜水配重,珍珠,珊瑚,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐
  9. RR=175 anchor_m=97 Swiss=10 | 独角鲸,迷幻蝠鲼,水母,雪怪蟹,元素深水炸弹,绵鳚,海螺壳,拍立蚌,小冰镐
  10. RR=176 anchor_m=88 Swiss=9 | 独角鲸,海螺壳,潜水配重,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,珊瑚
  11. RR=166 anchor_m=106 Swiss=10 | 独角鲸,珍珠,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,海螺壳,理查森先生
  12. RR=177 anchor_m=82 Swiss=11 | 独角鲸,迷幻蝠鲼,水母,雪怪蟹,元素深水炸弹,绵鳚,水草,拍立蚌,小冰镐
  13. RR=166 anchor_m=97 Swiss=11 | 独角鲸,潜水配重,鱼饵,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,珊瑚
  14. RR=173 anchor_m=82 Swiss=11 | 拍立蚌,迷幻蝠鲼,独角鲸,珍珠,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐
  15. RR=159 anchor_m=105 Swiss=10 | 独角鲸,水母,雪怪蟹,元素深水炸弹,绵鳚,水草,拍立蚌,小冰镐,飞鱼
  16. RR=153 anchor_m=116 Swiss=10 | 独角鲸,潜水配重,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,海影宝驹
  17. RR=158 anchor_m=105 Swiss=10 | 珊瑚,水草,独角鲸,珍珠,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐
  18. RR=165 anchor_m=90 Swiss=11 | 独角鲸,鱼饵,海螺壳,潜水配重,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐
  19. RR=154 anchor_m=111 Swiss=9 | 独角鲸,潜水配重,珍珠,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐,盐钳海盗
  20. RR=154 anchor_m=102 Swiss=11 | 独角鲸,潜水配重,鱼雷,水母,雪怪蟹,元素深水炸弹,绵鳚,小冰镐

[GDF] seeds: 狼筅
[GDF] size=10 top 20
  1. RR=261 anchor_m=158 Swiss=11 | 手斧,燃烧响炮,篝火,狼筅,绵鳚,打火机,大钢弩
  2. RR=247 anchor_m=247 Swiss=10 | 小冰镐,套娃,水车,淬锋钢,理查森先生,珊瑚,狼筅
  3. RR=243 anchor_m=220 Swiss=11 | 燃烧响炮,狼筅,绵鳚,珊瑚,大钢弩,打火机,篝火
  4. RR=252 anchor_m=137 Swiss=10 | 燃烧响炮,篝火,狼筅,绵鳚,打火机,葡萄弹,大钢弩
  5. RR=239 anchor_m=160 Swiss=11 | 燃烧响炮,篝火,狼筅,绵鳚,打火机,大钢弩,十手
  6. RR=215 anchor_m=203 Swiss=10 | 燃烧响炮,狼筅,加速烙刀,绵鳚,小冰镐,燃烧子弹,打火机,枪套
  7. RR=208 anchor_m=206 Swiss=11 | 珊瑚,燃烧响炮,狼筅,加速烙刀,绵鳚,打火机,流星索,枪套
  8. RR=201 anchor_m=201 Swiss=9 | 标枪,燃烧响炮,狼筅,绵鳚,小冰镐,大钢弩,打火机
