# gdf_enumerate_anchor_top1: full Top-K per anchor (last size tier only)
[GDF] seeds: 云精灵
[GDF] size=10 top 20
  1. RR=283 anchor_m=262 Swiss=9 | 彩虹药水,红宝石,蜡烛,香炉,火焰药水,瓶装闪电,煅烧釜,云精灵
  12. RR=197 anchor_m=193 Swiss=9 | 鳄鱼眼泪,红宝石,瓶装闪电,塔兹迪亚匕首,火焰药水,曲颈甑,煅烧釜,香炉
  13. RR=196 anchor_m=191 Swiss=8 | 曲颈甑,红宝石,煅烧釜,彩虹药水,香炉,鳄鱼眼泪,火焰药水,塔兹迪亚匕首
  14. RR=197 anchor_m=184 Swiss=8 | 鳄鱼眼泪,红宝石,瓶装闪电,塔兹迪亚匕首,曲颈甑,彩虹药水,煅烧釜,香炉
  15. RR=189 anchor_m=185 Swiss=7 | 硫磺,瓶装闪电,红宝石,曲颈甑,煅烧釜,香炉,昏睡药水,鳄鱼眼泪
  16. RR=189 anchor_m=184 Swiss=8 | 彩虹药水,鳄鱼眼泪,碎瓶,红宝石,瓶装闪电,曲颈甑,煅烧釜,香炉
  17. RR=189 anchor_m=180 Swiss=8 | 曲颈甑,火焰药水,萤火虫,彩虹药水,红宝石,煅烧釜,香炉,鳄鱼眼泪
  18. RR=186 anchor_m=180 Swiss=8 | 鳄鱼眼泪,红宝石,瓶装闪电,曲颈甑,煅烧釜,云精灵,彩虹药水,香炉
  19. RR=184 anchor_m=176 Swiss=9 | 硫磺,瓶装闪电,红宝石,曲颈甑,煅烧釜,香炉,鳄鱼眼泪,彩虹药水
  20. RR=183 anchor_m=172 Swiss=9 | 曲颈甑,煅烧釜,香炉,红宝石,彩虹药水,鳄鱼眼泪,贤者之石,火焰药水

[GDF] seeds: 毒液
[GDF] size=10 top 20
  1. RR=271 anchor_m=249 Swiss=9 | 翡翠,蜡烛,真菌孢子,鳄鱼眼泪,倒刺利爪,毒液,贤者之石,地刺陷阱,毒液注射
  2. RR=257 anchor_m=220 Swiss=9 | 翡翠,蜡烛,真菌孢子,鳄鱼眼泪,倒刺利爪,毒液,地刺陷阱,昏睡药水,毒液注射
  3. RR=258 anchor_m=199 Swiss=8 | 翡翠,蜡烛,真菌孢子,火焰药水,鳄鱼眼泪,倒刺利爪,毒液,地刺陷阱,毒液注射
  4. RR=246 anchor_m=191 Swiss=9 | 翡翠,鳄鱼眼泪,真菌孢子,倒刺利爪,毒液,地刺陷阱,香炉,毒液注射,蜡烛
  5. RR=227 anchor_m=203 Swiss=9 | 翡翠,蜡烛,真菌孢子,鳄鱼眼泪,倒刺利爪,毒液,地刺陷阱,毒液注射,瓶装闪电
  6. RR=217 anchor_m=206 Swiss=8 | 翡翠,蜡烛,真菌孢子,鳄鱼眼泪,倒刺利爪,毒液,地刺陷阱,再生药水,毒液注射
  7. RR=248 anchor_m=136 Swiss=9 | 翡翠,彩虹药水,蜡烛,真菌孢子,鳄鱼眼泪,倒刺利爪,毒液,地刺陷阱,毒液注射
  8. RR=210 anchor_m=194 Swiss=8 | 拆信刀,翡翠,蜡烛,真菌孢子,鳄鱼眼泪,倒刺利爪,毒液,地刺陷阱,毒液注射
  9. RR=202 anchor_m=196 Swiss=9 | 翡翠,真菌孢子,彩虹药水,折射棱镜,鳄鱼眼泪,倒刺利爪,毒液,地刺陷阱,毒液注射
  10. RR=206 anchor_m=186 Swiss=9 | 翡翠,真菌孢子,倒刺利爪,毒液,地刺陷阱,毒液注射,红宝石,蜡烛,彩虹药水
  11. RR=202 anchor_m=191 Swiss=8 | 翡翠,蜡烛,真菌孢子,黑玫瑰,鳄鱼眼泪,倒刺利爪,毒液,地刺陷阱,毒液注射
  12. RR=202 anchor_m=190 Swiss=8 | 翡翠,蜡烛,真菌孢子,手术刀,鳄鱼眼泪,倒刺利爪,毒液,地刺陷阱,毒液注射
  13. RR=199 anchor_m=186 Swiss=9 | 毒芹,翡翠,蜡烛,真菌孢子,鳄鱼眼泪,倒刺利爪,毒液,地刺陷阱,毒液注射
  14. RR=196 anchor_m=192 Swiss=8 | 翡翠,蜡烛,真菌孢子,鳄鱼眼泪,倒刺利爪,毒液,黑曜石碎片,地刺陷阱,毒液注射
  15. RR=194 anchor_m=188 Swiss=8 | 翡翠,蜡烛,真菌孢子,鳄鱼眼泪,倒刺利爪,毒液,地刺陷阱,毒液注射,剧毒药水
  16. RR=190 anchor_m=181 Swiss=8 | 翡翠,真菌孢子,红宝石,彩虹药水,鳄鱼眼泪,倒刺利爪,毒液,地刺陷阱,毒液注射,香炉
  17. RR=188 anchor_m=180 Swiss=8 | 翡翠,蜡烛,真菌孢子,鳄鱼眼泪,倒刺利爪,毒液,塔兹迪亚匕首,地刺陷阱,毒液注射
  18. RR=184 anchor_m=176 Swiss=8 | 翡翠,真菌孢子,倒刺利爪,毒液,地刺陷阱,毒液注射,火焰药水,蜡烛,彩虹药水
  19. RR=181 anchor_m=172 Swiss=8 | 煅烧釜,翡翠,真菌孢子,鳄鱼眼泪,倒刺利爪,毒液,彩虹药水,地刺陷阱,毒液注射
  20. RR=177 anchor_m=170 Swiss=9 | 翡翠,蜡烛,真菌孢子,熏香,鳄鱼眼泪,倒刺利爪,毒液,地刺陷阱,毒液注射

[GDF] seeds: 毒液注射
[GDF] size=10 top 20
  1. RR=269 anchor_m=60 Swiss=9 | 蜡烛,翡翠,彩虹药水,毒液注射,鳄鱼眼泪,倒刺利爪,毒液,地刺陷阱,真菌孢子
  2. RR=264 anchor_m=120 Swiss=9 | 红宝石,翡翠,毒液注射,倒刺利爪,毒液,地刺陷阱,蜡烛,鳄鱼眼泪,真菌孢子
  3. RR=265 anchor_m=94 Swiss=9 | 翡翠,昏睡药水,毒液注射,倒刺利爪,毒液,地刺陷阱,蜡烛,鳄鱼眼泪,真菌孢子
  4. RR=252 anchor_m=100 Swiss=9 | 翡翠,毒液注射,倒刺利爪,毒液,香炉,地刺陷阱,鳄鱼眼泪,真菌孢子,蜡烛
  5. RR=234 anchor_m=128 Swiss=8 | 毒蜥,翡翠,蜡烛,地刺陷阱,毒液注射,倒刺利爪,毒液,鳄鱼眼泪,真菌孢子
  6. RR=241 anchor_m=106 Swiss=9 | 翡翠,毒液注射,倒刺利爪,毒液,地刺陷阱,蜡烛,瓶装闪电,鳄鱼眼泪,真菌孢子
  7. RR=228 anchor_m=107 Swiss=8 | 翡翠,拆信刀,毒液注射,倒刺利爪,毒液,地刺陷阱,蜡烛,鳄鱼眼泪,真菌孢子
  8. RR=241 anchor_m=75 Swiss=8 | 翡翠,毒液注射,火焰药水,倒刺利爪,毒液,地刺陷阱,蜡烛,鳄鱼眼泪,真菌孢子
  9. RR=231 anchor_m=92 Swiss=8 | 翡翠,毒液注射,倒刺利爪,毒液,地刺陷阱,贤者之石,蜡烛,鳄鱼眼泪,真菌孢子
  10. RR=202 anchor_m=146 Swiss=8 | 翡翠,黑玫瑰,毒液注射,倒刺利爪,毒液,地刺陷阱,蜡烛,鳄鱼眼泪,真菌孢子
  11. RR=219 anchor_m=111 Swiss=8 | 翡翠,毒液注射,倒刺利爪,毒液,彩虹药水,红宝石,地刺陷阱,真菌孢子,蜡烛
  12. RR=216 anchor_m=110 Swiss=8 | 翡翠,剧毒药水,毒液注射,倒刺利爪,毒液,地刺陷阱,蜡烛,鳄鱼眼泪,真菌孢子
  13. RR=196 anchor_m=149 Swiss=9 | 翡翠,毒液注射,倒刺利爪,毒液,地刺陷阱,蜡烛,鳄鱼眼泪,熏香,真菌孢子
  14. RR=210 anchor_m=118 Swiss=8 | 翡翠,毒液注射,倒刺利爪,毒液,地刺陷阱,蜡烛,鳄鱼眼泪,真菌孢子,萤火虫
  15. RR=181 anchor_m=172 Swiss=8 | 翡翠,毒液注射,地刺陷阱,倒刺利爪,毒液,真菌孢子,水蛭,嗅盐,彩虹药水
  16. RR=210 anchor_m=113 Swiss=8 | 翡翠,毒液注射,倒刺利爪,毒液,毒芹,地刺陷阱,蜡烛,鳄鱼眼泪,真菌孢子
  17. RR=186 anchor_m=134 Swiss=8 | 翡翠,毒液注射,倒刺利爪,毒液,地刺陷阱,嗅盐,蜡烛,鳄鱼眼泪,真菌孢子
  18. RR=170 anchor_m=164 Swiss=8 | 翡翠,毒液注射,地刺陷阱,倒刺利爪,毒液,真菌孢子,水蛭,云精灵,彩虹药水
  19. RR=193 anchor_m=114 Swiss=8 | 翡翠,毒液注射,倒刺利爪,毒液,笔与墨,地刺陷阱,蜡烛,鳄鱼眼泪,真菌孢子
  20. RR=178 anchor_m=144 Swiss=7 | 蜡烛,翡翠,彩虹药水,火焰药水,毒液注射,倒刺利爪,毒液,地刺陷阱,真菌孢子

[GDF] seeds: 毒芹
[GDF] size=10 top 20
  1. RR=289 anchor_m=93 Swiss=10 | 蜡烛,毒液注射,彩虹药水,翡翠,毒芹,鳄鱼眼泪,真菌孢子,倒刺利爪,毒液
  2. RR=250 anchor_m=187 Swiss=9 | 蜡烛,毒液注射,翡翠,毒芹,瓶装闪电,鳄鱼眼泪,真菌孢子,倒刺利爪,毒液
  3. RR=277 anchor_m=130 Swiss=9 | 红宝石,蜡烛,毒液注射,翡翠,毒芹,鳄鱼眼泪,真菌孢子,倒刺利爪,毒液
  4. RR=247 anchor_m=165 Swiss=9 | 毒蜥,蜡烛,毒液注射,翡翠,毒芹,鳄鱼眼泪,真菌孢子,倒刺利爪,毒液
  5. RR=263 anchor_m=132 Swiss=9 | 蜡烛,毒液注射,火焰药水,翡翠,毒芹,鳄鱼眼泪,真菌孢子,倒刺利爪,毒液
  6. RR=234 anchor_m=186 Swiss=8 | 蜡烛,毒液注射,翡翠,毒芹,鳄鱼眼泪,真菌孢子,倒刺利爪,毒液,剧毒药水
  7. RR=229 anchor_m=181 Swiss=9 | 萤火虫,蜡烛,毒液注射,翡翠,毒芹,鳄鱼眼泪,真菌孢子,倒刺利爪,毒液
  8. RR=268 anchor_m=78 Swiss=9 | 蜡烛,毒液注射,翡翠,毒芹,鳄鱼眼泪,真菌孢子,香炉,倒刺利爪,毒液
  9. RR=206 anchor_m=187 Swiss=7 | 贤者之石,毒液注射,地刺陷阱,蜡烛,翡翠,毒芹,真菌孢子,倒刺利爪,毒液
  10. RR=283 anchor_m=29 Swiss=9 | 蜡烛,地刺陷阱,毒液注射,翡翠,毒芹,鳄鱼眼泪,真菌孢子,倒刺利爪,毒液
  11. RR=216 anchor_m=151 Swiss=8 | 蜡烛,红宝石,毒液注射,翡翠,香炉,毒芹,真菌孢子,倒刺利爪,毒液
  12. RR=220 anchor_m=143 Swiss=8 | 蜡烛,红宝石,毒液注射,翡翠,毒芹,彩虹药水,真菌孢子,倒刺利爪,毒液
  13. RR=211 anchor_m=160 Swiss=8 | 蜡烛,毒液注射,翡翠,贤者之石,毒芹,鳄鱼眼泪,真菌孢子,倒刺利爪,毒液
  14. RR=207 anchor_m=158 Swiss=8 | 蜡烛,毒液注射,翡翠,毒芹,鳄鱼眼泪,真菌孢子,倒刺利爪,毒液,拆信刀
  15. RR=196 anchor_m=174 Swiss=8 | 蜡烛,毒液注射,翡翠,毒芹,碎瓶,鳄鱼眼泪,真菌孢子,倒刺利爪,毒液
  16. RR=213 anchor_m=134 Swiss=8 | 彩虹药水,蜡烛,毒液注射,翡翠,毒芹,真菌孢子,地刺陷阱,倒刺利爪,毒液
  17. RR=203 anchor_m=139 Swiss=9 | 蜡烛,毒液注射,翡翠,毒芹,真菌孢子,地刺陷阱,香炉,倒刺利爪,毒液
  18. RR=199 anchor_m=120 Swiss=8 | 蜡烛,毒液注射,翡翠,毒芹,真菌孢子,地刺陷阱,红宝石,倒刺利爪,毒液
  19. RR=183 anchor_m=150 Swiss=8 | 蜡烛,毒液注射,翡翠,黑玫瑰,毒芹,鳄鱼眼泪,真菌孢子,倒刺利爪,毒液
  20. RR=177 anchor_m=145 Swiss=8 | 蜡烛,毒液注射,翡翠,毒芹,鳄鱼眼泪,真菌孢子,倒刺利爪,毒液,笔与墨

[GDF] seeds: 毒蜥
[GDF] size=10 top 20
  1. RR=283 anchor_m=44 Swiss=9 | 鳄鱼眼泪,真菌孢子,倒刺利爪,毒液,翡翠,毒液注射,毒蜥,地刺陷阱,蜡烛
  2. RR=271 anchor_m=161 Swiss=9 | 真菌孢子,倒刺利爪,毒液,翡翠,红宝石,毒液注射,蜡烛,鳄鱼眼泪,毒蜥
  3. RR=249 anchor_m=183 Swiss=8 | 贤者之石,真菌孢子,倒刺利爪,毒液,翡翠,毒液注射,蜡烛,鳄鱼眼泪,毒蜥
  4. RR=268 anchor_m=141 Swiss=8 | 真菌孢子,倒刺利爪,毒液,翡翠,火焰药水,毒液注射,蜡烛,鳄鱼眼泪,毒蜥
  5. RR=219 anchor_m=212 Swiss=8 | 真菌孢子,倒刺利爪,毒液,蜡烛,贤者之石,翡翠,毒液注射,毒蜥,地刺陷阱
  6. RR=229 anchor_m=188 Swiss=9 | 真菌孢子,倒刺利爪,毒液,翡翠,毒液注射,蜡烛,鳄鱼眼泪,瓶装闪电,毒蜥
  7. RR=273 anchor_m=91 Swiss=9 | 真菌孢子,倒刺利爪,毒液,翡翠,毒液注射,彩虹药水,蜡烛,鳄鱼眼泪,毒蜥
  8. RR=253 anchor_m=110 Swiss=8 | 真菌孢子,香炉,倒刺利爪,毒液,翡翠,毒液注射,蜡烛,鳄鱼眼泪,毒蜥
  9. RR=203 anchor_m=182 Swiss=9 | 萤火虫,真菌孢子,倒刺利爪,毒液,翡翠,毒液注射,蜡烛,鳄鱼眼泪,毒蜥
  10. RR=204 anchor_m=180 Swiss=9 | 真菌孢子,昏睡药水,倒刺利爪,毒液,翡翠,毒液注射,蜡烛,鳄鱼眼泪,毒蜥
  11. RR=204 anchor_m=180 Swiss=8 | 拆信刀,真菌孢子,倒刺利爪,毒液,翡翠,毒液注射,蜡烛,鳄鱼眼泪,毒蜥
  12. RR=201 anchor_m=178 Swiss=8 | 真菌孢子,剧毒药水,倒刺利爪,毒液,翡翠,毒液注射,蜡烛,鳄鱼眼泪,毒蜥
  13. RR=211 anchor_m=156 Swiss=8 | 真菌孢子,倒刺利爪,毒液,翡翠,毒液注射,蜡烛,鳄鱼眼泪,毒芹,毒蜥
  14. RR=195 anchor_m=183 Swiss=9 | 真菌孢子,倒刺利爪,毒液,翡翠,毒液注射,毒蜥,鳄鱼眼泪,水蛭,地刺陷阱
  15. RR=240 anchor_m=89 Swiss=8 | 地刺陷阱,真菌孢子,毒液注射,水蛭,云精灵,倒刺利爪,毒液,翡翠,毒蜥
  16. RR=199 anchor_m=161 Swiss=8 | 真菌孢子,倒刺利爪,毒液,火焰药水,翡翠,毒液注射,蜡烛,红宝石,毒蜥
  17. RR=183 anchor_m=182 Swiss=8 | 真菌孢子,倒刺利爪,毒液,翡翠,毒液注射,蜡烛,鳄鱼眼泪,毒蜥,云精灵
  18. RR=200 anchor_m=137 Swiss=8 | 真菌孢子,彩虹药水,倒刺利爪,毒液,翡翠,毒液注射,蜡烛,红宝石,毒蜥
  19. RR=193 anchor_m=145 Swiss=8 | 真菌孢子,倒刺利爪,毒液,翡翠,毒液注射,毒蜥,地刺陷阱,蜡烛,彩虹药水
  20. RR=175 anchor_m=164 Swiss=8 | 地刺陷阱,鳄鱼眼泪,真菌孢子,水蛭,彩虹药水,倒刺利爪,毒液,翡翠,毒蜥

[GDF] seeds: 水蛭
[GDF] size=10 top 20
  1. RR=260 anchor_m=260 Swiss=9 | 水蛭,嗅盐,真菌孢子,鳄鱼眼泪,翡翠,倒刺利爪,毒液,地刺陷阱,毒液注射
  2. RR=241 anchor_m=241 Swiss=10 | 水蛭,嗅盐,真菌孢子,翡翠,毒蜥,倒刺利爪,毒液,毒液注射,地刺陷阱
  3. RR=241 anchor_m=241 Swiss=9 | 水蛭,云精灵,真菌孢子,鳄鱼眼泪,翡翠,倒刺利爪,毒液,地刺陷阱,毒液注射
  4. RR=240 anchor_m=239 Swiss=8 | 水蛭,嗅盐,真菌孢子,倒刺利爪,毒液,毒液注射,翡翠,毒芹,地刺陷阱
  5. RR=238 anchor_m=238 Swiss=9 | 贤者之石,毒液注射,倒刺利爪,毒液,彩虹药水,水蛭,真菌孢子,翡翠,地刺陷阱
  6. RR=232 anchor_m=230 Swiss=8 | 水蛭,真菌孢子,鳄鱼眼泪,彩虹药水,翡翠,倒刺利爪,毒液,地刺陷阱,毒液注射
  7. RR=224 anchor_m=224 Swiss=9 | 贤者之石,毒液注射,倒刺利爪,毒液,水蛭,真菌孢子,毒芹,翡翠,地刺陷阱
  8. RR=218 anchor_m=218 Swiss=8 | 贤者之石,毒液注射,倒刺利爪,毒液,水蛭,真菌孢子,翡翠,地刺陷阱,笔与墨
  9. RR=210 anchor_m=210 Swiss=7 | 贤者之石,水蛭,真菌孢子,翡翠,毒蜥,倒刺利爪,毒液,毒液注射,地刺陷阱
  10. RR=206 anchor_m=206 Swiss=8 | 水蛭,嗅盐,剧毒药水,真菌孢子,翡翠,倒刺利爪,毒液,地刺陷阱,毒液注射
  11. RR=205 anchor_m=205 Swiss=9 | 水蛭,嗅盐,真菌孢子,翡翠,倒刺利爪,毒液,地刺陷阱,笔与墨,毒液注射
  12. RR=201 anchor_m=201 Swiss=8 | 水蛭,云精灵,真菌孢子,翡翠,毒蜥,倒刺利爪,毒液,毒液注射,地刺陷阱
  13. RR=201 anchor_m=200 Swiss=9 | 水蛭,真菌孢子,曲颈甑,翡翠,倒刺利爪,毒液,地刺陷阱,毒液注射
  14. RR=197 anchor_m=197 Swiss=8 | 水蛭,云精灵,真菌孢子,彩虹药水,翡翠,倒刺利爪,毒液,地刺陷阱,毒液注射
  15. RR=193 anchor_m=193 Swiss=8 | 贤者之石,毒液注射,倒刺利爪,毒液,水蛭,黑玫瑰,真菌孢子,翡翠,地刺陷阱
  16. RR=193 anchor_m=192 Swiss=9 | 水蛭,真菌孢子,鳄鱼眼泪,毒蜥,翡翠,倒刺利爪,毒液,地刺陷阱,毒液注射
  17. RR=193 anchor_m=191 Swiss=8 | 地刺陷阱,曲颈甑,水蛭,翡翠,真菌孢子,彩虹药水,倒刺利爪,毒液
  18. RR=194 anchor_m=182 Swiss=8 | 曲颈甑,水蛭,地刺陷阱,真菌孢子,鳄鱼眼泪,倒刺利爪,毒液,翡翠
  19. RR=185 anchor_m=183 Swiss=8 | 毒蜥,地刺陷阱,水蛭,翡翠,鳄鱼眼泪,真菌孢子,彩虹药水,倒刺利爪,毒液
  20. RR=181 anchor_m=180 Swiss=9 | 地刺陷阱,水蛭,翡翠,腐朽圣像,真菌孢子,倒刺利爪,毒液,毒液注射

[GDF] seeds: 永恒火炬
[GDF] size=10 top 20
  1. RR=282 anchor_m=263 Swiss=9 | 碎瓶,香炉,瓶装闪电,火焰药水,蜡烛,红宝石,永恒火炬,彩虹药水
  2. RR=263 anchor_m=261 Swiss=9 | 香炉,瓶装闪电,火焰药水,蜡烛,彩虹药水,贤者之石,红宝石,永恒火炬
  3. RR=237 anchor_m=236 Swiss=8 | 香炉,碎瓶,贤者之石,瓶装闪电,火焰药水,蜡烛,红宝石,永恒火炬
  4. RR=235 anchor_m=234 Swiss=8 | 香炉,火焰药水,瓶装闪电,蜡烛,红宝石,永恒火炬,云精灵,彩虹药水
  5. RR=234 anchor_m=232 Swiss=8 | 香炉,碎瓶,火焰药水,贤者之石,蜡烛,红宝石,永恒火炬,彩虹药水
  6. RR=231 anchor_m=229 Swiss=8 | 香炉,碎瓶,瓶装闪电,火焰药水,塔兹迪亚匕首,蜡烛,红宝石,永恒火炬
  7. RR=229 anchor_m=226 Swiss=9 | 碎瓶,香炉,火焰药水,塔兹迪亚匕首,蜡烛,红宝石,永恒火炬,彩虹药水
  8. RR=223 anchor_m=218 Swiss=9 | 香炉,火焰药水,贤者之石,蜡烛,红宝石,鳄鱼眼泪,永恒火炬,彩虹药水
  9. RR=211 anchor_m=211 Swiss=9 | 香炉,碎瓶,瓶装闪电,蛇怪之牙,火焰药水,蜡烛,红宝石,永恒火炬
  10. RR=208 anchor_m=207 Swiss=8 | 香炉,碎瓶,瓶装闪电,火焰药水,蜡烛,红宝石,硫磺,永恒火炬
  11. RR=205 anchor_m=205 Swiss=8 | 香炉,瓶装闪电,火焰药水,蜡烛,彩虹药水,红宝石,永恒火炬,拆信刀
  12. RR=203 anchor_m=202 Swiss=8 | 香炉,瓶装闪电,火焰药水,蜡烛,彩虹药水,硫磺,红宝石,永恒火炬
  13. RR=202 anchor_m=197 Swiss=8 | 香炉,瓶装闪电,火焰药水,蜡烛,彩虹药水,手术刀,红宝石,永恒火炬
  14. RR=200 anchor_m=198 Swiss=9 | 蜡烛,萤火虫,火焰药水,碎瓶,香炉,彩虹药水,红宝石,永恒火炬
  15. RR=199 anchor_m=197 Swiss=8 | 香炉,瓶装闪电,火焰药水,塔兹迪亚匕首,蜡烛,彩虹药水,红宝石,永恒火炬
  16. RR=192 anchor_m=192 Swiss=8 | 香炉,瓶装闪电,火焰药水,蜡烛,萤火虫,彩虹药水,红宝石,永恒火炬
  17. RR=188 anchor_m=156 Swiss=10 | 碎瓶,香炉,火焰药水,蜡烛,红宝石,蛇怪之牙,永恒火炬,彩虹药水
  18. RR=176 anchor_m=175 Swiss=8 | 硫磺,香炉,火焰药水,贤者之石,蜡烛,红宝石,永恒火炬,彩虹药水
  19. RR=183 anchor_m=158 Swiss=8 | 香炉,瓶装闪电,火焰药水,蜡烛,彩虹药水,红宝石,永恒火炬,蛇怪之牙
  20. RR=174 anchor_m=174 Swiss=8 | 再生药水,香炉,瓶装闪电,火焰药水,蜡烛,彩虹药水,红宝石,永恒火炬

[GDF] seeds: 没药
[GDF] size=10 top 20
  1. RR=263 anchor_m=90 Swiss=9 | 碎瓶,煅烧釜,没药,红宝石,火焰药水,香炉,瓶装闪电,蜡烛
  2. RR=263 anchor_m=148 Swiss=8 | 煅烧釜,彩虹药水,蜡烛,火焰药水,没药,瓶装闪电,红宝石,香炉
  3. RR=260 anchor_m=168 Swiss=9 | 瓶装闪电,煅烧釜,云精灵,蜡烛,没药,红宝石,火焰药水,香炉
  4. RR=251 anchor_m=167 Swiss=9 | 煅烧釜,贤者之石,没药,红宝石,火焰药水,香炉,瓶装闪电,蜡烛
  5. RR=231 anchor_m=190 Swiss=9 | 瓶装闪电,煅烧釜,蜡烛,没药,红宝石,香炉,彩虹药水,贤者之石
  6. RR=235 anchor_m=168 Swiss=9 | 瓶装闪电,煅烧釜,云精灵,蜡烛,没药,红宝石,香炉,彩虹药水
  7. RR=250 anchor_m=135 Swiss=9 | 煅烧釜,彩虹药水,蜡烛,火焰药水,贤者之石,没药,红宝石,香炉
  8. RR=248 anchor_m=115 Swiss=8 | 煅烧釜,云精灵,彩虹药水,蜡烛,火焰药水,没药,红宝石,香炉
  9. RR=255 anchor_m=72 Swiss=8 | 煅烧釜,彩虹药水,蜡烛,火焰药水,碎瓶,没药,红宝石,香炉
  10. RR=205 anchor_m=162 Swiss=8 | 碎瓶,煅烧釜,没药,红宝石,火焰药水,塔兹迪亚匕首,香炉,蜡烛
  11. RR=236 anchor_m=79 Swiss=9 | 瓶装闪电,煅烧釜,蜡烛,没药,鳄鱼眼泪,红宝石,香炉,彩虹药水
  12. RR=227 anchor_m=92 Swiss=9 | 煅烧釜,彩虹药水,蜡烛,鳄鱼眼泪,火焰药水,没药,红宝石,香炉
  13. RR=218 anchor_m=98 Swiss=8 | 煅烧釜,彩虹药水,蜡烛,没药,红宝石,鳄鱼眼泪,碎瓶,香炉
  14. RR=203 anchor_m=121 Swiss=8 | 煅烧釜,没药,红宝石,蛇怪之牙,火焰药水,香炉,瓶装闪电,蜡烛
  15. RR=199 anchor_m=127 Swiss=8 | 碎瓶,煅烧釜,没药,红宝石,火焰药水,香炉,鳄鱼眼泪,蜡烛
  16. RR=194 anchor_m=134 Swiss=8 | 煅烧釜,萤火虫,彩虹药水,鳄鱼眼泪,蜡烛,没药,红宝石,香炉
  17. RR=174 anchor_m=164 Swiss=8 | 鳄鱼眼泪,煅烧釜,没药,红宝石,贤者之石,火焰药水,香炉,蜡烛
  18. RR=184 anchor_m=134 Swiss=8 | 煅烧釜,彩虹药水,没药,红宝石,火焰药水,塔兹迪亚匕首,香炉,蜡烛
  19. RR=191 anchor_m=112 Swiss=8 | 煅烧釜,蜡烛,没药,火焰药水,红宝石,香炉,鳄鱼眼泪,蛇怪之牙
  20. RR=164 anchor_m=147 Swiss=8 | 煅烧釜,云精灵,没药,红宝石,火焰药水,香炉,蜡烛,鳄鱼眼泪

[GDF] seeds: 火焰药水
[GDF] size=10 top 20
  1. RR=284 anchor_m=262 Swiss=10 | 蜡烛,彩虹药水,香炉,煅烧釜,火焰药水,瓶装闪电,红宝石,碎瓶
  2. RR=259 anchor_m=259 Swiss=8 | 蜡烛,瓶装闪电,香炉,煅烧釜,火焰药水,塔兹迪亚匕首,红宝石,碎瓶
  3. RR=257 anchor_m=256 Swiss=9 | 碎瓶,蜡烛,香炉,贤者之石,煅烧釜,火焰药水,瓶装闪电,红宝石
  4. RR=255 anchor_m=255 Swiss=8 | 蜡烛,彩虹药水,香炉,煅烧釜,火焰药水,塔兹迪亚匕首,红宝石,碎瓶
  5. RR=254 anchor_m=252 Swiss=9 | 香炉,煅烧釜,贤者之石,彩虹药水,蜡烛,火焰药水,瓶装闪电,红宝石
  6. RR=243 anchor_m=243 Swiss=9 | 贤者之石,蜡烛,彩虹药水,香炉,煅烧釜,火焰药水,红宝石,碎瓶
  7. RR=235 anchor_m=222 Swiss=9 | 香炉,煅烧釜,云精灵,彩虹药水,蜡烛,火焰药水,瓶装闪电,红宝石
  8. RR=228 anchor_m=228 Swiss=8 | 蜡烛,香炉,碎瓶,煅烧釜,云精灵,火焰药水,红宝石,彩虹药水
  9. RR=221 anchor_m=219 Swiss=8 | 蜡烛,瓶装闪电,香炉,煅烧釜,云精灵,火焰药水,红宝石,碎瓶
  10. RR=219 anchor_m=219 Swiss=8 | 蜡烛,瓶装闪电,香炉,煅烧釜,火焰药水,蛇怪之牙,红宝石,碎瓶
  11. RR=217 anchor_m=216 Swiss=8 | 蜡烛,硫磺,瓶装闪电,香炉,煅烧釜,火焰药水,红宝石,碎瓶
  12. RR=218 anchor_m=213 Swiss=9 | 香炉,煅烧釜,彩虹药水,蜡烛,手术刀,火焰药水,瓶装闪电,红宝石
  13. RR=214 anchor_m=213 Swiss=8 | 香炉,煅烧釜,彩虹药水,蜡烛,火焰药水,塔兹迪亚匕首,瓶装闪电,红宝石
  14. RR=209 anchor_m=197 Swiss=8 | 香炉,煅烧釜,彩虹药水,硫磺,蜡烛,火焰药水,瓶装闪电,红宝石
  15. RR=205 anchor_m=204 Swiss=9 | 蜡烛,瓶装闪电,香炉,煅烧釜,火焰药水,红宝石,地刺陷阱,碎瓶
  16. RR=205 anchor_m=200 Swiss=9 | 蜡烛,香炉,煅烧釜,火焰药水,贤者之石,鳄鱼眼泪,红宝石,彩虹药水
  17. RR=201 anchor_m=201 Swiss=8 | 蜡烛,彩虹药水,香炉,拆信刀,煅烧釜,火焰药水,红宝石,碎瓶
  18. RR=195 anchor_m=191 Swiss=8 | 香炉,拆信刀,煅烧釜,彩虹药水,蜡烛,火焰药水,瓶装闪电,红宝石
  19. RR=182 anchor_m=180 Swiss=8 | 蜡烛,瓶装闪电,拆信刀,香炉,煅烧釜,火焰药水,红宝石,碎瓶
  20. RR=175 anchor_m=174 Swiss=9 | 蜡烛,彩虹药水,香炉,煅烧釜,火焰药水,硫磺,红宝石,碎瓶

[GDF] seeds: 炼金梨缶
[GDF] size=10 top 20
  1. RR=255 anchor_m=255 Swiss=9 | 真菌孢子,翡翠,毒液注射,贤者之石,水蛭,彩虹药水,炼金梨缶,毒芹
