# gdf_enumerate_anchor_top1: full Top-K per anchor (last size tier only)
[GDF] seeds: 三花
[GDF] size=8 top 20
  1. RR=262 anchor_m=174 Swiss=9 | 手斧,左轮手枪,靴里剑,三花,鲨齿爪,葡萄弹,舱底蠕虫
  6. RR=222 anchor_m=212 Swiss=8 | 海螺壳,沙滩充气球,绵鳚,毒须鲶,雪怪蟹,水母,水草
  7. RR=217 anchor_m=208 Swiss=9 | 沙滩充气球,海底热泉,绵鳚,毒须鲶,水草,打火机
  8. RR=218 anchor_m=198 Swiss=8 | 沙滩充气球,绵鳚,毒须鲶,弹簧刀,马龙鱼,淬锋钢
  9. RR=203 anchor_m=203 Swiss=8 | 沙滩充气球,绵鳚,毒须鲶,雪怪蟹,水草,打火机,珊瑚
  10. RR=201 anchor_m=189 Swiss=9 | 水草,马龙鱼,毒须鲶,淬锋钢,沙滩充气球,舱底蠕虫
  11. RR=190 anchor_m=179 Swiss=8 | 水草,钓鱼竿,毒须鲶,淬锋钢,沙滩充气球,舱底蠕虫
  12. RR=188 anchor_m=181 Swiss=8 | 藏刃匕首,沙滩充气球,绵鳚,毒须鲶,珊瑚,水草,淬锋钢
  13. RR=185 anchor_m=167 Swiss=8 | 藏刃匕首,沙滩充气球,淬锋钢,狼筅,绵鳚,毒须鲶
  14. RR=183 anchor_m=164 Swiss=8 | 沙滩充气球,狼筅,绵鳚,毒须鲶,淬锋钢,舱底蠕虫
  15. RR=179 anchor_m=171 Swiss=9 | 水草,藏刃匕首,绵鳚,毒须鲶,淬锋钢,沙滩充气球,舱底蠕虫
  16. RR=176 anchor_m=175 Swiss=8 | 海螺壳,沙滩充气球,绵鳚,毒须鲶,水草,珊瑚,打火机
  17. RR=180 anchor_m=166 Swiss=8 | 舱底蠕虫,狼筅,沙滩充气球,淬锋钢,毒须鲶,藏刃匕首
  18. RR=177 anchor_m=162 Swiss=9 | 鲨齿爪,毒须鲶,手斧,沙滩充气球,藏刃匕首,舱底蠕虫
  19. RR=175 anchor_m=165 Swiss=8 | 手斧,沙滩充气球,狼筅,绵鳚,毒须鲶,打火机
  20. RR=169 anchor_m=166 Swiss=8 | 水草,淬锋钢,毒须鲶,绵鳚,沙滩充气球,打火机,舱底蠕虫

[GDF] seeds: 流星索
[GDF] size=8 top 20
  1. RR=216 anchor_m=114 Swiss=9 | 水草,绵鳚,毒须鲶,水母,迷幻蝠鲼,皮皮虾,流星索,海螺壳
  2. RR=201 anchor_m=193 Swiss=8 | 马龙鱼,弹簧刀,流星索,淬锋钢,葡萄弹,手斧,飞鱼
  3. RR=209 anchor_m=138 Swiss=8 | 马龙鱼,鲨齿爪,流星索,淬锋钢,手斧,飞鱼
  4. RR=206 anchor_m=114 Swiss=8 | 马龙鱼,弹簧刀,流星索,珊瑚,淬锋钢,手斧,飞鱼
  5. RR=203 anchor_m=117 Swiss=8 | 珊瑚,火药角,手雷,步枪,填弹杆,流星索
  6. RR=200 anchor_m=123 Swiss=8 | 珍珠,水草,绵鳚,毒须鲶,迷幻蝠鲼,皮皮虾,海螺壳,流星索
  7. RR=193 anchor_m=126 Swiss=9 | 火药角,手雷,步枪,填弹杆,流星索,手斧
  8. RR=198 anchor_m=105 Swiss=9 | 水草,绵鳚,毒须鲶,迷幻蝠鲼,皮皮虾,海螺壳,鱼饵,流星索
  9. RR=192 anchor_m=114 Swiss=8 | 马龙鱼,绵鳚,鲨齿爪,流星索,淬锋钢,飞鱼
  10. RR=185 anchor_m=127 Swiss=8 | 打火机,水草,绵鳚,毒须鲶,迷幻蝠鲼,皮皮虾,珊瑚,流星索
  11. RR=183 anchor_m=129 Swiss=7 | 水草,绵鳚,毒须鲶,迷幻蝠鲼,鹦鹉皮特,皮皮虾,珊瑚,流星索
  12. RR=190 anchor_m=104 Swiss=9 | 水草,绵鳚,毒须鲶,雪怪蟹,迷幻蝠鲼,皮皮虾,海螺壳,流星索
  13. RR=174 anchor_m=133 Swiss=8 | 马龙鱼,弹簧刀,流星索,淬锋钢,手斧,靴里剑,飞鱼
  14. RR=183 anchor_m=115 Swiss=7 | 打火机,水草,绵鳚,毒须鲶,迷幻蝠鲼,皮皮虾,海螺壳,流星索
  15. RR=171 anchor_m=138 Swiss=8 | 打火机,水草,绵鳚,毒须鲶,迷幻蝠鲼,皮皮虾,燃烧响炮,流星索
  16. RR=188 anchor_m=99 Swiss=8 | 珊瑚,马龙鱼,鲨齿爪,流星索,淬锋钢,飞鱼
  17. RR=157 anchor_m=155 Swiss=8 | 马龙鱼,流星索,淬锋钢,葡萄弹,鲨齿爪,飞鱼
  18. RR=196 anchor_m=74 Swiss=9 | 马龙鱼,流星索,淬锋钢,鲨齿爪,飞鱼,舱底蠕虫
  19. RR=171 anchor_m=120 Swiss=8 | 马龙鱼,弹簧刀,左轮手枪,流星索,淬锋钢,手斧,飞鱼
  20. RR=161 anchor_m=137 Swiss=7 | 水草,绵鳚,毒须鲶,迷幻蝠鲼,皮皮虾,燃烧响炮,流星索,珊瑚

[GDF] seeds: 海底热泉
[GDF] size=8 top 20
  1. RR=255 anchor_m=255 Swiss=8 | 海螺壳,水草,珊瑚,打火机,绵鳚,海底热泉,燃烧响炮
  2. RR=255 anchor_m=255 Swiss=9 | 水草,燃烧响炮,木桶,打火机,绵鳚,海底热泉
  3. RR=254 anchor_m=254 Swiss=10 | 淬锋钢,水草,珊瑚,打火机,绵鳚,海底热泉,燃烧响炮
  4. RR=254 anchor_m=254 Swiss=9 | 珍珠,海螺壳,燃烧响炮,打火机,绵鳚,海底热泉,水草
  5. RR=240 anchor_m=240 Swiss=9 | 燃烧响炮,珍珠,打火机,绵鳚,海底热泉,水草,珊瑚
  6. RR=238 anchor_m=238 Swiss=9 | 海螺壳,燃烧响炮,打火机,绵鳚,海底热泉,水草,淬锋钢
  7. RR=234 anchor_m=234 Swiss=8 | 珍珠,木桶,海底热泉,绵鳚,迷幻蝠鲼,水草
  8. RR=231 anchor_m=231 Swiss=8 | 水草,打火机,绵鳚,海底热泉,燃烧响炮,珊瑚护甲
  9. RR=227 anchor_m=227 Swiss=8 | 打火机,珍珠,木桶,海底热泉,绵鳚,水草
  10. RR=222 anchor_m=222 Swiss=8 | 珊瑚,打火机,绵鳚,海底热泉,木桶,燃烧响炮
  11. RR=218 anchor_m=208 Swiss=8 | 珍珠,木桶,海底热泉,绵鳚,毒须鲶,水草
  12. RR=214 anchor_m=214 Swiss=8 | 飞鱼,珍珠,木桶,海底热泉,绵鳚,水草
  13. RR=208 anchor_m=208 Swiss=9 | 独角鲸,珍珠,木桶,海底热泉,绵鳚,水草
  14. RR=206 anchor_m=189 Swiss=9 | 珍珠,木桶,海底热泉,绵鳚,水草,珊瑚
  15. RR=198 anchor_m=198 Swiss=8 | 龙涎香,珍珠,木桶,海底热泉,绵鳚,水草
  16. RR=197 anchor_m=197 Swiss=8 | 水草,火炮,燃烧响炮,打火机,绵鳚,海底热泉
  17. RR=197 anchor_m=197 Swiss=8 | 皮皮虾,水草,珊瑚,打火机,绵鳚,海底热泉,燃烧响炮
  18. RR=196 anchor_m=196 Swiss=8 | 海螺壳,皮皮虾,燃烧响炮,打火机,绵鳚,海底热泉,水草
  19. RR=193 anchor_m=193 Swiss=9 | 水草,龙涎香,珊瑚,打火机,绵鳚,海底热泉,燃烧响炮
  20. RR=191 anchor_m=191 Swiss=7 | 珍珠,木桶,海底热泉,绵鳚,水草,燃烧响炮

[GDF] seeds: 海螺壳
[GDF] size=8 top 20
  1. RR=267 anchor_m=186 Swiss=9 | 海螺壳,飞鱼,手斧,水草,淬锋钢,绵鳚,马龙鱼
  2. RR=252 anchor_m=201 Swiss=9 | 海螺壳,飞鱼,珊瑚,淬锋钢,绵鳚,马龙鱼,水草
  3. RR=257 anchor_m=158 Swiss=8 | 水草,海螺壳,飞鱼,弹簧刀,马龙鱼,淬锋钢,珊瑚
  4. RR=216 anchor_m=213 Swiss=8 | 珊瑚,海螺壳,珍珠,水母,雪怪蟹,毒须鲶,绵鳚,水草
  5. RR=218 anchor_m=191 Swiss=10 | 海螺壳,珊瑚,鱼饵,水母,雪怪蟹,毒须鲶,绵鳚,水草
  6. RR=206 anchor_m=195 Swiss=8 | 海螺壳,皮皮虾,迷幻蝠鲼,水母,雪怪蟹,毒须鲶,绵鳚,水草
  7. RR=207 anchor_m=175 Swiss=9 | 海螺壳,珍珠,飞鱼,淬锋钢,绵鳚,马龙鱼,水草
  8. RR=217 anchor_m=149 Swiss=9 | 海螺壳,珊瑚,飞鱼,手斧,淬锋钢,绵鳚,马龙鱼
  9. RR=197 anchor_m=171 Swiss=8 | 海螺壳,飞鱼,食人鱼,水草,淬锋钢,绵鳚,马龙鱼
  10. RR=195 anchor_m=174 Swiss=9 | 海螺壳,鱼饵,水母,雪怪蟹,毒须鲶,绵鳚,水草,珍珠
  11. RR=180 anchor_m=161 Swiss=8 | 海螺壳,飞鱼,淬锋钢,绵鳚,马龙鱼,迷幻蝠鲼,水草
  12. RR=177 anchor_m=155 Swiss=8 | 海螺壳,飞鱼,弹簧刀,淬锋钢,绵鳚,马龙鱼,水草
  13. RR=175 anchor_m=146 Swiss=8 | 鱼饵,海螺壳,飞鱼,淬锋钢,绵鳚,马龙鱼,水草
  14. RR=167 anchor_m=158 Swiss=8 | 马龙鱼,绵鳚,淬锋钢,海螺壳,独角鲸,珊瑚,水草
  15. RR=208 anchor_m=74 Swiss=8 | 海螺壳,飞鱼,淬锋钢,鲨齿爪,弹簧刀,马龙鱼
  16. RR=186 anchor_m=113 Swiss=8 | 马龙鱼,鲨齿爪,海螺壳,飞鱼,淬锋钢,水草
  17. RR=187 anchor_m=106 Swiss=9 | 打火机,海螺壳,飞鱼,手斧,淬锋钢,绵鳚,马龙鱼
  18. RR=180 anchor_m=113 Swiss=8 | 海螺壳,飞鱼,藏刃匕首,手斧,淬锋钢,绵鳚,马龙鱼
  19. RR=168 anchor_m=135 Swiss=8 | 海螺壳,飞鱼,食人鱼,手斧,淬锋钢,绵鳚,马龙鱼
  20. RR=161 anchor_m=146 Swiss=8 | 海螺壳,飞鱼,靴里剑,淬锋钢,绵鳚,马龙鱼,水草

[GDF] seeds: 淬锋钢
[GDF] size=8 top 20
  1. RR=266 anchor_m=220 Swiss=9 | 手斧,鲨齿爪,淬锋钢,飞鱼,弹簧刀,马龙鱼
  2. RR=240 anchor_m=233 Swiss=9 | 靴里剑,鲨齿爪,淬锋钢,飞鱼,弹簧刀,马龙鱼
  3. RR=217 anchor_m=204 Swiss=9 | 舱底蠕虫,手斧,淬锋钢,飞鱼,鲨齿爪,马龙鱼
  4. RR=200 anchor_m=200 Swiss=8 | 珊瑚,水草,海螺壳,飞鱼,淬锋钢,绵鳚,马龙鱼
  5. RR=200 anchor_m=200 Swiss=8 | 水草,海螺壳,飞鱼,手斧,淬锋钢,绵鳚,马龙鱼
  6. RR=209 anchor_m=172 Swiss=8 | 鲨齿爪,手斧,淬锋钢,藏刃匕首,弹簧刀,马龙鱼
  7. RR=200 anchor_m=189 Swiss=8 | 舱底蠕虫,鲨齿爪,淬锋钢,飞鱼,弹簧刀,马龙鱼
  8. RR=199 anchor_m=173 Swiss=8 | 手斧,打火机,淬锋钢,鲨齿爪,绵鳚,马龙鱼
  9. RR=200 anchor_m=158 Swiss=9 | 手斧,淬锋钢,鲨齿爪,绵鳚,马龙鱼,燃烧响炮
  10. RR=186 anchor_m=167 Swiss=9 | 靴里剑,淬锋钢,鲨齿爪,绵鳚,马龙鱼,燃烧响炮
  11. RR=177 anchor_m=177 Swiss=8 | 水草,海螺壳,飞鱼,淬锋钢,绵鳚,马龙鱼,迷幻蝠鲼
  12. RR=176 anchor_m=172 Swiss=8 | 淬锋钢,舱底蠕虫,鲨齿爪,绵鳚,马龙鱼,燃烧响炮
  13. RR=179 anchor_m=165 Swiss=10 | 淬锋钢,靴里剑,飞鱼,鲨齿爪,手斧,马龙鱼
  14. RR=177 anchor_m=169 Swiss=8 | 鲨齿爪,淬锋钢,飞鱼,左轮手枪,弹簧刀,马龙鱼
  15. RR=173 anchor_m=173 Swiss=8 | 打火机,飞鱼,手斧,燃烧响炮,淬锋钢,绵鳚,马龙鱼
  16. RR=169 anchor_m=169 Swiss=9 | 水草,打火机,飞鱼,手斧,淬锋钢,绵鳚,马龙鱼
  17. RR=169 anchor_m=169 Swiss=8 | 燃烧响炮,飞鱼,手斧,流星索,淬锋钢,绵鳚,马龙鱼
  18. RR=167 anchor_m=167 Swiss=8 | 珊瑚,燃烧响炮,淬锋钢,鲨齿爪,绵鳚,马龙鱼
  19. RR=166 anchor_m=162 Swiss=8 | 珊瑚,舱底蠕虫,淬锋钢,鲨齿爪,绵鳚,马龙鱼
  20. RR=164 anchor_m=164 Swiss=8 | 水草,水母,海螺壳,飞鱼,淬锋钢,绵鳚,马龙鱼

[GDF] seeds: 渔网
[GDF] size=8 top 20
  1. RR=244 anchor_m=63 Swiss=8 | 淬锋钢,飞鱼,渔网,水草,绵鳚,马龙鱼
  2. RR=236 anchor_m=51 Swiss=9 | 渔网,淬锋钢,飞鱼,手斧,绵鳚,马龙鱼
  3. RR=207 anchor_m=88 Swiss=8 | 水草,淬锋钢,珊瑚,飞鱼,渔网,马龙鱼
  4. RR=200 anchor_m=101 Swiss=9 | 水草,淬锋钢,海螺壳,飞鱼,渔网,马龙鱼
  5. RR=236 anchor_m=24 Swiss=9 | 淬锋钢,飞鱼,渔网,手斧,弹簧刀,马龙鱼
  6. RR=217 anchor_m=42 Swiss=9 | 淬锋钢,飞鱼,鲨齿爪,渔网,马龙鱼
  7. RR=218 anchor_m=31 Swiss=9 | 渔网,淬锋钢,手斧,藏刃匕首,弹簧刀,马龙鱼
  8. RR=203 anchor_m=57 Swiss=9 | 渔网,淬锋钢,靴里剑,手斧,弹簧刀,马龙鱼
  9. RR=207 anchor_m=46 Swiss=8 | 舱底蠕虫,渔网,淬锋钢,手斧,弹簧刀,马龙鱼
  10. RR=179 anchor_m=86 Swiss=9 | 渔网,淬锋钢,手斧,水草,绵鳚,马龙鱼
  11. RR=180 anchor_m=80 Swiss=8 | 渔网,淬锋钢,飞鱼,手斧,水草,马龙鱼
  12. RR=190 anchor_m=59 Swiss=8 | 淬锋钢,水草,渔网,独角鲸,弹簧刀,马龙鱼
  13. RR=167 anchor_m=101 Swiss=8 | 海螺壳,渔网,水草,绵鳚,毒须鲶,雪怪蟹,水母
  14. RR=174 anchor_m=81 Swiss=8 | 淬锋钢,飞鱼,渔网,海螺壳,绵鳚,马龙鱼
  15. RR=151 anchor_m=119 Swiss=8 | 海螺壳,渔网,水草,绵鳚,毒须鲶,雪怪蟹,珍珠
  16. RR=178 anchor_m=64 Swiss=8 | 渔网,淬锋钢,珊瑚,手斧,绵鳚,马龙鱼
  17. RR=161 anchor_m=82 Swiss=8 | 海螺壳,淬锋钢,飞鱼,珊瑚,鱼饵,渔网,水草
  18. RR=178 anchor_m=40 Swiss=9 | 渔网,舱底蠕虫,淬锋钢,手斧,绵鳚,马龙鱼
  19. RR=204 anchor_m=-14 Swiss=9 | 珊瑚,淬锋钢,飞鱼,渔网,弹簧刀,马龙鱼
  20. RR=167 anchor_m=56 Swiss=9 | 淬锋钢,飞鱼,渔网,靴里剑,弹簧刀,马龙鱼

[GDF] seeds: 温馨海湾
[GDF] size=8 top 20
  1. RR=276 anchor_m=11 Swiss=10 | 马龙鱼,弹簧刀,飞鱼,淬锋钢,温馨海湾
  2. RR=251 anchor_m=118 Swiss=9 | 水草,绵鳚,毒须鲶,雪怪蟹,水母,温馨海湾
  3. RR=243 anchor_m=132 Swiss=9 | 雪怪蟹,毒须鲶,绵鳚,水草,海螺壳,温馨海湾
  4. RR=260 anchor_m=50 Swiss=9 | 马龙鱼,手斧,飞鱼,淬锋钢,温馨海湾
  5. RR=251 anchor_m=57 Swiss=9 | 马龙鱼,飞鱼,淬锋钢,温馨海湾,水草
  6. RR=227 anchor_m=104 Swiss=9 | 独角鲸,水草,淬锋钢,马龙鱼,温馨海湾
  7. RR=262 anchor_m=27 Swiss=9 | 温馨海湾,马龙鱼,弹簧刀,舱底蠕虫,淬锋钢
  8. RR=230 anchor_m=88 Swiss=9 | 独角鲸,弹簧刀,飞鱼,淬锋钢,温馨海湾,水草
  9. RR=231 anchor_m=74 Swiss=8 | 水草,温馨海湾,舱底蠕虫,马龙鱼,淬锋钢
  10. RR=205 anchor_m=125 Swiss=7 | 雪怪蟹,毒须鲶,绵鳚,水草,温馨海湾,打火机
  11. RR=199 anchor_m=132 Swiss=8 | 雪怪蟹,毒须鲶,绵鳚,水草,温馨海湾,珍珠
  12. RR=214 anchor_m=82 Swiss=9 | 钓鱼竿,毒须鲶,绵鳚,水草,温馨海湾
  13. RR=212 anchor_m=81 Swiss=8 | 珊瑚,雪怪蟹,毒须鲶,绵鳚,水草,温馨海湾
  14. RR=196 anchor_m=112 Swiss=8 | 水草,绵鳚,毒须鲶,迷幻蝠鲼,水母,温馨海湾
  15. RR=203 anchor_m=96 Swiss=8 | 海螺壳,飞鱼,淬锋钢,温馨海湾,水草,鱼饵
  16. RR=180 anchor_m=109 Swiss=8 | 珊瑚,飞鱼,淬锋钢,水草,海螺壳,温馨海湾
  17. RR=180 anchor_m=96 Swiss=8 | 鱼饵,雪怪蟹,毒须鲶,绵鳚,水草,温馨海湾
  18. RR=163 anchor_m=119 Swiss=8 | 水草,绵鳚,毒须鲶,水母,珍珠,温馨海湾
  19. RR=160 anchor_m=122 Swiss=8 | 温馨海湾,马龙鱼,迷你弯刀,水草,淬锋钢
  20. RR=155 anchor_m=121 Swiss=8 | 毒须鲶,绵鳚,水草,温馨海湾,飞鱼,淬锋钢

[GDF] seeds: 湿件战服
[GDF] size=8 top 20
  1. RR=273 anchor_m=202 Swiss=9 | 湿件战服,马龙鱼,弹簧刀,武士刀,淬锋钢
  2. RR=270 anchor_m=220 Swiss=10 | 湿件战服,马龙鱼,弹簧刀,飞鱼,淬锋钢,水草
  3. RR=251 anchor_m=202 Swiss=8 | 湿件战服,马龙鱼,弹簧刀,飞鱼,淬锋钢,珊瑚
  4. RR=233 anchor_m=216 Swiss=9 | 湿件战服,马龙鱼,弹簧刀,独角鲸,飞鱼,淬锋钢
  5. RR=234 anchor_m=185 Swiss=9 | 湿件战服,马龙鱼,弹簧刀,飞鱼,手斧,淬锋钢
  6. RR=214 anchor_m=187 Swiss=8 | 珊瑚,湿件战服,马龙鱼,弹簧刀,独角鲸,淬锋钢
  7. RR=218 anchor_m=178 Swiss=8 | 湿件战服,马龙鱼,弹簧刀,独角鲸,淬锋钢,水草
  8. RR=204 anchor_m=200 Swiss=9 | 湿件战服,绵鳚,马龙鱼,弹簧刀,飞鱼,淬锋钢
  9. RR=219 anchor_m=169 Swiss=9 | 湿件战服,淬锋钢,飞鱼,鲨齿爪,马龙鱼
  10. RR=205 anchor_m=189 Swiss=8 | 湿件战服,马龙鱼,弹簧刀,左轮手枪,飞鱼,淬锋钢
  11. RR=208 anchor_m=172 Swiss=9 | 马龙鱼,绵鳚,湿件战服,淬锋钢,飞鱼,水草
  12. RR=205 anchor_m=176 Swiss=8 | 湿件战服,马龙鱼,弹簧刀,手斧,独角鲸,淬锋钢
  13. RR=198 anchor_m=170 Swiss=9 | 湿件战服,马龙鱼,弹簧刀,飞鱼,藏刃匕首,淬锋钢
  14. RR=193 anchor_m=169 Swiss=8 | 湿件战服,马龙鱼,弹簧刀,飞鱼,迷你弯刀,淬锋钢
  15. RR=187 anchor_m=155 Swiss=8 | 海螺壳,湿件战服,马龙鱼,弹簧刀,飞鱼,淬锋钢
  16. RR=180 anchor_m=165 Swiss=8 | 独角鲸,藏刃匕首,水草,绵鳚,毒须鲶,雪怪蟹,湿件战服
  17. RR=179 anchor_m=141 Swiss=8 | 湿件战服,马龙鱼,弹簧刀,手斧,藏刃匕首,淬锋钢
  18. RR=173 anchor_m=148 Swiss=8 | 珍珠,湿件战服,马龙鱼,弹簧刀,飞鱼,淬锋钢
  19. RR=178 anchor_m=133 Swiss=9 | 湿件战服,马龙鱼,弹簧刀,淬锋钢,鲨齿爪
  20. RR=169 anchor_m=140 Swiss=8 | 湿件战服,马龙鱼,弹簧刀,飞鱼,迷幻蝠鲼,淬锋钢

[GDF] seeds: 火炮
[GDF] size=8 top 20
  1. RR=287 anchor_m=287 Swiss=9 | 燃烧响炮,淬锋钢,火药角,火炮,绵鳚,打火机,珊瑚
  2. RR=274 anchor_m=274 Swiss=9 | 救生圈,燃烧响炮,火药角,火炮,绵鳚,打火机
  3. RR=269 anchor_m=269 Swiss=9 | 燃烧响炮,葡萄弹,火药角,火炮,绵鳚,珊瑚,打火机
  4. RR=253 anchor_m=253 Swiss=9 | 燃烧响炮,火药角,火炮,绵鳚,珊瑚护甲,打火机
  5. RR=253 anchor_m=253 Swiss=8 | 燃烧响炮,手斧,火药角,火炮,绵鳚,珊瑚,打火机
  6. RR=252 anchor_m=252 Swiss=9 | 流星索,燃烧响炮,火药角,火炮,绵鳚,打火机,珊瑚
  7. RR=246 anchor_m=246 Swiss=8 | 燃烧响炮,火药角,火炮,绵鳚,打火机,珊瑚,水草
  8. RR=239 anchor_m=239 Swiss=8 | 燃烧响炮,靴里剑,火药角,火炮,绵鳚,珊瑚,打火机
  9. RR=234 anchor_m=234 Swiss=8 | 燃烧响炮,火药角,火炮,绵鳚,打火机,珊瑚,珍珠
  10. RR=231 anchor_m=226 Swiss=8 | 珊瑚,燃烧响炮,火炮,海底热泉,绵鳚,打火机
  11. RR=229 anchor_m=229 Swiss=9 | 火药角,火炮,绵鳚,燃烧响炮,手斧,打火机,淬锋钢
  12. RR=229 anchor_m=229 Swiss=8 | 火药角,火炮,绵鳚,燃烧响炮,舱底蠕虫,打火机,淬锋钢
  13. RR=228 anchor_m=228 Swiss=8 | 珊瑚,燃烧响炮,舱底蠕虫,火药角,火炮,绵鳚,打火机
  14. RR=222 anchor_m=222 Swiss=9 | 燃烧响炮,火药角,火炮,绵鳚,打火机,海螺壳,珊瑚
  15. RR=215 anchor_m=215 Swiss=9 | 火药角,火炮,绵鳚,燃烧响炮,打火机,葡萄弹,淬锋钢
  16. RR=214 anchor_m=214 Swiss=8 | 燃烧响炮,手雷,火药角,火炮,绵鳚,打火机,珊瑚
  17. RR=211 anchor_m=211 Swiss=8 | 龙涎香,燃烧响炮,火药角,火炮,绵鳚,打火机,珊瑚
  18. RR=210 anchor_m=210 Swiss=8 | 燃烧响炮,火药角,火炮,绵鳚,打火机,珊瑚,藏刃匕首
  19. RR=202 anchor_m=202 Swiss=8 | 燃烧响炮,手斧,火药角,火炮,绵鳚,打火机,葡萄弹
  20. RR=187 anchor_m=187 Swiss=8 | 火药角,火炮,绵鳚,燃烧响炮,靴里剑,打火机,淬锋钢

[GDF] seeds: 火药角
[GDF] size=8 top 20
  1. RR=238 anchor_m=238 Swiss=9 | 舱底蠕虫,手斧,淬锋钢,葡萄弹,绵鳚,火药角,步枪
  2. RR=233 anchor_m=233 Swiss=9 | 靴里剑,手斧,淬锋钢,葡萄弹,绵鳚,火药角,步枪
  3. RR=225 anchor_m=211 Swiss=10 | 手斧,火药角,手雷,葡萄弹,弹簧刀,马龙鱼,淬锋钢
  4. RR=225 anchor_m=206 Swiss=9 | 火药角,手雷,手斧,飞鱼,弹簧刀,马龙鱼,淬锋钢
  5. RR=217 anchor_m=217 Swiss=8 | 珊瑚,火药角,步枪,手斧,淬锋钢,靴里剑,葡萄弹
  6. RR=218 anchor_m=212 Swiss=9 | 靴里剑,手斧,火药角,手雷,葡萄弹,马龙鱼,淬锋钢
  7. RR=210 anchor_m=204 Swiss=8 | 飞鱼,手斧,火药角,手雷,葡萄弹,马龙鱼,淬锋钢
  8. RR=205 anchor_m=203 Swiss=7 | 火药角,手雷,珊瑚,葡萄弹,弹簧刀,马龙鱼,淬锋钢
  9. RR=201 anchor_m=201 Swiss=8 | 淬锋钢,舱底蠕虫,珊瑚护甲,绵鳚,火药角,步枪
  10. RR=199 anchor_m=199 Swiss=9 | 淬锋钢,葡萄弹,绵鳚,火药角,步枪,救生圈
  11. RR=193 anchor_m=193 Swiss=8 | 珊瑚,葡萄弹,手斧,淬锋钢,绵鳚,火药角,步枪
  12. RR=196 anchor_m=182 Swiss=8 | 火药角,手雷,手斧,弹簧刀,马龙鱼,珊瑚,淬锋钢
  13. RR=178 anchor_m=178 Swiss=9 | 葡萄弹,淬锋钢,珊瑚护甲,绵鳚,火药角,步枪
  14. RR=184 anchor_m=162 Swiss=9 | 靴里剑,火药角,手雷,手斧,弹簧刀,马龙鱼,淬锋钢
  15. RR=173 anchor_m=171 Swiss=8 | 靴里剑,火药角,手雷,葡萄弹,弹簧刀,马龙鱼,淬锋钢
  16. RR=172 anchor_m=172 Swiss=8 | 火药角,手雷,葡萄弹,鲨齿爪,马龙鱼,淬锋钢
  17. RR=191 anchor_m=129 Swiss=8 | 火药角,手雷,弹簧刀,马龙鱼,沙滩充气球,淬锋钢
  18. RR=176 anchor_m=157 Swiss=8 | 火药角,手雷,手斧,流星索,弹簧刀,马龙鱼,淬锋钢
  19. RR=166 anchor_m=162 Swiss=9 | 火药角,手雷,绵鳚,狼筅,手斧,珊瑚,葡萄弹
  20. RR=164 anchor_m=164 Swiss=8 | 珊瑚,舱底蠕虫,淬锋钢,水草,绵鳚,火药角,步枪

[GDF] seeds: 燃烧响炮
[GDF] size=8 top 20
  1. RR=289 anchor_m=253 Swiss=9 | 水草,打火机,绵鳚,鹦鹉皮特,迷幻蝠鲼,皮皮虾,燃烧响炮,珊瑚
  2. RR=282 anchor_m=237 Swiss=8 | 海螺壳,打火机,绵鳚,海底热泉,珊瑚,水草,燃烧响炮
  3. RR=270 anchor_m=261 Swiss=9 | 海螺壳,打火机,绵鳚,鹦鹉皮特,迷幻蝠鲼,皮皮虾,燃烧响炮,珊瑚
  4. RR=270 anchor_m=235 Swiss=9 | 珊瑚,打火机,绵鳚,海底热泉,珍珠,燃烧响炮,水草
  5. RR=257 anchor_m=238 Swiss=9 | 淬锋钢,打火机,绵鳚,海底热泉,珊瑚,水草,燃烧响炮
  6. RR=252 anchor_m=235 Swiss=9 | 珍珠,海螺壳,打火机,绵鳚,海底热泉,水草,燃烧响炮
  7. RR=242 anchor_m=220 Swiss=8 | 珊瑚护甲,打火机,绵鳚,海底热泉,水草,燃烧响炮
  8. RR=225 anchor_m=215 Swiss=8 | 打火机,绵鳚,海底热泉,木桶,燃烧响炮,水草
  9. RR=219 anchor_m=215 Swiss=9 | 海螺壳,打火机,绵鳚,海底热泉,皮皮虾,水草,燃烧响炮
  10. RR=209 anchor_m=209 Swiss=8 | 打火机,绵鳚,海底热泉,海螺壳,淬锋钢,水草,燃烧响炮
  11. RR=192 anchor_m=192 Swiss=9 | 打火机,绵鳚,鹦鹉皮特,迷幻蝠鲼,皮皮虾,燃烧响炮,流星索,珊瑚
  12. RR=190 anchor_m=190 Swiss=8 | 打火机,绵鳚,海底热泉,水草,燃烧响炮,火炮
  13. RR=189 anchor_m=186 Swiss=8 | 打火机,木桶,绵鳚,鹦鹉皮特,迷幻蝠鲼,皮皮虾,燃烧响炮
  14. RR=185 anchor_m=185 Swiss=7 | 海螺壳,打火机,绵鳚,海底热泉,水草,燃烧响炮,靴里剑
  15. RR=189 anchor_m=174 Swiss=8 | 珊瑚,打火机,绵鳚,海底热泉,水草,燃烧响炮,舱底蠕虫
  16. RR=182 anchor_m=182 Swiss=8 | 打火机,绵鳚,海底热泉,珊瑚护甲,燃烧响炮,淬锋钢
  17. RR=178 anchor_m=178 Swiss=8 | 打火机,绵鳚,海底热泉,珊瑚,海螺壳,皮皮虾,燃烧响炮
